School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Ashburnham-Westminster - Oakmont Regional High School,6100505,195,556,557,353,16.3,676,50.7,49.1,16.3,0.6,17.9,6100000,0.2,1.5,3,93.8,0,0,1.6,Ashburnham-Westminster,"          $30,529,738.18",2356.7,"              $12,954.44","          $32,017,603.25",2438.3,"              $13,131.12",2019
Ashland - Ashland High,140505,232,573,596,433,15.9,836,51.9,48,14.5,4.3,11.4,140000,2.8,13.4,12.9,68.1,0.5,0,2.4,Ashland,"          $38,910,976.10",2853.3,"              $13,637.18","          $42,577,729.17",2936.1,"              $14,501.46",2019
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,170,513,497,646,16.4,1130,39.1,60.4,28.9,4,27.5,8010000,1.9,0.5,18.9,76.2,0.3,0,2.3,Assabet Valley Regional Vocational Technical,"          $23,329,863.00",1129.2,"              $20,660.52","          $23,366,767.00",1130.2,"              $20,674.90",2019
Athol-Royalston - Athol High,6150505,26,500,494,177,12.7,322,46,54,46.9,0.6,23.3,6150000,1.2,0.3,6.5,88.2,0,0,3.7,Athol-Royalston,"          $21,646,613.77",1475.2,"              $14,673.68","          $26,422,635.50",1853.3,"              $14,257.07",2019
Atlantis Charter (District) - Atlantis Charter School,4910550,49,492,489,521,23.9,1304,52.8,47.2,46.3,13.2,13.9,4910000,5.5,1.9,13.2,75.3,0.2,0.1,3.8,Atlantis Charter (District),"          $17,034,567.00",1287.8,"              $13,227.65","          $17,034,567.00",1287.8,"              $13,227.65",2019
Attleboro - Attleboro High,160505,418,547,544,884,20.6,1822,46.6,53.4,26.5,3.7,14.3,160000,6.1,4.5,16.7,68.2,0.3,0.2,4.1,Attleboro,"          $80,024,521.91",5895,"              $13,574.98","          $89,926,999.35",6401.5,"              $14,047.80",2019
Auburn - Auburn Senior High,170505,191,551,548,629,16.8,800,53,47,19.6,1.3,8.6,170000,2.1,4.3,8.8,81.3,0.3,0,3.4,Auburn,"          $35,683,527.01",2638.9,"              $13,522.12","          $37,120,391.37",2693.7,"              $13,780.45",2019
Avon - Avon Middle High School,180510,57,506,490,269,11,318,47.2,52.8,30.8,2.2,16,180000,38.1,5.4,9.4,39.9,0.3,0,6.9,Avon,"          $11,639,584.00",721.5,"              $16,132.48","          $12,781,279.00",742.4,"              $17,216.16",2019
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,104,562,560,228,16.1,371,52.6,47.4,23.2,2.2,16.7,6160000,4.6,1.4,10.8,73.9,1.9,0.3,7.3,Ayer Shirley School District,"          $25,584,103.57",1710.3,"              $14,958.84","          $30,063,189.51",1942.3,"              $15,478.14",2019
Barnstable - Barnstable High,200505,350,556,552,918,14.1,1756,51.5,48.4,34.7,9.9,15.7,200000,8.5,1.9,17.5,67.3,0.3,0.2,4.2,Barnstable,"          $81,595,675.40",4770.6,"              $17,103.86","          $93,041,052.29",5572.5,"              $16,696.47",2019
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,34,465,462,308,15,462,48.9,51.1,66.7,9.3,19.3,35020000,28.4,0.7,57.4,11.5,0,0.4,1.7,Baystate Academy Charter Public School (District),"           $7,815,903.16",488.8,"              $15,988.67","           $7,815,903.16",488.8,"              $15,988.67",2019
Bedford - Bedford High,230505,200,611,615,563,12.8,836,50.4,49.6,7.8,1.2,14.7,230000,6.7,14.2,10.1,64.5,0.1,0,4.4,Bedford,"          $48,611,869.60",2652.8,"              $18,324.74","          $54,096,545.03",2715,"              $19,925.06",2019
Belchertown - Belchertown High,240505,145,567,557,430,14.3,694,48.4,51.6,16.6,0.1,14.4,240000,2,1.3,2.9,90.8,0.1,0.3,2.6,Belchertown,"          $31,897,507.55",2275.7,"              $14,016.57","          $35,352,573.74",2467.7,"              $14,326.12",2019
Bellingham - Bellingham High School,250505,157,533,526,346,18.1,749,49.4,50.6,18.8,1.2,19.1,250000,3.1,3.3,5.3,85.1,0.3,0,2.9,Bellingham,"          $36,221,824.79",2221.1,"              $16,308.06","          $41,553,163.72",2445.8,"              $16,989.60",2019
Belmont - Belmont High,260505,351,612,624,463,20.7,1327,50.5,49.5,7.6,1.7,5.7,260000,3.3,18.2,4.3,68.6,0,0,5.6,Belmont,"          $61,722,257.00",4613.2,"              $13,379.49","          $70,137,376.00",4732.5,"              $14,820.36",2019
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,49,575,546,149,18.6,366,43.7,56,44.5,0.8,20,4140000,12,2.7,10.1,69.4,0.3,0,5.5,Berkshire Arts and Technology Charter Public (District),"           $6,343,118.59",369.4,"              $17,169.55","           $6,343,118.59",369.4,"              $17,169.55",2019
Berkshire Hills - Monument Mt Regional High,6180505,106,591,559,330,13.2,509,50.5,49.5,25.2,3.3,13.2,6180000,1,2.4,10.2,83.1,0.2,0.6,2.6,Berkshire Hills,"          $26,907,389.16",1197.9,"              $22,462.13","          $28,934,800.16",1319.6,"              $21,926.95",2019
Berlin-Boylston - Tahanto Regional High,6200505,98,574,578,309,16.2,560,48.4,51.6,15.9,2,16.3,6200000,2.5,4.6,5.2,84.6,0,0.4,2.7,Berlin-Boylston,"           $8,525,877.00",580.9,"              $14,677.01","          $10,140,409.40",625.9,"              $16,201.33",2019
Beverly - Beverly High,300505,306,566,554,552,21.1,1305,47.9,52,24.1,1.6,16.3,300000,3.5,2.5,14.1,76.6,0.1,0.1,3.2,Beverly,"          $62,601,953.21",4612.4,"              $13,572.53","          $71,714,569.38",4809,"              $14,912.57",2019
Billerica - Billerica Memorial High School,310505,386,551,561,707,19.2,1814,48.6,51.4,16.9,0.9,17.2,310000,5,8.3,6.2,78.3,0.1,0.1,2,Billerica,"          $79,411,570.00",4782.4,"              $16,604.96","          $86,305,246.00",5023.9,"              $17,178.93",2019
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,312,559,549,818,16.9,1224,50.7,49.1,10,0.3,10,8050000,1,1.7,6.1,89.1,0,0.1,2,Blackstone Valley Regional Vocational Technical,"          $24,931,775.02",1240.1,"              $20,104.65","          $24,931,775.02",1240.1,"              $20,104.65",2019
Blackstone-Millville - Blackstone Millville RHS,6220505,94,539,536,229,13,429,47.6,52.5,23.8,1.6,15.2,6220000,1.6,0.9,6.5,88.6,0,0,2.3,Blackstone-Millville,"          $22,845,115.84",1725.2,"              $13,242.01","          $25,550,989.84",1851.3,"              $13,801.65",2019
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,176,492,490,435,14.4,843,45.1,54.9,26.9,0.8,26.2,8060000,21.5,1.8,14.7,55.6,0.6,0.1,5.7,Blue Hills Regional Vocational Technical,"          $21,016,283.13",859.5,"              $24,451.75","          $21,016,283.13",859.5,"              $24,451.75",2019
Boston - Another Course To College,350541,73,435,436,106,15.3,253,43.1,56.9,58.9,9.1,28.5,350000,49.8,1.2,37.6,8.7,0.4,0,2.4,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Boston Arts Academy,350546,166,474,468,276,14.7,476,66,33.6,48.7,6.1,18.7,350000,44.8,2.5,38.9,9.2,0.4,0.2,4,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Boston Community Leadership Academy,350558,170,442,451,190,17.1,489,45,55,65.6,30.9,21.3,350000,34.4,3.5,56.2,4.7,0.2,0.2,0.8,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Boston International High School,350507,69,400,442,211,14.8,510,44.7,55.3,70.4,87.7,5.1,350000,31.4,7.3,58.8,1.8,0.2,0.2,0.4,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Boston Latin,350560,559,653,667,769,25.1,2457,54.2,45.6,17,0,2.9,350000,7.5,29.5,13.2,45,0.1,0.2,4.6,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Boston Latin Academy,350545,407,578,601,609,22.8,1765,58.9,41,34.1,0,4.3,350000,21.2,19.9,25.1,30.1,0.1,0.1,3.5,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Brighton High,350505,101,425,444,183,18.5,567,42.3,57.7,69.8,46.6,25.6,350000,35.5,4.8,52,5.3,0.2,0.5,1.8,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Charlestown High,350515,136,424,481,559,14.7,983,41,59,67.9,41,27,350000,29.4,8.1,56.9,4,0.2,0,1.4,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Community Academy of Science and Health,350581,85,417,418,165,14,388,45.9,54.1,71.1,25,36.9,350000,62.6,2.6,28.1,2.3,0.5,0,3.9,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Dearborn,350074,43,414,423,211,17.3,552,50,50,74.5,33,18.8,350000,62.9,1.1,29.4,2,0.2,1.1,3.4,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Dr. William Henderson Upper,350426,55,422,434,241,21.9,727,46.2,53.8,57.5,10.2,38.2,350000,43.2,8.8,23.9,19.7,0.7,0,3.7,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - East Boston High,350530,237,462,467,294,17.5,1198,41.5,58.5,63.9,44.1,19.9,350000,4.7,1.8,82.4,9.5,0.2,0.1,1.3,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Excel High School,350522,73,436,463,185,17.2,544,37.9,62.1,69.5,23.7,24.6,350000,33.6,19.5,37.5,7.2,0.6,0.2,1.5,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Fenway High School,350540,107,451,467,111,19.7,397,53.4,46.6,64.2,20.7,21.4,350000,30.2,2.3,60.7,4.3,0.3,0.3,2,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Jeremiah E Burke High,350525,57,414,435,142,16.6,488,44.9,55.1,72.8,28.9,22.3,350000,63.3,1,28.7,3.1,0,0.8,3.1,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Lyon Upper 9-12,350655,20,476,460,73,14.4,143,39.9,60.1,49,9.8,46.2,350000,22.4,6.3,37.8,28.7,0,0,4.9,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Madison Park High,350537,85,411,414,344,16,1038,41.8,58.2,75.9,36.7,34.4,350000,38.2,1.5,55.4,2.7,0.4,0.4,1.5,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Margarita Muniz Academy,350549,88,410,422,93,22.3,349,51.9,48.1,77.4,48.7,14,350000,4.9,0,93.1,1.2,0,0,0.9,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - New Mission High School,350542,132,476,509,208,15.6,462,52.4,47.6,56.7,10.8,18,350000,50.2,1.7,44.4,2.2,0.2,0,1.3,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - O'Bryant School Math/Science,350575,408,538,575,358,25,1592,56.5,43.5,48,0.4,4.2,350000,32.5,20.4,33.1,11.6,0.2,0.2,2,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Quincy Upper School,350565,77,475,474,188,19.8,527,46.7,53.3,58.8,12.3,19,350000,21.1,49.9,22.4,4,0.2,0,2.5,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Snowden International School at Copley,350690,73,464,472,147,19.4,482,47.3,52.7,65.2,12,22.6,350000,35.3,6.2,51.2,4.6,0.4,0,2.3,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - TechBoston Academy,350657,173,419,417,456,14.2,943,44.9,55,71.4,23.5,21.6,350000,63.6,2.6,28.3,2.6,0.3,0,2.7,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - The English High,350535,68,424,434,262,17,655,42.9,57,71.8,36.3,22.9,350000,35.9,1.1,58.6,3.1,0.2,0.2,1.1,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - Urban Science Academy,350579,41,471,462,24,11.7,70,44.3,55.7,62.9,14.3,21.4,350000,51.4,0,41.4,5.7,0,0,1.4,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston - West Roxbury Academy,350658,62,426,420,0,0,0,0,0,0,0,0,350000,0,0,0,0,0,0,0,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,"              $23,002.43",2019
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,107,535,541,311,19.7,721,49.4,50.6,35.2,4.9,16.6,4490000,33.6,1.8,18.2,43.4,0.3,0,2.8,Boston Collegiate Charter (District),"          $14,080,719.32",698.7,"              $20,152.45","          $14,080,719.32",698.7,"              $20,152.45",2019
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,38,444,446,370,15.5,437,49.9,50.1,70.5,13.7,36.8,4240000,47.4,0.7,44.9,5.5,0.5,0,1.1,Boston Day and Evening Academy Charter (District),"           $7,434,829.12",387.4,"              $19,193.57","           $7,434,829.12",387.4,"              $19,193.57",2019
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,75,434,441,217,16.4,483,48.7,51.4,65,15.5,31.7,4110000,43.7,1.7,43.5,7.7,0.2,0.4,2.9,Boston Green Academy Horace Mann Charter School (District),"           $7,747,679.43",463.6,"              $16,710.59","           $7,747,679.43",463.6,"              $16,710.59",2019
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,76,486,515,242,19.7,575,50.1,49.9,55.7,18.6,20.9,4160000,66.6,0.5,27.5,2.1,0,0.2,3.1,Boston Preparatory Charter Public (District),"          $11,548,735.42",526.3,"              $21,942.42","          $11,548,735.42",526.3,"              $21,942.42",2019
Bourne - Bourne High School,360505,202,533,513,207,15.2,437,55.2,44.9,22.4,0.7,12.1,360000,1.6,3,3.9,87.4,0.7,0.2,3.2,Bourne,"          $31,071,354.62",1943.4,"              $15,988.14","          $36,231,140.62",2253.2,"              $16,079.86",2019
Braintree - Braintree High,400505,509,559,574,841,17.2,1853,50.3,49.7,20.6,4.7,22.2,400000,5,19.7,4.5,68.9,0.1,0.2,1.7,Braintree,"          $85,140,396.09",5868.9,"              $14,507.04","          $91,634,068.26",5965.6,"              $15,360.41",2019
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,418,559,563,573,16.7,1385,51.1,48.9,14.8,1.2,10.2,6250000,5.7,2.2,1.4,85.7,0.1,0.1,4.9,Bridgewater-Raynham,"          $69,916,835.93",5369.2,"              $13,021.83","          $77,334,374.93",5625.8,"              $13,746.38",2019
Bristol County Agricultural - Bristol County Agricultural High,9100705,99,533,522,235,17.4,451,71.2,28.4,23.1,0,11.8,9100000,1.8,0.4,4.7,91.6,0,0.2,1.3,Bristol County Agricultural,"          $12,399,742.40",450.3,"              $27,536.63","          $12,399,742.40",450.3,"              $27,536.63",2019
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,8100605,147,509,511,969,17.5,1290,43,57,27.8,0.3,18.3,8100000,2.9,0.7,6.2,85.7,0.6,0,3.9,Bristol-Plymouth Regional Vocational Technical,"          $25,076,215.32",1289.6,"              $19,444.96","          $25,151,441.32",1304.3,"              $19,283.48",2019
Brockton - Brockton High,440505,638,498,494,1956,18.1,4079,46.7,53.3,56.5,25.4,12.1,440000,63.6,2.4,14.4,15.2,0.4,0.2,3.8,Brockton,"         $245,238,171.92",16225.4,"              $15,114.46","         $271,418,388.13",17798.9,"              $15,249.17",2019
Brooke Charter School (District) - Brooke Charter School,4280305,60,514,561,837,19.1,1968,53.1,46.9,51.3,7.6,10.7,4280000,53.8,1.8,38.3,4.1,0.2,0,1.9,Brooke Charter School (District),"          $37,696,437.47",1844.8,"              $20,434.44","          $37,696,437.47",1844.8,"              $20,434.44",2019
Brookline - Brookline High,460505,494,627,638,1190,13.8,2091,48.8,50.7,11.6,2.6,17.3,460000,7.9,16.4,11.5,54.4,0,0.1,9.7,Brookline,"         $155,846,461.00",7863.5,"              $19,818.97","         $162,641,415.00",7939,"              $20,486.39",2019
Burlington - Burlington High,480505,307,571,563,567,13.6,1084,46.4,53.6,14.3,4.3,9.6,480000,7.1,15.2,7.7,65.9,0.5,0,3.7,Burlington,"          $71,076,670.36",3531.1,"              $20,128.76","          $80,497,849.04",3650.5,"              $22,051.18",2019
Cambridge - Cambridge Rindge and Latin,490506,527,557,563,1111,14.9,2002,50.2,49.9,31,4.8,18.3,490000,27.8,10.5,15,38.4,0.4,0.4,7.6,Cambridge,"         $196,730,109.39",7063.1,"              $27,853.22","         $230,271,785.03",7741.4,"              $29,745.50",2019
Canton - Canton High,500505,330,572,578,515,17.1,984,53,46.7,15.2,1.5,9.2,500000,11.8,11.5,5.9,66.3,0,0,4.6,Canton,"          $52,818,900.90",3298.5,"              $16,013.01","          $59,072,430.90",3378.3,"              $17,485.85",2019
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,8150605,50,506,492,403,13.8,601,34.8,65.1,41.1,2.7,25,8150000,8.3,0.5,13.6,71.4,1.3,0.2,4.7,Cape Cod Regional Vocational Technical,"          $16,096,126.07",569.4,"              $28,268.57","          $16,118,424.07",573.4,"              $28,110.26",2019
Carver - Carver Middle/High School,520405,81,568,568,417,15.1,757,48,52.1,22.3,1.1,20.9,520000,1.2,0.1,1.3,95.6,0.5,0.1,1.1,Carver,"          $23,588,608.87",1565.2,"              $15,070.67","          $25,995,815.63",1652.4,"              $15,732.16",2019
Central Berkshire - Wahconah Regional High,6350505,119,551,552,259,14.2,499,47.9,52.1,26.1,0.6,8.8,6350000,0.2,0.8,3.6,93.2,0.2,0,2,Central Berkshire,"          $26,456,827.72",1595.9,"              $16,578.00","          $29,284,881.72",1826.2,"              $16,035.97",2019
Chelmsford - Chelmsford High,560505,464,573,586,760,15.8,1416,51.6,48.5,8.6,1.1,12.2,560000,3.5,15.6,4.1,74.2,0,0.1,2.5,Chelmsford,"          $72,549,337.57",5011.3,"              $14,477.15","          $82,455,051.45",5273.2,"              $15,636.63",2019
Chelsea - Chelsea High,570505,177,477,464,521,21,1492,44.1,55.9,61.5,32.6,10.5,570000,4.6,0.3,88.4,4.9,0.1,0.1,1.6,Chelsea,"          $89,492,256.55",6063,"              $14,760.39","         $116,549,314.68",7211.2,"              $16,162.26",2019
Chicopee - Chicopee Comprehensive High School,610510,161,553,533,631,16.3,1210,44.1,55.9,42.1,3.5,15.5,610000,2.3,2.5,27.8,65,0.3,0,2.2,Chicopee,"         $113,712,185.40",7433.2,"              $15,297.88","         $121,204,949.74",7956.7,"              $15,233.07",2019
Chicopee - Chicopee High,610505,117,531,520,550,17.5,1037,48.9,51.1,54.6,6.3,18,610000,5.7,2.6,45.4,44.5,0,0,1.8,Chicopee,"         $113,712,185.40",7433.2,"              $15,297.88","         $121,204,949.74",7956.7,"              $15,233.07",2019
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,4370505,30,437,467,113,9.5,211,40.8,59.2,55.9,14.2,21.8,4370000,64,0,33.7,1.4,0,0,1,City on a Hill Charter Public School Circuit Street (District),"           $7,868,791.59",257.8,"              $30,520.49","           $7,868,791.59",257.8,"              $30,520.49",2019
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,64,457,475,111,8.9,181,49.7,50.3,63.5,22.7,24.3,35040000,64.6,0.6,30.4,3.3,0,0,1.1,City on a Hill Charter Public School Dudley Square (District),"           $5,355,886.86",243.8,"              $21,969.26","           $5,355,886.86",243.8,"              $21,969.26",2019
Clinton - Clinton Senior High,640505,112,522,511,232,13.8,453,45.3,54.8,32.2,10.6,17.7,640000,5.1,2,28.9,62.7,0,0,1.3,Clinton,"          $25,315,827.82",1861.1,"              $13,602.62","          $31,622,700.96",2175.3,"              $14,537.17",2019
Codman Academy Charter Public (District) - Codman Academy Charter Public School,4380505,53,435,454,162,14.5,353,49.9,50.1,66,9.4,25.2,4380000,77.1,0,20.4,1.1,0.3,0,1.1,Codman Academy Charter Public (District),"           $8,175,206.08",344.5,"              $23,730.64","           $8,175,206.08",344.5,"              $23,730.64",2019
Cohasset - Cohasset Middle/High School,650505,162,611,588,312,15.8,467,52,47.8,5.6,0,11.1,650000,2.8,4.1,1.7,90.4,0.4,0,0.6,Cohasset,"          $26,104,809.81",1547.3,"              $16,871.20","          $28,096,564.75",1574.6,"              $17,843.62",2019
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,76,508,522,150,13.9,325,58.2,41.9,40.9,7.7,12,4360000,70.5,3.4,16.9,4,0.6,0.3,4.3,Community Charter School of Cambridge (District),"           $7,331,637.00",330.1,"              $22,212.37","           $7,331,637.00",330.1,"              $22,212.37",2019
Concord-Carlisle - Concord Carlisle High,6400505,251,631,640,535,19.3,1287,51.7,48.1,6.4,0.6,16.4,6400000,4.5,8.2,4.7,77.7,0.1,0,4.7,Concord-Carlisle,"          $26,498,454.00",1253.4,"              $21,141.26","          $30,602,986.23",1298.2,"              $23,573.40",2019
Danvers - Danvers High,710505,247,556,543,472,15.4,889,49.4,50.5,17.9,0.9,17.2,710000,1.9,2.9,8.7,84.1,0,0,2.4,Danvers,"          $56,842,292.82",3483.9,"              $16,315.71","          $62,764,509.82",3603.1,"              $17,419.59",2019
Dartmouth - Dartmouth High,720505,258,557,548,462,18.8,1054,49.2,50.8,16.6,0.4,12.3,720000,2.3,0.2,4.4,85.2,0,0,8,Dartmouth,"          $49,391,329.92",3649.3,"              $13,534.47","          $53,739,695.96",3735.2,"              $14,387.37",2019
Dedham - Dedham High,730505,222,552,571,383,14.2,730,50.4,49.5,23.3,4.4,18.8,730000,9.5,2.5,15.2,70.8,0,0,2.1,Dedham,"          $52,193,480.74",2676.2,"              $19,502.83","          $57,564,643.03",2764.7,"              $20,821.30",2019
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,222,527,511,664,12.8,909,50.8,49.2,38,6.8,16.4,6450000,10,2.5,14.2,66,1.9,0,5.4,Dennis-Yarmouth,"          $53,512,638.00",2956,"              $18,103.06","          $61,047,245.00",3522.7,"              $17,329.67",2019
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,6500505,183,549,539,353,17.2,759,48.5,51.5,14.1,0,9.9,6500000,1.5,0.9,3.7,91.8,0.1,0,2,Dighton-Rehoboth,"          $41,193,711.65",2913.5,"              $14,138.91","          $44,696,172.60",2991.4,"              $14,941.56",2019
Douglas - Douglas High School,770505,97,555,529,214,13.1,362,50.6,49.5,16.9,0,17.4,770000,1.4,1.9,4.7,89.2,0,0.8,1.9,Douglas,"          $18,634,706.26",1275.7,"              $14,607.44","          $21,288,300.28",1365.4,"              $15,591.26",2019
