,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
10,010690060260001,School,Waverly Junior/Senior High School,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,HIGH SCHOOL,7 - 12,Commendable,All Students,Targeted Assistance Title I Pr,143,95.1,,,,,,,20.3,15.4,,42.7,,178.0,88.1,24.0,15.3,,12.0,5.0,,,,77.3,,,,42.7,,,,,13696.87,17525.81,503.9,518.9,22.2,44.4,27.8,5.6,2021
11,010690110260001,School,Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,HIGH SCHOOL,9 - 12,,,Not a Participant in Title I P,43,95.3,,,,,,,,,,60.5,,176.0,81.9,13.0,27.7,,9.3,5.0,,,,75.9,,,,75.0,,,,,17382.19,26219.35,469.0,419.0,60.0,30.0,10.0,0.0,2021
12,010690270260001,School,Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,HIGH SCHOOL,7 - 12,Commendable,All Students,"Eligible, but Not a Participan",179,94.4,,,,,,,14.5,14.5,,27.9,,176.0,93.8,,,,14.2,5.0,,,,89.1,,,,17.9,,,,,6215.79,9811.47,516.8,503.2,20.0,52.0,28.0,0.0,2021
13,010691170220014,School,Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",848,79.5,8.4,2.9,,,,8.1,23.7,19.9,1.5,46.8,,176.0,90.1,206.0,22.0,9.7,18.3,4.8,,,,85.8,,,,34.8,,,,,9557.76,14644.81,466.1,446.0,55.4,27.5,17.1,0.0,2021
14,010750030260002,School,Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",95,97.9,,,,,,,27.4,26.3,,69.5,,176.0,88.1,34.0,34.0,,15.1,5.0,,,,94.4,,,,45.0,,,,,7898.22,14943.1,431.9,411.9,71.4,14.3,14.3,0.0,2021
15,010750040260002,School,Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,HIGH SCHOOL,9 - 12,,,Schoolwide Title I Program,96,99.0,,,,,,,17.7,17.7,,30.2,,176.0,90.3,12.0,12.2,,14.3,2.5,,,,93.3,,,,36.4,,,,,12988.85,18065.33,470.7,447.9,64.3,21.4,14.3,0.0,2021
16,010750100260009,School,Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",351,96.3,,,,,,,18.5,15.1,,37.6,,176.0,90.2,17.0,4.8,4.1,16.9,2.5,,,,89.3,,,,36.2,,,,,5866.58,9115.2,491.3,463.6,50.9,27.3,20.0,1.8,2021
17,010750120260001,School,Western High School,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",116,97.4,,,,,,,24.1,21.6,,41.4,,176.0,90.4,18.0,14.5,,11.9,5.0,,,,96.2,,,,30.1,,,,,9756.23,14519.6,467.2,451.6,52.0,28.0,20.0,0.0,2021
18,010860010260001,School,Winchester High School,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",184,96.2,,,,,,,24.5,19.6,,39.1,,176.0,90.2,21.0,11.2,,12.6,4.8,,,,90.2,,,,37.2,,,,,8467.21,13883.37,480.0,457.0,45.5,33.3,21.2,0.0,2021
19,010860020260001,School,Bluffs High School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,HIGH SCHOOL,9 - 12,,,"Eligible, but Not a Participan",60,91.7,,,,,,,18.3,,,58.3,,176.0,87.9,11.0,16.4,,9.8,5.0,,,,85.7,,,,53.7,,,,,6636.66,8861.4,435.0,404.2,66.7,33.3,0.0,0.0,2021
20,030030010260001,School,Mulberry Grove Sr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",107,94.4,,,,,,,17.8,15.9,,47.7,,176.0,91.1,17.0,14.8,,12.6,5.0,,,,84.6,,,,33.6,,,,,9805.41,10608.92,437.4,439.1,52.2,43.5,4.3,0.0,2021
21,030030020260001,School,Bond Cty Comm Unit 2 High School,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,537,89.8,1.9,,,,,5.2,20.5,19.4,,44.9,,176.0,91.4,78.0,13.8,4.1,18.5,4.3,,,,91.1,,,,27.5,,,,,8922.1,11347.12,480.5,460.2,52.4,25.8,17.7,4.0,2021
22,030110010260002,School,Morrisonville High School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",76,90.8,,,,,,,21.1,21.1,,36.8,,176.0,90.4,,,,12.2,5.0,,,,95.2,,,,38.3,,,,,10505.78,16086.46,444.5,426.8,68.2,31.8,0.0,0.0,2021
23,030110030260006,School,Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",785,92.4,,2.8,,,,3.1,14.1,14.1,,42.0,,176.0,90.4,192.0,23.5,9.1,17.8,3.6,,,,89.2,,,,31.0,,,,,10877.9,13040.42,479.4,452.6,50.6,27.1,21.8,0.6,2021
24,030110040260002,School,Edinburg High School,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",69,91.3,,,,,,,,,,37.7,,177.0,92.4,,,,,4.9,,,,85.0,,,,27.5,,,,,7748.19,15135.76,448.9,398.1,81.5,14.8,3.7,0.0,2021
25,030110080260006,School,Pana Sr High School,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",380,95.5,,,,,,,16.1,13.4,,52.1,2.9,177.0,90.4,61.0,15.6,5.7,19.0,5.0,,,,86.3,,,,33.0,,,,,10017.43,14110.23,459.3,440.7,58.8,28.9,12.4,0.0,2021
26,030110140240001,School,South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,HIGH SCHOOL,6 - 12,Commendable,All Students,Schoolwide Title I Program,152,89.5,,,,,,,23.7,19.7,,49.3,,176.0,84.5,61.0,35.7,,13.0,5.0,,,,60.6,,,,54.4,,,,,7757.89,11583.13,415.5,384.0,90.0,10.0,0.0,0.0,2021
27,030250100260001,School,Altamont High School,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",238,95.8,,,,,,,14.7,11.8,,41.2,,176.0,93.1,23.0,9.1,,16.4,4.4,,,,88.7,,,,20.5,,,,,8169.09,11339.79,474.2,462.0,42.4,39.0,18.6,0.0,2021
28,030250200260001,School,Beecher City Jr-Sr High School,Beecher City CUSD 20,Beecher City,Effingham,UNIT,SMALL,HIGH SCHOOL,6 - 12,Commendable,All Students,Targeted Assistance Title I Pr,171,94.7,,,,,,,18.7,14.0,,36.8,,176.0,95.1,10.0,5.6,,12.5,5.0,,,,87.2,,,,10.6,,,,,8830.89,13690.86,466.7,474.2,41.7,29.2,29.2,0.0,2021
29,030250300260001,School,Dieterich Jr/Sr High School,Dieterich CUSD 30,Dieterich,Effingham,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,Exemplary,All Students,"Eligible, but Not a Participan",231,95.2,,,,,,,11.7,9.5,,20.3,,176.0,95.0,,,,16.2,5.0,,,,91.8,,,,9.6,,,,,8253.17,9677.63,491.1,483.9,39.5,23.7,34.2,2.6,2021
30,030250400260001,School,Effingham High School,Effingham CUSD 40,Effingham,Effingham,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",735,87.9,1.6,5.7,1.4,,,2.4,12.5,12.2,,30.6,1.4,176.0,92.8,126.0,15.5,5.0,17.3,5.0,,,,92.0,,,,21.5,,,,,6954.54,8479.63,496.0,479.8,34.5,38.0,25.7,1.8,2021
31,030250400263002,School,Effingham Unit 40 Preschool,Effingham CUSD 40,Effingham,Effingham,UNIT,LARGE,HIGH SCHOOL,PK,,,"Eligible, but Not a Participan",108,87.0,,,,,,,51.9,51.9,,38.0,12.0,176.0,,,,,,5.0,,,,,,,,,,,,,6581.76,8106.85,,,,,,,2021
32,030250500260001,School,Teutopolis High School,Teutopolis CUSD 50,Teutopolis,Effingham,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Exemplary,All Students,"Eligible, but Not a Participan",327,97.6,,,,,,,9.8,9.5,,,,176.0,96.2,,,,18.8,4.2,,,,87.3,,,,6.5,,,,,8326.15,9991.95,496.8,495.3,31.1,35.1,29.7,4.1,2021
33,030262010260003,School,Brownstown High School,Brownstown CUSD 201,Brownstown,Fayette,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,89,97.8,,,,,,,21.3,19.1,,49.4,,176.0,89.9,17.0,16.3,,11.3,5.0,,,,77.8,,,,36.5,,,,,9881.79,10333.26,442.6,441.7,39.1,43.5,17.4,0.0,2021
34,030262020260002,School,St Elmo Sr High School,St Elmo CUSD 202,Saint Elmo,Fayette,UNIT,SMALL,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,123,97.6,,,,,,,18.7,16.3,,27.6,,176.0,92.4,23.0,17.7,7.3,16.6,5.0,,,,87.5,,,,24.6,,,,,7320.73,14527.61,454.4,442.3,61.5,17.9,20.5,0.0,2021
35,030262030260001,School,Vandalia Community High School,Vandalia CUSD 203,Vandalia,Fayette,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,365,95.3,,,,,,,14.8,14.8,,51.8,4.7,176.0,89.7,56.0,14.4,3.6,14.6,5.0,,,,87.9,,,,39.2,,,,,23829.35,35364.88,477.7,460.5,47.0,28.0,25.0,0.0,2021
36,030262040260002,School,Ramsey High School,Ramsey CUSD 204,Ramsey,Fayette,UNIT,SMALL,HIGH SCHOOL,6 - 12,Commendable,All Students,Schoolwide Title I Program,209,98.1,,,,,,,24.9,22.5,,58.4,16.7,176.0,92.0,18.0,8.0,,17.7,5.0,,,,88.4,,,,27.4,,,,,6757.71,12498.24,447.7,439.4,60.0,17.1,22.9,0.0,2021
37,030680020260001,School,Lincolnwood High School,Panhandle CUSD 2,Raymond,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",129,92.2,,,,,,,27.1,23.3,,41.1,,176.0,91.7,16.0,11.1,,12.3,5.0,,,,79.2,,,,25.5,,,,,10740.73,14443.72,483.4,457.8,37.5,43.8,18.8,0.0,2021
38,030680030260001,School,Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",467,94.0,,2.6,,,,,15.2,15.2,,41.3,2.4,176.0,88.9,118.0,23.5,7.2,16.9,5.0,,,,91.3,,,,38.4,,,,,6239.25,38387.1,469.2,431.8,65.6,20.4,14.0,0.0,2021
39,030680120260001,School,Litchfield Senior High School,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,378,89.7,,4.0,,,,3.7,17.2,15.3,,51.9,9.0,176.0,90.2,50.0,12.5,3.7,17.7,4.4,,,,89.3,,,,39.5,,,,,9283.0,14265.0,488.4,459.9,44.8,31.0,23.0,1.1,2021
40,030680220260001,School,Nokomis Jr/Sr High Sch,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,MEDIUM,HIGH SCHOOL,6 - 12,Commendable,All Students,Schoolwide Title I Program,305,94.8,,,,,,,18.7,17.4,,32.8,,176.0,92.3,,,,11.4,3.0,,,,79.7,,,,25.6,,,,,9384.58,15785.23,470.4,449.0,52.1,27.1,20.8,0.0,2021
41,040041000260001,School,Belvidere High School,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,HIGH SCHOOL,9 - 12,Targeted,English Learner,"Eligible, but Not a Participan",1237,43.5,2.7,49.1,0.8,,,3.4,21.7,16.4,16.9,40.9,1.4,176.0,79.2,486.0,36.9,8.4,22.6,5.0,,,,90.6,,,,61.2,,,,,10128.48,13796.74,446.6,420.4,65.7,25.3,8.3,0.7,2021
42,040041000260002,School,Belvidere North High Sch,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,HIGH SCHOOL,9 - 12,Targeted,English Learner,"Eligible, but Not a Participan",1391,60.7,3.3,31.3,1.0,,,3.0,19.1,13.9,8.1,30.2,0.7,176.0,84.0,440.0,30.0,4.3,21.0,5.0,,,,84.7,,,,50.6,,,,,9942.98,13611.23,471.4,447.1,54.1,27.1,17.1,1.8,2021
43,040042000260003,School,North Boone High School,North Boone CUSD 200,Poplar Grove,Boone,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,489,56.9,2.0,31.7,,,,8.2,20.0,15.7,7.4,37.0,,176.0,90.6,34.0,6.7,2.7,21.8,5.0,,,,87.6,,,,30.9,,,,,8602.11,13712.86,456.0,446.4,56.3,27.0,15.1,1.6,2021
44,041011220220002,School,Harlem High School,Harlem UD 122,Machesney Park,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",1903,70.0,6.3,14.0,2.0,,0.5,7.0,23.9,19.2,3.3,49.2,2.2,176.0,82.1,1185.0,58.8,6.6,24.9,5.0,,,,95.6,,,,59.2,,,,,11660.11,15298.81,462.4,443.4,58.4,24.3,15.2,2.1,2021
45,041012050250001,School,Auburn High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,Low Graduation Rate,Schoolwide Title I Program,1876,27.7,42.2,18.0,3.8,,,8.1,18.4,15.0,4.1,43.8,4.4,176.0,81.6,1099.0,52.0,18.8,25.6,4.5,,,,85.5,,,,62.2,,,,,9660.04,13287.97,471.2,451.8,62.0,14.6,16.3,7.1,2021
46,041012050250002,School,Rockford East High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,Comprehensive,Low Graduation Rate,Schoolwide Title I Program,1599,27.8,30.2,29.1,6.3,,,6.1,17.8,15.1,15.3,47.3,4.3,176.0,82.5,985.0,53.6,14.8,25.9,5.0,,,,89.3,,,,61.3,,,,,10509.43,13845.6,425.2,400.4,80.8,16.0,3.2,0.0,2021
47,041012050250003,School,Guilford High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,Targeted,Black/African American,Schoolwide Title I Program,1881,39.4,24.8,23.4,4.4,,,7.8,17.1,13.3,6.6,31.5,3.1,176.0,84.9,906.0,43.3,9.5,25.5,5.0,,,,91.0,,,,57.8,,,,,9131.78,12300.75,451.5,431.9,61.6,24.4,13.0,1.0,2021
48,041012050250004,School,Jefferson High School,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,9 - 12,Targeted,"Children with Disabilities, Bl",Schoolwide Title I Program,1982,20.6,19.9,52.1,2.4,,,4.9,18.8,16.7,28.8,44.5,4.1,176.0,81.8,1235.0,55.3,13.8,27.1,5.0,,,,87.5,,,,64.0,,,,,9259.91,12656.59,420.3,402.2,79.2,15.9,4.9,0.0,2021
49,041012050253075,School,Roosevelt Center,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,HIGH SCHOOL,PK - 12,,,"Eligible, but Not a Participan",429,18.6,41.3,32.2,,,,6.5,21.0,14.5,7.9,48.0,7.5,176.0,,,,,7.1,0.0,,,,85.6,,,,,,,,,14679.56,20036.73,,,,,,,2021
50,041012070160001,School,Hononegah CHD High School,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,1885,79.8,1.9,11.0,2.9,,,4.2,18.3,13.2,1.0,22.1,,176.0,93.3,177.0,9.0,3.2,23.1,5.0,,,,94.9,,,,16.2,,,,,14398.38,14398.38,539.7,519.2,25.1,29.5,37.7,7.8,2021
51,041013200260001,School,South Beloit Sr High School,County of Winnebago SD 320,South Beloit,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",228,60.5,,28.5,,,,6.6,11.0,8.8,7.0,67.1,,176.0,88.5,25.0,9.9,7.2,16.5,5.0,,,,90.4,,,,41.2,,,,,12861.44,14231.08,462.1,452.8,48.8,39.5,9.3,2.3,2021
52,041013210260001,School,Pecatonica High School,Pecatonica CUSD 321,Pecatonica,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",262,90.1,,6.1,,,,,19.1,13.7,,21.4,,176.0,94.4,11.0,4.0,10.2,15.4,5.0,,,,93.3,,,,13.1,,,,,10017.28,15515.04,541.8,511.6,25.5,30.9,38.2,5.5,2021
53,041013220260001,School,Durand High School,Durand CUSD 322,Durand,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",173,87.3,,9.2,,,,,9.2,6.4,,28.9,,176.0,95.7,,,,13.6,5.0,,,,92.5,,,,6.7,,,,,11496.22,18052.54,497.3,456.6,48.8,39.0,12.2,0.0,2021
54,041013230260001,School,Winnebago High School,Winnebago CUSD 323,Winnebago,Winnebago,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,415,83.9,3.4,7.0,,,,4.3,14.2,14.2,2.4,21.0,,176.0,94.3,32.0,7.6,5.0,14.6,3.0,,,,95.5,,,,15.9,,,,,10971.64,19484.46,507.1,485.9,39.2,34.3,22.5,3.9,2021
55,050162020170001,School,Evanston Twp High School,Evanston Twp HSD 202,Evanston,Cook,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,3636,45.1,24.8,19.9,5.4,,0.3,4.2,28.7,13.2,6.0,31.7,2.1,178.0,92.6,642.0,17.1,2.1,15.2,3.0,,,,94.6,,,,23.0,,,,,0.0,23958.96,530.1,509.7,33.8,24.0,30.8,11.4,2021
56,050162030170001,School,New Trier Township H S Winnetka,New Trier Twp HSD 203,Winnetka,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,10 - 12,Exemplary,All Students,Targeted Assistance Title I Pr,2960,77.2,0.6,7.2,9.7,,,4.9,30.6,16.5,0.4,3.2,,178.0,92.9,109.0,3.7,,21.2,5.0,,,,94.7,,,,20.8,,,,,18437.24,29310.07,595.2,586.7,11.0,19.5,45.1,24.4,2021
57,050162030170002,School,New Trier Township H S Northfield,New Trier Twp HSD 203,Northfield,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9,Exemplary,All Students,Targeted Assistance Title I Pr,886,74.5,,9.1,10.2,,,5.8,29.0,18.5,,2.8,,178.0,95.1,17.0,1.9,,22.4,5.0,,,,93.3,,,,11.0,,,,,17728.08,28600.91,,,,,,,2021
58,050162070170001,School,Maine East High School,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1834,35.7,4.9,25.1,31.1,,,2.7,19.1,14.7,20.0,38.7,1.0,180.0,88.7,493.0,26.3,1.0,22.1,3.5,,,,91.3,,,,37.8,,,,,17575.4,25208.52,481.4,474.0,45.7,25.0,24.3,5.0,2021
59,050162070170003,School,Maine South High School,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",2409,82.0,0.5,10.7,4.4,,,2.3,21.5,9.3,1.7,5.5,,180.0,92.5,247.0,10.0,,24.0,3.5,,,,92.2,,,,22.3,,,,,16134.35,23767.47,557.5,551.9,15.8,28.0,41.0,15.1,2021
60,050162070170004,School,Maine West High School,Maine Township HSD 207,Des Plaines,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1939,38.7,3.4,44.9,10.3,,,2.5,18.4,13.6,11.9,32.1,1.2,180.0,87.0,656.0,32.6,0.9,21.3,3.5,,,,93.8,,,,43.7,,,,,18139.27,25772.38,481.2,476.0,42.7,29.8,23.9,3.6,2021
61,050162110170001,School,J B Conant High School,Township HSD 211,Hoffman Estates,Cook,HIGH SCHOOL,LARGE,HIGH SCHOOL,9 - 12,Exemplary,All Students,"Eligible, but Not a Participan",2401,45.6,4.0,18.1,29.0,,,3.1,16.2,7.3,6.4,24.7,0.7,180.0,94.4,73.0,2.9,0.5,23.1,5.0,,,,95.1,,,,15.5,,,,,15182.0,18200.0,529.5,546.4,24.5,20.4,38.8,16.4,2021
