RCDTS,Type,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
10690060260001,School,Waverly Junior/Senior High School,Waverly CUSD 6,Waverly,Morgan,UNIT,HIGH SCHOOL,7 - 12,Commendable,All Students,Targeted Assistance Title I Pr,129,94.6,0.0,0.0,0.0,0.0,0.0,3.2,13.2,13.2,0.0,51.9,5.9,176.0,90.7,21.3,,11.0,5.0,79.7,20.3,64.7,79.5,48783.0,90375.0,35.5,82.1,6.0,0.0,6.0,5627.29,16976.43,445.2,424.8,76.2,9.5,14.3,0.0,2022
10690110260001,School,Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,HIGH SCHOOL,9 - 12,,,"Eligible, but Not a Participan",47,89.4,0.0,0.0,0.0,0.0,0.0,0.0,25.4,25.4,0.0,70.2,0.0,178.0,84.6,26.0,,8.7,5.0,79.3,16.7,82.6,75.6,45840.0,89524.0,58.0,96.6,0.0,0.0,0.0,15012.89,23548.61,416.7,388.7,93.3,6.7,0.0,0.0,2022
10690270260001,School,Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,HIGH SCHOOL,7 - 12,Commendable,All Students,"Eligible, but Not a Participan",184,94.0,0.0,2.8,0.0,0.0,0.0,0.0,15.2,13.6,0.0,28.3,0.0,176.0,93.6,,,15.6,3.2,74.6,25.4,91.3,62.0,42957.0,96081.0,20.1,88.7,0.0,7.5,0.0,5939.67,10362.71,476.2,491.0,34.5,27.6,37.9,0.0,2022
10691170220014,School,Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,HIGH SCHOOL,9 - 12,Targeted,"Children with Disabilities, Low Income","Eligible, but Not a Participan",840,76.7,10.8,3.5,1.3,0.0,0.0,7.6,23.3,19.5,2.5,55.7,1.7,176.0,87.9,24.2,4.7,18.2,4.9,63.5,34.4,86.7,67.9,55756.0,94284.0,40.0,72.2,10.7,4.5,0.6,10080.72,15767.98,477.6,448.2,56.7,24.6,17.0,1.8,2022
10750030260002,School,Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",96,97.9,0.0,0.0,0.0,0.0,0.0,0.0,19.8,19.8,0.0,41.7,0.0,177.0,90.1,25.0,,14.1,3.0,55.3,41.5,89.5,31.0,47423.0,98541.0,34.0,96.1,2.6,1.3,0.0,8281.24,15164.83,438.3,422.3,66.7,30.0,3.3,0.0,2022
10750040260002,School,Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,95,97.9,0.0,0.0,0.0,0.0,0.0,0.0,12.6,12.6,0.0,37.9,4.0,176.0,91.7,8.8,,12.7,2.5,75.0,25.0,93.3,62.6,45411.0,67702.0,35.8,95.4,3.1,0.0,0.0,12911.56,17362.16,461.0,438.0,63.3,26.7,10.0,0.0,2022
10750100260009,School,Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",338,95.3,0.0,3.3,0.0,0.0,0.0,1.1,15.4,15.4,1.2,42.6,0.0,176.0,91.0,8.2,2.8,17.9,2.5,69.2,29.7,90.5,60.4,44682.0,81200.0,26.1,94.8,1.7,2.6,0.0,6806.18,10201.58,470.5,450.3,54.4,32.9,11.4,1.3,2022
10750120260001,School,Western High School,Western CUSD 12,Barry,Pike,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",138,95.7,0.0,0.0,0.0,0.0,0.0,0.0,15.2,13.8,0.0,58.7,7.0,176.0,90.5,15.9,,12.3,5.0,61.4,38.6,92.9,75.8,46065.0,93040.0,34.0,96.5,1.2,1.2,0.0,8812.09,13500.87,493.3,463.7,48.1,37.0,7.4,7.4,2022
10860010260001,School,Winchester High School,Winchester CUSD 1,Winchester,Scott,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",166,97.6,0.0,0.0,0.0,0.0,0.0,0.0,25.3,19.9,0.0,40.4,0.0,176.0,93.0,7.1,,12.5,4.7,61.9,34.1,86.9,60.1,45617.0,90474.0,19.6,97.2,0.0,0.9,0.0,3587.88,9420.65,460.3,443.6,48.5,36.4,15.2,0.0,2022
10860020260001,School,Bluffs High School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,HIGH SCHOOL,9 - 12,,,"Eligible, but Not a Participan",57,94.7,0.0,0.0,0.0,0.0,0.0,0.0,16.9,16.9,0.0,45.6,0.0,176.0,88.3,16.4,,11.7,5.0,55.0,37.3,86.7,61.7,42421.0,86929.0,50.8,97.1,0.0,0.0,0.0,4280.61,17850.57,451.7,466.7,33.3,55.6,11.1,0.0,2022
30030010260001,School,Mulberry Grove Sr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",105,93.3,0.0,0.0,0.0,0.0,0.0,3.5,20.0,20.0,0.0,51.4,3.5,176.0,89.6,16.2,,10.5,5.0,71.8,28.2,76.0,62.6,49205.0,85271.0,40.2,96.3,2.5,1.2,0.0,4269.67,10268.28,451.6,443.4,56.3,31.3,12.5,0.0,2022
30030020260001,School,Bond Cty Comm Unit 2 High School,Bond County CUSD 2,Greenville,Bond,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,485,89.7,2.2,2.1,0.0,0.0,0.0,5.4,21.4,20.0,0.0,47.0,0.9,176.0,92.4,9.7,2.9,16.6,5.0,41.5,57.7,91.6,66.3,63149.0,98147.0,23.2,82.9,5.0,3.8,0.5,10734.43,14258.45,495.2,472.9,42.6,32.8,24.6,0.0,2022
30110010260002,School,Morrisonville High School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",85,94.1,0.0,0.0,0.0,0.0,0.0,0.0,24.7,24.7,0.0,42.4,5.5,176.0,91.3,13.6,,10.8,3.9,74.5,21.9,94.4,54.0,52618.0,88215.0,34.1,95.5,0.0,1.5,0.0,10292.32,15952.32,447.8,403.5,73.9,26.1,0.0,0.0,2022
30110030260006,School,Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",759,92.0,1.0,3.0,0.5,0.0,0.0,3.2,13.2,12.6,0.0,36.8,2.5,176.0,90.9,24.7,3.4,19.8,4.0,70.8,27.8,94.3,65.3,57795.0,99576.0,31.3,91.3,2.4,1.0,0.3,11245.09,13370.41,475.2,453.2,51.7,26.7,21.0,0.6,2022
30110040260002,School,Edinburg High School,Edinburg CUSD 4,Edinburg,Christian,UNIT,HIGH SCHOOL,9 - 12,,,"Eligible, but Not a Participan",73,90.4,0.0,0.0,0.0,0.0,0.0,5.9,16.4,15.1,0.0,42.5,4.2,176.0,92.9,7.4,,12.7,5.0,81.5,18.5,90.0,59.5,49536.0,110797.0,20.9,93.6,0.0,0.0,0.0,7599.55,15059.68,493.1,402.3,84.6,7.7,7.7,0.0,2022
30110080260006,School,Pana Sr High School,Pana CUSD 8,Pana,Christian,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",379,96.6,0.0,1.1,0.0,0.0,0.0,1.8,16.9,14.2,0.0,59.4,3.4,177.0,93.3,12.5,4.4,18.0,5.0,71.1,28.9,83.8,72.8,54705.0,89063.0,21.2,94.5,0.9,1.4,0.0,11268.83,14123.44,473.0,438.6,60.8,24.1,15.2,0.0,2022
30110140240001,School,South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,UNIT,HIGH SCHOOL,6 - 12,Commendable,All Students,Schoolwide Title I Program,151,86.1,0.0,5.4,0.0,0.0,0.0,7.3,23.8,21.9,0.0,58.9,7.3,176.0,87.1,39.0,,13.8,5.0,77.8,22.2,59.4,67.1,46207.0,85118.0,48.2,80.7,0.0,5.3,0.0,8834.76,12685.84,417.0,393.5,75.0,25.0,0.0,0.0,2022
30250100260001,School,Altamont High School,Altamont CUSD 10,Altamont,Effingham,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",223,93.7,0.0,1.9,0.0,0.0,0.0,2.8,14.3,12.1,0.0,43.5,2.0,176.0,94.3,11.4,,15.0,4.4,73.1,26.9,92.3,80.7,48878.0,87330.0,17.7,92.6,3.7,2.2,0.7,7991.76,12970.89,462.2,445.3,57.6,27.1,15.3,0.0,2022
30250200260001,School,Beecher City Jr-Sr High School,Beecher City CUSD 20,Beecher City,Effingham,UNIT,HIGH SCHOOL,6 - 12,Commendable,All Students,Targeted Assistance Title I Pr,158,94.9,0.0,0.0,0.0,0.0,0.0,3.4,16.5,11.4,0.0,39.9,4.3,176.0,94.7,7.7,,12.2,5.0,69.6,30.4,76.9,93.2,52806.0,89665.0,12.4,97.8,0.0,0.0,0.0,10573.81,13852.51,504.2,524.2,29.2,25.0,29.2,16.7,2022
30250300260001,School,Dieterich Jr/Sr High School,Dieterich CUSD 30,Dieterich,Effingham,UNIT,HIGH SCHOOL,7 - 12,Commendable,All Students,"Eligible, but Not a Participan",261,95.8,0.0,0.0,0.0,0.0,0.0,0.0,11.1,11.1,0.0,20.7,3.7,176.0,95.3,1.8,,17.2,5.0,68.5,31.5,94.0,73.6,51342.0,94964.0,10.7,96.4,1.2,1.2,0.0,9903.0,12153.08,468.6,468.9,40.0,42.9,17.1,0.0,2022
30250400260001,School,Effingham High School,Effingham CUSD 40,Effingham,Effingham,UNIT,HIGH SCHOOL,9 - 12,Targeted,Children with Disabilities,"Eligible, but Not a Participan",687,87.2,2.0,5.8,1.7,0.0,0.0,2.3,10.2,10.2,3.2,39.0,3.5,176.0,92.7,18.0,3.1,19.1,5.0,59.4,40.6,92.0,97.6,56611.0,111207.0,25.1,91.2,1.4,3.9,0.7,7317.34,9023.76,471.2,451.4,54.2,26.8,18.5,0.6,2022
30250400263002,School,Effingham Unit 40 Preschool,Effingham CUSD 40,Effingham,Effingham,UNIT,HIGH SCHOOL,PK,,,"Eligible, but Not a Participan",118,88.1,1.9,6.1,1.0,0.0,0.0,2.4,43.2,43.2,3.7,62.7,12.7,176.0,93.6,10.8,3.1,19.1,0.0,59.4,40.6,80.0,97.6,56611.0,111207.0,18.9,91.2,1.4,3.9,0.7,6585.01,8291.43,,,,,,,2022
30250500260001,School,Teutopolis High School,Teutopolis CUSD 50,Teutopolis,Effingham,UNIT,HIGH SCHOOL,9 - 12,Exemplary,All Students,"Eligible, but Not a Participan",319,97.5,0.0,0.0,0.0,0.0,0.0,1.2,8.5,8.5,0.0,3.1,0.9,176.0,96.1,,,19.4,5.0,55.6,44.4,86.9,70.9,60494.0,92593.0,7.5,92.2,1.6,0.8,0.8,7867.23,10567.95,503.4,492.0,32.3,35.5,31.2,1.1,2022
30262010260003,School,Brownstown High School,Brownstown CUSD 201,Brownstown,Fayette,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,88,98.9,0.0,0.0,0.0,0.0,0.0,2.8,15.9,13.6,0.0,56.8,7.1,176.0,90.8,10.3,,11.7,5.0,64.2,35.8,63.6,68.5,48126.0,77659.0,26.9,92.2,0.0,1.6,0.0,14018.97,15075.54,456.2,434.8,57.1,42.9,0.0,0.0,2022
30262020260002,School,St Elmo Sr High School,St Elmo CUSD 202,Saint Elmo,Fayette,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,124,96.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,13.7,0.0,40.3,5.9,176.0,92.8,6.5,,14.7,5.0,78.3,21.7,81.3,60.0,55403.0,111490.0,21.5,93.8,1.5,4.6,0.0,641.97,12657.62,476.6,446.9,48.3,41.4,10.3,0.0,2022
30262030260001,School,Vandalia Community High School,Vandalia CUSD 203,Vandalia,Fayette,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,384,94.0,0.0,1.7,0.0,0.0,0.0,3.4,12.2,12.2,0.0,57.8,7.0,176.0,89.9,15.9,3.1,14.4,5.0,47.2,45.9,88.3,67.5,63850.0,99035.0,35.7,89.9,0.4,1.9,0.0,3346.72,13002.71,448.1,437.5,57.3,33.3,9.3,0.0,2022
30262040260002,School,Ramsey High School,Ramsey CUSD 204,Ramsey,Fayette,UNIT,HIGH SCHOOL,6 - 12,Commendable,All Students,Schoolwide Title I Program,200,95.5,0.0,0.0,0.0,0.0,0.0,0.0,19.5,17.5,0.0,60.0,9.0,176.0,92.0,10.2,,14.1,5.0,68.7,31.3,90.9,42.9,50382.0,94587.0,30.8,97.4,1.3,1.3,0.0,7448.66,13532.03,456.9,455.2,52.4,35.7,11.9,0.0,2022
30680020260001,School,Lincolnwood High School,Panhandle CUSD 2,Raymond,Montgomery,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",135,91.1,0.0,6.2,0.0,0.0,0.0,0.0,25.2,22.2,0.0,46.7,5.1,176.0,92.1,13.2,,11.3,5.0,64.4,35.6,81.8,100.0,53124.0,77288.0,30.4,92.9,1.2,1.2,0.0,11078.56,16854.09,463.7,457.0,55.6,18.5,22.2,3.7,2022
30680030260001,School,Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",458,92.8,1.0,3.1,0.0,0.0,0.0,2.6,19.2,18.1,0.0,46.5,3.7,176.0,91.0,22.0,2.2,16.6,4.9,58.9,40.2,86.8,51.6,57002.0,96410.0,31.3,89.7,1.7,4.4,0.0,8781.92,12576.88,457.0,431.2,58.1,32.4,9.5,0.0,2022
30680120260001,School,Litchfield Senior High School,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,401,91.0,1.3,3.5,0.8,0.0,0.0,2.7,17.2,17.2,0.0,47.1,8.5,176.0,93.5,8.4,,18.9,4.6,62.7,37.3,85.7,63.2,66693.0,103693.0,20.9,95.2,1.5,1.8,0.0,9256.0,14506.0,463.9,445.5,56.1,29.6,14.3,0.0,2022
30680220260001,School,Nokomis Jr/Sr High Sch,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,HIGH SCHOOL,6 - 12,Commendable,All Students,Schoolwide Title I Program,305,94.4,0.0,2.4,0.0,0.0,0.0,2.4,12.5,12.5,0.0,39.0,2.7,176.0,93.7,3.7,,11.6,3.0,74.0,23.9,84.9,61.8,51596.0,116681.0,17.7,99.0,0.0,1.0,0.0,10165.7,16832.95,465.4,468.3,45.7,34.3,20.0,0.0,2022
40041000260001,School,Belvidere High School,Belvidere CUSD 100,Belvidere,Boone,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",1192,41.4,2.9,51.1,1.0,0.0,0.3,2.9,20.0,14.9,19.6,54.4,1.2,176.0,86.9,26.9,3.9,22.0,5.0,35.8,63.2,87.9,70.5,67087.0,108792.0,45.1,46.8,5.1,43.2,0.4,11856.83,16027.21,438.0,410.5,74.7,19.2,4.5,1.5,2022
40041000260002,School,Belvidere North High Sch,Belvidere CUSD 100,Belvidere,Boone,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",1396,59.0,3.0,32.9,1.4,0.0,0.3,3.2,19.6,13.6,10.5,39.6,2.0,176.0,89.4,22.2,1.6,19.7,5.0,35.8,63.2,87.6,70.5,67087.0,108792.0,35.7,46.8,5.1,43.2,0.4,11532.97,15703.36,480.4,454.6,53.6,28.4,16.4,1.6,2022
40042000260003,School,North Boone High School,North Boone CUSD 200,Poplar Grove,Boone,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,505,56.6,0.9,33.9,0.0,0.0,0.0,7.3,18.4,12.9,7.7,34.9,0.0,176.0,88.5,12.8,2.3,20.2,5.0,42.6,56.5,91.6,58.7,64497.0,93053.0,40.2,65.1,1.9,25.3,0.0,8563.92,14358.33,461.4,434.6,58.4,32.0,9.6,0.0,2022
41011220220002,School,Harlem High School,Harlem UD 122,Machesney Park,Winnebago,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",1822,69.2,6.1,14.7,2.0,0.0,0.4,7.6,24.4,18.3,3.8,53.0,3.1,176.0,85.7,50.9,3.5,23.4,5.0,37.1,62.2,92.9,60.3,69246.0,108053.0,48.2,67.8,8.3,14.3,0.8,12391.71,16481.89,465.1,444.3,59.0,26.1,13.3,1.7,2022
41012050250001,School,Auburn High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL,9 - 12,Intensive,"Low Graduation Rate, From Comprehensive",Schoolwide Title I Program,1725,28.4,39.4,20.3,3.9,0.1,0.2,7.9,18.2,14.0,4.9,59.7,4.5,176.0,84.7,52.1,8.5,23.0,5.0,42.9,56.1,84.4,72.2,66577.0,103800.0,53.5,25.9,37.1,26.8,1.9,10085.49,15272.9,473.6,447.2,62.6,15.7,14.6,7.0,2022
41012050250002,School,Rockford East High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL,9 - 12,Targeted,Children with Disabilities,Schoolwide Title I Program,1586,28.1,29.6,29.0,6.4,0.1,0.2,6.6,15.7,13.6,18.0,68.9,5.4,176.0,85.5,52.6,8.8,24.3,5.0,42.9,56.1,88.5,72.2,66577.0,103800.0,52.9,25.9,37.1,26.8,1.9,10599.07,15541.75,429.3,410.3,72.1,21.8,6.1,0.0,2022
41012050250003,School,Guilford High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",1928,38.3,24.7,25.6,4.3,0.1,0.2,6.9,15.8,12.3,8.4,51.2,3.6,176.0,87.7,42.5,6.7,26.0,5.0,42.9,56.1,89.2,72.2,66577.0,103800.0,47.2,25.9,37.1,26.8,1.9,9327.88,13908.71,464.9,440.2,61.3,22.0,14.6,2.1,2022
41012050250004,School,Jefferson High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,Schoolwide Title I Program,1964,18.6,18.5,55.5,2.5,0.1,0.2,4.5,17.7,15.4,36.6,69.0,5.1,176.0,85.3,53.9,6.8,25.2,5.0,42.9,56.1,85.8,72.2,66577.0,103800.0,56.8,25.9,37.1,26.8,1.9,9288.58,14318.12,406.7,385.0,86.5,11.5,1.8,0.2,2022
41012050253075,School,Roosevelt Center,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL,PK - 12,,,"Eligible, but Not a Participan",535,18.1,42.1,30.7,3.9,0.1,0.2,8.4,13.1,8.4,9.3,73.3,9.0,176.0,87.6,46.1,7.6,5.9,0.0,42.9,56.1,91.7,72.2,66577.0,103800.0,47.5,25.9,37.1,26.8,1.9,11982.35,17975.57,,,,,,,2022
41012070160001,School,Hononegah CHD High School,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,HIGH SCHOOL,9 - 12,Commendable,All Students,Targeted Assistance Title I Pr,1848,78.8,2.1,11.9,2.2,0.0,0.0,4.8,18.9,13.2,1.2,25.5,0.0,176.0,93.1,7.8,1.5,22.8,5.0,26.8,73.2,93.1,68.4,80602.0,101616.0,18.7,75.3,6.9,13.5,0.4,15644.71,15644.71,548.9,528.4,22.8,31.1,35.3,10.7,2022
41013200260001,School,South Beloit Sr High School,County of Winnebago SD 320,South Beloit,Winnebago,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",231,55.0,4.8,29.9,0.0,0.0,0.0,9.5,14.3,12.1,9.1,64.5,0.0,176.0,90.0,11.2,4.3,15.4,5.0,60.9,39.1,84.6,69.1,54489.0,93679.0,38.7,55.0,4.6,31.2,0.0,12042.11,14525.85,460.4,462.6,46.8,29.8,23.4,0.0,2022
41013210260001,School,Pecatonica High School,Pecatonica CUSD 321,Pecatonica,Winnebago,UNIT,HIGH SCHOOL,9 - 12,Commendable,All Students,"Eligible, but Not a Participan",278,88.8,1.6,6.5,0.0,0.0,0.0,4.0,19.1,13.7,1.8,25.5,0.0,176.0,94.7,4.1,,16.2,5.0,45.2,53.3,94.9,71.5,53805.0,101139.0,10.8,85.2,2.7,2.2,2.7,9027.16,15153.0,533.0,510.2,33.7,25.3,32.5,8.4,2022
