School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Amesbury - Charles C Cashman Elementary,00070010,     164,21.8,        393,49.4,50.6,4.3,25.5,34.1,00070000,1.8,0.0,13.2,81.7,0.3,0.3,2.8,Amesbury,"          $39,966,168.64","           1,789.1","              $22,338.70","          $45,461,590.81","           1,981.4","              $22,944.18",2023
Amesbury - Shay Elementary,00070005,     178,19.4,        500,47.4,52.6,4.6,24.0,33.8,00070000,2.2,0.4,13.8,81.2,0.2,0.0,2.2,Amesbury,"          $39,966,168.64","           1,789.1","              $22,338.70","          $45,461,590.81","           1,981.4","              $22,944.18",2023
Amherst - Crocker Farm Elementary,00080009,      98,17.9,        338,50.6,47.3,14.2,26.3,32.0,00080000,11.2,11.8,21.6,46.5,0.0,0.3,8.6,Amherst,"          $30,039,874.00","           1,062.1","              $28,283.47","          $32,556,546.52","           1,191.1","              $27,333.18",2023
Amherst - Fort River Elementary,00080020,     118,17.0,        346,45.7,54.3,13.6,27.2,31.5,00080000,6.4,9.8,34.1,43.6,0.3,0.0,5.8,Amherst,"          $30,039,874.00","           1,062.1","              $28,283.47","          $32,556,546.52","           1,191.1","              $27,333.18",2023
Amherst - Wildwood Elementary,00080050,      98,20.4,        316,50.0,49.1,13.6,24.7,42.1,00080000,14.6,14.2,18.7,45.3,0.3,0.0,7.0,Amherst,"          $30,039,874.00","           1,062.1","              $28,283.47","          $32,556,546.52","           1,191.1","              $27,333.18",2023
Amherst-Pelham - Amherst Regional High,06050505,     695,12.4,        851,46.9,50.3,6.5,24.2,27.7,06050000,6.9,8.5,18.6,57.8,0.0,0.0,8.2,Amherst-Pelham,"          $32,489,016.00","           1,241.1","              $26,177.60","          $37,562,376.22","           1,390.9","              $27,005.81",2023
Amherst-Pelham - Amherst Regional Middle School,06050405,     288,15.0,        384,46.1,52.6,6.5,30.0,34.9,06050000,10.2,11.7,18.0,54.2,0.5,0.3,5.2,Amherst-Pelham,"          $32,489,016.00","           1,241.1","              $26,177.60","          $37,562,376.22","           1,390.9","              $27,005.81",2023
Andover - Andover High,00090505,     955,15.3,"      1,682",49.9,50.0,1.9,14.6,13.0,00090000,3.1,21.4,9.5,62.4,0.2,0.1,3.2,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Andover - Andover West Middle,00090310,     304,17.3,        502,52.6,47.2,3.6,15.5,15.3,00090000,3.2,18.5,10.2,65.9,0.0,0.0,2.2,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Andover - Bancroft Elementary,00090003,     175,20.9,        523,50.1,49.9,2.3,23.1,9.2,00090000,1.0,8.4,10.5,73.8,0.0,0.0,6.3,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Andover - Doherty Middle,00090305,     298,16.7,        469,48.0,51.8,0.0,17.1,8.1,00090000,1.7,8.5,5.5,80.0,0.0,0.0,4.3,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Andover - Henry C Sanborn Elementary,00090010,     119,19.7,        335,44.8,55.2,6.6,10.5,10.8,00090000,3.3,20.3,9.9,59.4,0.3,0.0,6.9,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Andover - High Plain Elementary,00090004,     175,22.3,        557,49.0,50.8,10.4,16.5,12.4,00090000,4.3,27.5,13.8,47.6,0.0,0.2,6.6,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Andover - Shawsheen School,00090005,      12,8.8,        105,42.9,57.1,3.8,59.1,25.7,00090000,5.7,15.2,16.2,56.2,0.0,0.0,6.7,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Andover - South Elementary,00090020,     154,20.0,        440,46.1,53.9,1.8,12.7,10.0,00090000,1.1,18.2,7.3,66.4,0.0,0.0,7.1,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Andover - West Elementary,00090025,     203,19.7,        572,47.2,52.8,4.7,25.0,14.7,00090000,4.2,16.6,9.1,63.8,0.2,0.0,6.1,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Andover - Wood Hill Middle School,00090350,     235,14.3,        333,41.1,58.3,3.0,20.1,12.0,00090000,3.9,30.9,12.0,49.3,0.3,0.0,3.6,Andover,"         $120,895,506.40","           5,569.1","              $21,708.27","         $128,212,610.90","           5,663.7","              $22,637.61",2023
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,     382,16.9,        578,46.2,53.5,16.4,27.0,72.3,35090000,14.5,2.3,26.1,50.2,0.9,0.2,5.9,Argosy Collegiate Charter School (District),"          $10,104,246.97",             546.6,"              $18,485.63","          $10,104,246.97",             546.6,"              $18,485.63",2023
Arlington - Arlington High,00100505,     983,14.9,"      1,616",49.0,49.3,2.0,14.2,11.2,00100000,3.3,10.5,8.4,71.2,0.1,0.1,6.4,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - Brackett,00100010,     148,20.5,        421,46.3,53.4,5.0,18.1,3.1,00100000,1.2,10.7,5.5,67.7,0.0,0.0,15.0,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - Cyrus E Dallin,00100025,     149,20.0,        410,52.4,47.3,4.2,15.9,6.8,00100000,1.2,14.4,7.3,65.9,0.0,0.0,11.2,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - Gibbs School,00100305,     299,18.8,        471,52.2,46.9,3.0,17.6,10.0,00100000,3.2,10.4,7.2,68.4,0.0,0.0,10.8,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - Hardy,00100030,     156,17.6,        383,48.0,51.7,7.8,21.4,11.0,00100000,2.4,12.8,7.3,65.5,0.0,0.0,12.0,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - John A Bishop,00100005,     135,20.7,        383,49.6,50.4,6.0,12.5,5.2,00100000,1.3,10.4,6.8,68.7,0.0,0.0,12.8,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - M Norcross Stratton,00100055,     156,20.4,        437,48.1,51.5,12.4,17.2,11.4,00100000,3.0,19.2,7.8,59.3,0.0,0.0,10.8,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - Menotomy Preschool,00100038,       7,15.3,        107,33.6,66.4,0.0,64.5,22.4,00100000,8.4,18.7,12.2,45.8,0.9,0.0,14.0,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - Ottoson Middle,00100410,     588,17.5,        952,48.8,49.9,3.7,20.2,10.6,00100000,3.4,14.0,7.9,69.3,0.0,0.2,5.3,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - Peirce,00100045,     121,20.1,        333,44.4,55.3,11.7,18.3,11.4,00100000,6.3,16.2,10.5,60.7,0.0,0.0,6.3,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Arlington - Thompson,00100050,     170,22.2,        521,49.7,49.9,10.8,19.0,21.9,00100000,6.1,13.1,8.8,60.1,0.2,0.0,11.7,Arlington,"         $113,165,838.50","           6,019.7","              $18,799.25","         $119,119,025.90","           6,117.7","              $19,471.21",2023
Ashburnham-Westminster - Briggs Elementary,06100025,     270,18.9,        504,50.6,49.2,4.2,22.4,23.4,06100000,2.8,0.8,6.8,87.1,0.0,0.0,2.6,Ashburnham-Westminster,"          $35,763,196.29","           2,252.5","              $15,877.11","          $38,700,936.81","           2,350.7","              $16,463.58",2023
Ashburnham-Westminster - Meetinghouse School,06100010,      97,16.9,        194,51.6,48.5,3.6,12.4,18.6,06100000,3.1,0.0,5.2,89.2,0.0,0.0,2.6,Ashburnham-Westminster,"          $35,763,196.29","           2,252.5","              $15,877.11","          $38,700,936.81","           2,350.7","              $16,463.58",2023
Ashburnham-Westminster - Oakmont Regional High School,06100505,     332,16.0,        638,46.2,52.0,0.8,16.5,22.7,06100000,1.7,1.4,9.1,83.9,0.2,0.0,3.8,Ashburnham-Westminster,"          $35,763,196.29","           2,252.5","              $15,877.11","          $38,700,936.81","           2,350.7","              $16,463.58",2023
Ashburnham-Westminster - Overlook Middle School,06100305,     362,19.3,        544,50.6,49.1,0.9,16.4,23.5,06100000,1.7,0.6,8.6,86.6,0.0,0.0,2.6,Ashburnham-Westminster,"          $35,763,196.29","           2,252.5","              $15,877.11","          $38,700,936.81","           2,350.7","              $16,463.58",2023
Ashburnham-Westminster - Westminster Elementary,06100005,     230,19.7,        400,50.3,49.5,2.8,18.8,22.0,06100000,1.3,0.8,5.5,89.8,0.0,0.0,2.8,Ashburnham-Westminster,"          $35,763,196.29","           2,252.5","              $15,877.11","          $38,700,936.81","           2,350.7","              $16,463.58",2023
Ashland - Ashland High,00140505,     460,16.4,        888,49.2,50.7,5.7,14.0,22.5,00140000,2.7,13.2,18.4,62.3,0.7,0.0,2.8,Ashland,"          $46,927,293.37","           2,889.7","              $16,239.50","          $51,197,608.86","           2,950.1","              $17,354.53",2023
Ashland - Ashland Middle,00140405,     453,19.2,        693,48.5,51.4,5.3,21.5,20.4,00140000,3.6,16.0,20.2,56.3,0.0,0.0,3.9,Ashland,"          $46,927,293.37","           2,889.7","              $16,239.50","          $51,197,608.86","           2,950.1","              $17,354.53",2023
Ashland - David Mindess,00140015,     317,22.0,        668,44.9,54.9,6.3,23.7,24.4,00140000,3.1,20.5,19.5,52.7,0.2,0.2,3.9,Ashland,"          $46,927,293.37","           2,889.7","              $16,239.50","          $51,197,608.86","           2,950.1","              $17,354.53",2023
Ashland - Henry E Warren Elementary,00140010,     191,20.2,        615,48.8,51.2,12.0,18.4,23.1,00140000,2.6,22.9,19.5,50.9,0.2,0.0,3.9,Ashland,"          $46,927,293.37","           2,889.7","              $16,239.50","          $51,197,608.86","           2,950.1","              $17,354.53",2023
Ashland - William Pittaway Elementary,00140005,      19,4.8,         86,39.5,60.5,20.9,47.7,12.8,00140000,2.3,29.1,23.3,40.7,0.0,0.0,4.7,Ashland,"          $46,927,293.37","           2,889.7","              $16,239.50","          $51,197,608.86","           2,950.1","              $17,354.53",2023
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     629,18.6,"      1,122",46.9,52.7,8.8,22.9,39.3,08010000,2.6,0.3,30.0,63.4,0.3,0.0,3.6,Assabet Valley Regional Vocational Technical,"          $29,035,656.09","           1,092.2","              $26,584.56","          $29,178,846.47","           1,092.8","              $26,700.99",2023
Athol-Royalston - Athol Community Elementary School,06150020,     274,19.5,        586,47.8,52.2,3.9,24.6,64.7,06150000,2.4,1.7,14.3,76.8,0.0,0.0,4.8,Athol-Royalston,"          $28,132,998.00","           1,569.9","              $17,920.25","          $32,176,065.18","           1,842.7","              $17,461.37",2023
Athol-Royalston - Athol High,06150505,     243,14.5,        413,45.0,55.0,4.6,23.0,57.1,06150000,4.6,2.2,21.1,70.2,0.2,0.0,1.7,Athol-Royalston,"          $28,132,998.00","           1,569.9","              $17,920.25","          $32,176,065.18","           1,842.7","              $17,461.37",2023
Athol-Royalston - Athol-Royalston Middle School,06150305,     265,21.3,        496,49.0,51.0,4.0,27.4,63.7,06150000,1.2,0.6,18.2,75.8,0.0,0.0,4.2,Athol-Royalston,"          $28,132,998.00","           1,569.9","              $17,920.25","          $32,176,065.18","           1,842.7","              $17,461.37",2023
Athol-Royalston - Royalston Community School,06150050,      68,17.4,        146,43.8,56.2,0.7,21.9,49.3,06150000,0.7,0.0,7.5,88.4,0.0,0.0,3.4,Athol-Royalston,"          $28,132,998.00","           1,569.9","              $17,920.25","          $32,176,065.18","           1,842.7","              $17,461.37",2023
Atlantis Charter (District) - Atlantis Charter School,04910550,     557,20.2,"      1,247",51.7,48.2,19.0,17.5,57.3,04910000,6.9,2.3,19.2,64.0,0.2,0.1,7.3,Atlantis Charter (District),"          $20,454,702.00","           1,288.4","              $15,876.67","          $20,454,702.00","           1,288.4","              $15,876.67",2023
Attleboro - A. Irvin Studley Elementary School,00160001,     144,19.0,        342,47.1,52.9,11.4,22.5,38.0,00160000,8.5,3.5,17.3,64.9,0.6,0.3,5.0,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Attleboro Community Academy,00160515,      90,11.5,         98,53.1,45.9,1.0,16.3,69.4,00160000,10.2,3.1,16.3,56.1,1.0,0.0,13.3,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Attleboro High,00160505,"   1,090",18.0,"      1,966",46.5,53.2,5.2,13.0,35.2,00160000,10.9,4.7,18.4,59.3,0.2,0.1,6.4,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Attleboro Virtual Academy,00160705,      58,4.7,         43,20.9,79.1,0.0,7.0,23.3,00160000,7.0,2.3,16.3,65.1,0.0,0.0,9.3,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Cyril K. Brennan Middle School,00160315,     293,21.2,        648,49.2,50.8,9.0,18.8,43.4,00160000,12.0,3.2,20.8,57.1,0.3,0.0,6.5,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Early Learning Center,00160008,      20,14.0,        279,40.1,59.9,0.0,49.5,44.4,00160000,15.8,4.3,22.6,53.4,0.7,0.0,3.2,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Hill-Roberts Elementary School,00160045,     152,22.0,        418,45.5,54.6,14.6,16.5,41.9,00160000,8.1,7.4,18.7,59.1,0.0,0.0,6.7,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Hyman Fine Elementary School,00160040,     160,23.1,        462,48.5,51.5,12.8,17.3,39.8,00160000,8.0,3.5,21.2,58.4,0.0,0.2,8.7,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Peter Thacher Elementary School,00160050,     241,16.3,        455,46.8,53.0,10.8,24.2,47.7,00160000,11.2,5.1,22.2,54.7,0.4,0.0,6.4,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Robert J. Coelho Middle School,00160305,     225,20.2,        566,45.2,54.6,1.4,15.4,33.9,00160000,8.3,5.1,14.3,64.7,0.2,0.0,7.4,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Thomas Willett Elementary School,00160035,     134,22.7,        367,49.6,50.4,12.0,21.0,41.7,00160000,10.6,3.3,19.9,58.3,0.5,0.3,7.1,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Attleboro - Wamsutta Middle School,00160320,     236,22.1,        583,50.6,49.2,5.2,19.7,37.7,00160000,6.7,5.7,18.0,60.4,0.0,0.2,9.1,Attleboro,"          $99,575,309.06","           5,912.2","              $16,842.34","         $109,262,216.00","           6,313.2","              $17,306.95",2023
Auburn - Auburn Middle,00170305,     426,16.4,        626,48.4,51.6,3.2,14.9,24.9,00170000,3.5,4.3,12.5,76.2,0.0,0.0,3.5,Auburn,"          $42,145,085.14","           2,554.4","              $16,499.02","          $43,641,167.09","           2,601.7","              $16,774.10",2023
Auburn - Auburn Senior High,00170505,     641,15.4,        832,50.1,49.8,3.4,11.5,25.0,00170000,5.5,6.9,12.1,73.0,0.1,0.0,2.4,Auburn,"          $42,145,085.14","           2,554.4","              $16,499.02","          $43,641,167.09","           2,601.7","              $16,774.10",2023
Auburn - Bryn Mawr,00170010,     112,18.3,        257,46.3,53.7,7.0,15.2,31.1,00170000,6.2,3.9,15.6,72.4,0.0,0.4,1.6,Auburn,"          $42,145,085.14","           2,554.4","              $16,499.02","          $43,641,167.09","           2,601.7","              $16,774.10",2023
Auburn - Pakachoag School,00170025,     106,18.5,        246,45.1,54.5,4.9,19.1,28.9,00170000,7.7,4.1,15.5,69.1,0.8,0.0,2.9,Auburn,"          $42,145,085.14","           2,554.4","              $16,499.02","          $43,641,167.09","           2,601.7","              $16,774.10",2023
Auburn - Swanson Road Intermediate School,00170030,     228,19.9,        570,50.4,49.7,3.5,15.3,26.7,00170000,3.5,3.0,11.8,78.8,0.4,0.2,2.5,Auburn,"          $42,145,085.14","           2,554.4","              $16,499.02","          $43,641,167.09","           2,601.7","              $16,774.10",2023
Avon - Avon Middle High School,00180510,     222,13.8,        415,48.2,51.6,10.8,21.0,43.9,00180000,42.4,4.1,14.0,33.5,0.7,0.0,5.3,Avon,"          $13,866,502.00",             727.5,"              $19,060.48","          $15,048,069.59",             767.8,"              $19,598.94",2023
