School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Ashburnham-Westminster - Oakmont Regional High School,06100505,71,575.0,565.0,     338,15.9,        654,46.5,52.0,0.2,16.1,22.5,06100000,1.4,1.2,6.7,87.5,0.2,0.0,3.1,Ashburnham-Westminster,"          $33,183,819.52","           2,266.8","              $14,639.06","          $35,695,883.16","           2,367.8","              $15,075.55",2022
Ashland - Ashland High,00140505,226,593.0,610.0,     437,16.9,        861,49.8,50.1,7.2,14.6,23.2,00140000,2.2,13.5,18.9,62.1,0.7,0.0,2.6,Ashland,"          $44,058,400.75","           2,919.3","              $15,092.11","          $47,967,196.60","           2,984.1","              $16,074.26",2022
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,70,534.0,511.0,     604,17.4,"      1,118",43.8,55.2,6.3,24.1,41.4,08010000,2.1,0.2,24.9,69.4,0.3,0.0,3.2,Assabet Valley Regional Vocational Technical,"          $28,530,789.29","           1,151.6","              $24,774.91","          $28,576,059.05","           1,151.6","              $24,814.22",2022
Athol-Royalston - Athol High,06150505,11,495.0,516.0,     246,16.6,        401,43.9,56.1,2.7,23.4,62.3,06150000,3.7,2.0,20.2,71.6,0.3,0.0,2.2,Athol-Royalston,"          $25,683,519.00","           1,551.2","              $16,557.19","          $30,498,602.50","           1,839.1","              $16,583.44",2022
Atlantis Charter (District) - Atlantis Charter School,04910550,136,441.0,418.0,     532,20.4,"      1,296",52.7,47.1,18.1,16.8,61.2,04910000,6.6,2.0,17.9,67.3,0.0,0.1,6.1,Atlantis Charter (District),"          $17,988,507.00","           1,286.0","              $13,988.50","          $17,988,507.00","           1,286.0","              $13,988.50",2022
Attleboro - Attleboro High,00160505,243,547.0,531.0,     958,18.6,"      1,883",45.5,54.0,4.1,12.2,37.4,00160000,9.5,4.7,17.9,61.8,0.3,0.0,5.8,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Auburn - Auburn Senior High,00170505,134,553.0,542.0,     656,15.3,        860,49.8,49.8,1.5,11.5,28.8,00170000,5.0,5.4,11.3,74.8,0.2,0.1,3.3,Auburn,"          $39,950,537.43","           2,581.9","              $15,473.31","          $41,126,549.32","           2,632.0","              $15,625.59",2022
Avon - Avon Middle High School,00180510,28,534.0,526.0,     244,12.7,        338,48.2,51.5,7.1,21.9,45.9,00180000,39.9,4.4,13.3,36.7,0.9,0.0,4.7,Avon,"          $13,992,796.48",             709.8,"              $19,713.72","          $15,245,741.48",             740.4,"              $20,591.22",2022
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,67,550.0,518.0,     234,16.4,        401,47.4,52.1,3.5,15.5,30.4,06160000,5.7,3.2,15.2,72.1,1.0,0.3,2.5,Ayer Shirley School District,"          $30,090,578.59","           1,611.1","              $18,677.04","          $34,902,108.48","           1,858.2","              $18,782.75",2022
Barnstable - Barnstable High,00200505,157,558.0,550.0,     871,12.8,"      1,671",48.7,50.9,15.7,15.6,53.1,00200000,10.1,2.0,26.0,55.2,0.6,0.2,5.9,Barnstable,"          $96,512,390.41","           4,858.5","              $19,864.65","         $107,274,186.90","           5,480.6","              $19,573.44",2022
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,30,452.0,443.0,     248,14.7,        398,44.7,55.3,9.1,21.9,82.4,35020000,28.9,0.5,64.3,4.8,0.0,0.8,0.8,Baystate Academy Charter Public School (District),"           $7,073,430.54",             442.2,"              $15,996.00","           $7,073,430.54",             442.2,"              $15,996.00",2022
Bedford - Bedford High,00230505,216,618.0,620.0,     519,13.3,        837,48.8,50.4,1.0,14.5,10.4,00230000,6.2,18.0,9.8,61.7,0.0,0.0,4.3,Bedford,"          $53,990,205.42","           2,628.3","              $20,541.87","          $59,388,264.42","           2,686.4","              $22,107.01",2022
Belchertown - Belchertown High,00240505,117,571.0,559.0,     431,13.7,        643,50.4,48.5,1.2,17.3,20.4,00240000,1.9,1.9,4.8,87.6,0.3,0.5,3.1,Belchertown,"          $35,314,385.89","           2,131.2","              $16,570.19","          $38,246,423.73","           2,330.3","              $16,412.66",2022
Bellingham - Bellingham High School,00250505,85,551.0,531.0,     383,17.2,        746,51.1,48.9,2.4,17.6,29.4,00250000,2.8,3.5,10.5,80.3,0.4,0.0,2.6,Bellingham,"          $41,022,403.63","           1,991.1","              $20,602.88","          $48,041,586.43","           2,325.4","              $20,659.49",2022
Belmont - Belmont High,00260505,329,653.0,662.0,     470,21.1,"      1,369",50.0,49.7,2.6,8.4,11.1,00260000,3.9,21.7,5.9,61.4,0.2,0.2,6.8,Belmont,"          $71,920,035.00","           4,364.4","              $16,478.79","          $82,755,349.00","           4,523.4","              $18,294.94",2022
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,26,555.0,535.0,     182,18.6,        375,48.8,48.3,1.1,21.3,63.2,04140000,10.1,0.8,14.4,69.6,0.0,0.3,4.8,Berkshire Arts and Technology Charter Public (District),"           $7,207,352.62",             361.9,"              $19,915.32","           $7,207,352.62",             361.9,"              $19,915.32",2022
Berkshire Hills - Monument Mt Regional High,06180505,97,557.0,539.0,     342,11.9,        483,46.0,53.6,8.7,14.3,39.3,06180000,1.5,2.3,15.1,77.4,0.0,0.2,3.5,Berkshire Hills,"          $31,149,087.93","           1,200.1","              $25,955.41","          $33,950,214.63","           1,300.6","              $26,103.50",2022
Berlin-Boylston - Tahanto Regional High,06200505,57,567.0,563.0,     319,14.9,        518,52.5,46.7,2.7,14.1,18.2,06200000,1.7,5.4,8.9,78.4,0.2,0.2,5.2,Berlin-Boylston,"          $18,443,263.72","           1,034.9","              $17,821.30","          $20,240,428.52","           1,098.3","              $18,428.87",2022
Beverly - Beverly High,00300505,287,546.0,517.0,     604,17.9,"      1,278",49.8,49.8,4.2,17.8,32.9,00300000,3.5,2.6,17.2,73.5,0.0,0.1,3.1,Beverly,"          $73,637,608.02","           4,688.5","              $15,706.01","          $82,696,386.00","           4,862.8","              $17,005.92",2022
Billerica - Billerica Memorial High School,00310505,230,535.0,529.0,     716,19.3,"      1,813",48.5,51.4,2.4,21.0,26.5,00310000,7.2,9.9,10.4,68.8,0.3,0.2,3.3,Billerica,"          $91,221,827.00","           4,797.1","              $19,016.04","          $99,005,922.00","           5,023.9","              $19,706.99",2022
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,290,565.0,542.0,     660,16.9,"      1,221",44.5,54.8,0.5,11.8,15.6,08050000,2.1,1.8,9.9,83.5,0.0,0.1,2.6,Blackstone Valley Regional Vocational Technical,"          $27,902,328.40","           1,241.2","              $22,480.12","          $27,907,328.40","           1,242.2","              $22,466.05",2022
Blackstone-Millville - Blackstone Millville RHS,06220505,46,547.0,509.0,     245,13.5,        415,48.0,51.1,1.2,14.7,29.2,06220000,2.2,1.5,7.7,83.9,0.0,0.0,4.8,Blackstone-Millville,"          $26,079,558.00","           1,516.8","              $17,193.80","          $29,968,775.50","           1,698.6","              $17,643.22",2022
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,102,517.0,501.0,     435,15.4,        901,48.0,52.1,1.6,26.3,39.5,08060000,19.8,2.6,18.2,51.1,0.8,0.0,7.7,Blue Hills Regional Vocational Technical,"          $22,894,689.78",             920.2,"              $24,880.12","          $22,909,400.78",             922.2,"              $24,842.12",2022
Boston - Another Course To College,00350541,82,405.0,395.0,     109,15.2,        255,43.1,56.5,17.7,32.9,77.3,00350000,46.7,0.0,48.2,3.5,0.0,0.0,1.6,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Boston Arts Academy,00350546,52,481.0,466.0,     375,14.4,        486,68.9,29.2,6.2,22.4,63.6,00350000,37.0,1.2,48.8,9.3,0.0,0.0,3.7,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Boston Community Leadership Academy,00350558,149,429.0,410.0,     338,13.7,        645,50.5,48.8,36.1,29.5,83.9,00350000,30.9,4.0,59.1,4.2,0.2,0.0,1.7,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Boston International High School & Newcomers Academy,00350507,60,410.0,434.0,     210,14.7,        535,38.7,61.3,92.0,5.8,87.3,00350000,27.3,4.9,64.5,2.6,0.2,0.2,0.4,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Boston Latin Academy,00350545,512,557.0,568.0,     531,22.0,"      1,710",57.1,42.6,1.4,4.4,44.3,00350000,24.7,17.0,27.7,26.1,0.1,0.2,4.2,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Boston Latin School,00350560,586,647.0,652.0,     874,23.1,"      2,418",52.6,46.9,0.8,3.7,27.5,00350000,12.3,29.1,15.1,38.5,0.1,0.2,4.8,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Brighton High School,00350505,30,425.0,422.0,     338,14.0,        710,45.5,54.5,58.7,20.9,81.0,00350000,25.5,2.5,63.2,6.2,0.7,0.0,1.8,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Burke High School,00350525,117,411.0,409.0,     250,11.5,        418,45.2,54.8,25.1,25.4,84.5,00350000,54.6,3.1,34.5,3.1,1.0,0.0,3.8,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Charlestown High School,00350515,59,407.0,426.0,     447,13.3,        840,43.6,56.3,43.8,29.3,81.7,00350000,21.2,6.4,65.7,4.9,0.1,0.0,1.7,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Community Academy of Science and Health,00350581,88,415.0,403.0,     150,13.4,        342,48.3,51.8,24.6,42.4,86.3,00350000,54.1,5.6,34.2,1.8,0.0,0.3,4.1,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - East Boston High School,00350530,155,428.0,426.0,     480,15.9,"      1,334",43.6,56.3,42.4,21.5,76.3,00350000,5.5,1.1,81.8,10.6,0.0,0.1,0.9,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - English High School,00350535,154,398.0,386.0,     464,15.6,        695,45.0,54.8,32.1,25.5,82.0,00350000,34.0,0.7,58.0,4.5,0.0,0.1,2.7,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Excel High School,00350522,68,425.0,463.0,     181,13.4,        408,40.4,58.8,22.3,29.2,83.3,00350000,31.4,15.7,39.7,9.1,0.0,0.3,3.9,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Fenway High School,00350540,23,464.0,451.0,     168,14.3,        372,52.7,47.0,21.2,22.9,74.7,00350000,29.0,2.4,61.8,5.7,0.0,0.0,1.1,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Henderson K-12 Inclusion School Upper,00350426,88,428.0,410.0,     330,18.7,        712,47.1,52.7,14.8,35.0,76.3,00350000,43.7,7.2,32.3,12.1,0.7,0.3,3.8,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Madison Park Technical Vocational High School,00350537,25,415.0,392.0,     488,15.7,"      1,122",40.1,59.7,30.7,36.8,83.8,00350000,38.2,1.3,54.7,2.8,0.1,0.5,2.5,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Margarita Muniz Academy,00350549,23,425.0,420.0,     130,18.8,        301,55.2,44.9,48.8,11.6,89.4,00350000,5.0,0.0,94.0,0.3,0.0,0.3,0.3,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - New Mission High School,00350542,158,428.0,436.0,     270,17.7,        621,49.1,50.7,21.1,18.8,71.3,00350000,48.2,2.9,40.7,5.8,0.0,0.2,2.3,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - O'Bryant School of Math & Science,00350575,581,526.0,549.0,     442,22.9,"      1,547",51.8,47.8,1.7,4.5,59.3,00350000,31.3,19.1,35.0,12.0,0.1,0.2,2.3,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Quincy Upper School,00350565,53,462.0,447.0,     210,22.0,        547,48.1,51.7,17.6,19.4,70.6,00350000,18.3,50.3,23.2,6.0,0.2,0.0,2.0,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - Snowden International High School,00350690,30,435.0,432.0,     182,17.1,        470,49.6,50.4,18.3,23.0,79.4,00350000,31.5,3.8,55.7,6.2,0.2,0.0,2.6,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston - TechBoston Academy,00350657,161,404.0,398.0,     444,14.7,        926,44.8,55.2,23.8,24.1,84.0,00350000,59.1,2.1,31.5,2.7,0.2,0.0,4.4,Boston,"       $1,447,670,488.00","          47,705.7","              $30,345.86","       $1,792,983,515.00","          61,684.2","              $29,067.14",2022
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,85,514.0,505.0,     315,20.1,        713,47.8,51.9,5.5,18.8,44.0,04490000,29.6,3.5,20.1,42.4,0.0,0.1,4.4,Boston Collegiate Charter (District),"          $14,747,763.62",             702.1,"              $21,004.62","          $14,747,763.62",             702.1,"              $21,004.62",2022
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,11,496.0,489.0,     470,12.7,        400,53.0,46.3,14.0,43.3,75.8,04240000,48.3,1.5,47.8,1.8,0.8,0.0,0.0,Boston Day and Evening Academy Charter (District),"           $6,417,677.69",             340.7,"              $18,837.49","           $6,417,677.69",             340.7,"              $18,837.49",2022
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,82,415.0,390.0,     227,16.2,        473,50.3,49.7,12.7,31.5,77.4,04110000,43.3,2.8,43.1,7.4,0.6,0.0,2.8,Boston Green Academy Horace Mann Charter School (District),"           $8,029,438.12",             464.9,"              $17,271.12","           $8,029,438.12",             464.9,"              $17,271.12",2022
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,69,437.0,444.0,     274,18.0,        693,49.8,50.2,18.0,20.4,67.5,04160000,63.8,0.3,29.7,1.2,0.3,0.9,3.9,Boston Preparatory Charter Public (District),"          $16,544,908.77",             682.0,"              $24,257.97","          $16,544,908.77",             682.0,"              $24,257.97",2022
Bourne - Bourne High School,00360505,130,534.0,500.0,     224,13.7,        355,53.5,46.5,1.4,17.8,31.3,00360000,1.4,3.9,4.8,83.1,1.1,0.0,5.6,Bourne,"          $33,942,474.93","           1,586.5","              $21,394.56","          $39,252,439.56","           1,865.8","              $21,037.86",2022
Braintree - Braintree High,00400505,444,562.0,568.0,     847,16.3,"      1,755",48.8,50.9,5.0,25.0,27.1,00400000,6.4,24.2,6.7,60.4,0.1,0.1,2.1,Braintree,"          $87,436,419.09","           5,461.8","              $16,008.72","          $95,592,218.53","           5,582.3","              $17,124.16",2022
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,273,553.0,551.0,     576,16.5,"      1,388",48.4,51.5,2.0,14.8,27.0,06250000,11.7,2.4,3.8,76.7,0.1,0.1,5.1,Bridgewater-Raynham,"          $79,497,996.00","           5,453.3","              $14,577.96","          $86,114,628.41","           5,698.4","              $15,112.07",2022
Bristol County Agricultural - Bristol County Agricultural High,09100705,34,550.0,519.0,     300,18.2,        550,68.7,31.1,0.2,15.3,30.7,09100000,2.9,0.2,12.2,84.0,0.2,0.0,0.6,Bristol County Agricultural,"          $10,552,008.53",             490.6,"              $21,508.37","          $10,552,008.53",             490.6,"              $21,508.37",2022
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,99,506.0,510.0,     975,17.4,"      1,309",43.0,56.8,0.5,14.8,30.9,08100000,4.6,0.8,7.0,83.7,0.1,0.0,3.7,Bristol-Plymouth Regional Vocational Technical,"          $28,244,922.04","           1,337.2","              $21,122.44","          $28,332,291.04","           1,352.5","              $20,948.09",2022
Brockton - Brockton High,00440505,228,509.0,500.0,"   1,880",16.7,"      3,715",44.9,55.0,28.4,15.5,69.6,00440000,61.3,2.6,18.8,12.8,0.1,0.3,4.2,Brockton,"         $308,511,731.70","          15,127.8","              $20,393.69","         $346,500,308.50","          17,037.3","              $20,337.75",2022
Brooke Charter School (District) - Brooke Charter School,04280305,124,490.0,528.0,     907,19.2,"      2,215",51.5,48.2,8.4,14.2,62.5,04280000,50.0,1.5,41.4,4.1,0.2,0.1,2.7,Brooke Charter School (District),"          $40,108,649.51","           2,150.0","              $18,655.45","          $40,108,649.51","           2,150.0","              $18,655.45",2022
Brookline - Brookline High,00460505,416,644.0,650.0,"   1,157",14.5,"      2,079",49.7,49.4,2.8,18.3,15.2,00460000,7.3,16.4,13.1,53.1,0.1,0.1,10.1,Brookline,"         $175,203,822.00","           7,034.1","              $24,907.78","         $183,509,688.00","           7,112.2","              $25,802.10",2022
Burlington - Burlington High,00480505,184,584.0,575.0,     562,12.8,"      1,010",47.1,52.6,9.0,11.5,18.8,00480000,8.9,18.3,11.1,58.6,0.4,0.0,2.7,Burlington,"          $79,817,285.00","           3,465.4","              $23,032.63","          $90,841,699.00","           3,591.0","              $25,297.05",2022
Cambridge - Cambridge Rindge and Latin,00490506,341,604.0,590.0,"   1,150",14.5,"      1,910",50.9,48.5,5.0,19.6,37.7,00490000,26.2,11.2,15.4,37.0,0.3,0.0,9.9,Cambridge,"         $231,949,471.40","           6,638.9","              $34,937.94","         $268,520,448.80","           7,314.2","              $36,712.21",2022
Canton - Canton High,00500505,281,565.0,569.0,     534,15.0,        907,54.7,45.0,1.1,13.5,20.8,00500000,14.2,10.5,4.7,65.4,0.2,0.1,4.9,Canton,"          $58,337,819.72","           3,243.2","              $17,987.73","          $66,364,161.64","           3,346.8","              $19,829.14",2022
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,20,516.0,491.0,     395,16.0,        676,38.2,61.7,2.1,20.6,45.0,08150000,5.8,1.0,11.1,76.8,1.0,0.3,4.0,Cape Cod Regional Vocational Technical,"          $17,291,586.50",             641.2,"              $26,967.54","          $17,339,309.50",             644.1,"              $26,920.21",2022
Carver - Carver Middle/High School,00520405,79,543.0,528.0,     499,14.2,        765,46.8,53.1,0.5,21.6,33.5,00520000,2.4,0.5,3.5,91.6,0.4,0.0,1.6,Carver,"          $26,892,776.00","           1,511.4","              $17,793.29","          $29,793,748.00","           1,611.1","              $18,492.80",2022
Central Berkshire - Wahconah Regional High,06350505,65,536.0,530.0,     263,13.8,        483,49.9,50.1,1.0,12.0,35.0,06350000,0.8,0.4,4.1,91.7,0.0,0.0,2.9,Central Berkshire,"          $28,242,831.00","           1,544.7","              $18,283.70","          $31,389,895.03","           1,759.6","              $17,839.22",2022
Chelmsford - Chelmsford High,00560505,284,579.0,583.0,     689,16.8,"      1,367",47.6,51.9,1.5,14.7,14.8,00560000,4.2,18.4,7.1,66.9,0.2,0.2,2.9,Chelmsford,"          $80,101,946.00","           4,995.6","              $16,034.50","          $87,973,130.00","           5,233.9","              $16,808.33",2022
Chelsea - Chelsea High,00570505,65,474.0,472.0,     590,24.6,"      1,712",45.2,54.7,35.8,12.6,77.8,00570000,3.9,0.9,89.2,5.1,0.2,0.0,0.6,Chelsea,"         $112,731,749.10","           6,163.5","              $18,290.22","         $145,419,635.60","           7,311.0","              $19,890.53",2022
Chicopee - Chicopee Comprehensive High School,00610510,72,544.0,531.0,     629,14.6,"      1,203",41.4,58.3,3.6,12.9,51.2,00610000,3.2,1.3,36.3,55.9,0.1,0.0,3.2,Chicopee,"         $131,997,033.60","           6,852.6","              $19,262.33","         $141,843,036.90","           7,531.3","              $18,833.81",2022
Chicopee - Chicopee High,00610505,48,554.0,519.0,     481,16.4,        927,52.1,47.7,7.0,17.9,70.7,00610000,5.7,2.6,51.2,36.5,0.0,0.0,4.0,Chicopee,"         $131,997,033.60","           6,852.6","              $19,262.33","         $141,843,036.90","           7,531.3","              $18,833.81",2022
Clinton - Clinton Senior High,00640505,44,528.0,508.0,     264,14.0,        572,42.5,57.3,14.0,17.1,50.0,00640000,3.9,0.7,37.6,56.5,0.0,0.2,1.2,Clinton,"          $31,720,035.50","           1,940.7","              $16,344.64","          $38,128,535.50","           2,232.9","              $17,075.79",2022
Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,39,416.0,402.0,     125,15.7,        342,49.7,50.3,10.2,22.8,80.1,04380000,73.7,0.0,25.2,0.3,0.0,0.0,0.9,Codman Academy Charter Public (District),"           $9,866,958.53",             341.3,"              $28,911.62","           $9,866,958.53",             341.3,"              $28,911.62",2022
Cohasset - Cohasset High School,00650505,131,604.0,577.0,     311,14.0,        433,47.1,52.9,0.0,12.9,8.6,00650000,3.2,1.9,1.6,91.5,0.0,0.0,1.9,Cohasset,"          $28,939,436.42","           1,423.5","              $20,329.78","          $31,744,509.96","           1,460.8","              $21,730.91",2022
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,35030205,15,517.0,536.0,     385,27.1,"      1,169",51.5,48.4,28.8,8.6,64.4,35030000,20.4,25.2,24.1,23.9,2.6,0.1,3.7,Collegiate Charter School of Lowell (District),"          $12,215,121.93","           1,093.8","              $11,168.11","          $12,215,121.93","           1,093.8","              $11,168.11",2022
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,55,497.0,493.0,     147,11.0,        256,57.4,42.6,13.7,19.1,58.6,04360000,70.7,4.7,15.6,4.7,0.4,0.0,3.9,Community Charter School of Cambridge (District),"           $7,096,876.20",             288.1,"              $24,633.38","           $7,096,876.20",             288.1,"              $24,633.38",2022
Concord-Carlisle - Concord Carlisle High,06400505,291,644.0,648.0,     566,18.8,"      1,316",46.7,52.8,0.7,16.6,8.2,06400000,4.3,8.8,6.2,74.2,0.1,0.2,6.3,Concord-Carlisle,"          $30,545,962.94","           1,324.7","              $23,058.78","          $33,808,578.86","           1,362.0","              $24,822.75",2022
Danvers - Danvers High,00710505,123,552.0,528.0,     450,14.2,        779,49.6,49.6,1.7,19.4,24.8,00710000,2.7,3.1,11.3,79.6,0.0,0.0,3.3,Danvers,"          $58,735,283.83","           3,246.5","              $18,091.88","          $65,606,932.35","           3,377.9","              $19,422.40",2022
Dartmouth - Dartmouth High,00720505,207,556.0,548.0,     486,17.5,        990,52.2,47.7,1.1,15.4,26.0,00720000,2.6,0.7,7.0,81.4,0.0,0.2,8.1,Dartmouth,"          $55,385,867.11","           3,428.6","              $16,154.08","          $61,307,729.42","           3,543.9","              $17,299.51",2022
