,School Name,Grade,District Name, Average % ACT Composite Score , % Students in grade 9-12 that took the ACT, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,Average ACT Reading Score,Average ACT English Score,Average ACT Math Score,Average ACT Science Score,Average ACT Composite Score, Number of Students taking AP exams , Number of AP Exams Taken ,% of Exams that scored 3 or Above,Is Open Enrollment Charter,School LEA,DLEA,Year
61,Cossatot River High School,7-12,Cossatot River School District,18.3,47%,397,72%,61%,29%,1%,9%,39%,4,268,47%,18.93,17.19,16.96,19.48,18.3,30,12,8%,0,5707023,5707000,2019
62,Cotter High School,7-12,Cotter School District,19.5,43%,346,66%,93%,2%,0%,5%,7%,1,214,43%,20.35,19.29,18.62,19.21,19.5,27,32,34%,0,302007,302000,2019
63,County Line High School,7-12,County Line School District,19.03,43%,211,67%,90%,1%,0%,9%,10%,1,141,43%,19.7,17.7,18.7,19.3,19.03,31,32,41%,0,2403012,2403000,2019
64,Creative Action Team School,K-12,Hope School District,12.67,12%,41,88%,17%,20%,61%,2%,83%,4,25,12%,11,11.67,13.67,13.67,12.67, N<10 , N/A ,N/A,0,2903015,2903000,2019
65,Cross Cnty High A New Tech School,7-12,Cross County School District,18.14,47%,265,72%,89%,2%,8%,1%,11%,2,160,47%,19.49,17.51,17.03,17.91,18.14,35,35,17%,0,1901703,1901000,2019
66,Crossett High School,9-12,Crossett School District,17.5,50%,504,54%,61%,2%,35%,2%,39%,5,504,50%,17.63,16.85,16.91,17.94,17.5,81,93,19%,0,201006,201000,2019
67,Cutter-Morning Star High School,7-12,Cutter-Morning Star School District,18.88,42%,323,72%,81%,7%,3%,9%,19%,3,223,42%,19.74,17.55,17.81,19.74,18.88, N<10 , N<10 ,RV,0,2601002,2601000,2019
68,Danville High School,9-12,Danville School District,19.98,43%,256,61%,42%,54%,1%,3%,58%,1,256,43%,20.74,19.74,18.5,20.4,19.98, N/A , N/A ,N/A,0,7503006,7503000,2019
69,Dardanelle High School,9-12,Dardanelle School District,20.9,38%,605,62%,58%,38%,1%,3%,42%,1,604,38%,20.99,20.84,19.99,21.03,20.9,101,112,52%,0,7504011,7504000,2019
70,Decatur High School,9-12,Decatur School District,15.19,41%,153,72%,53%,35%,3%,10%,47%,1,153,41%,16.31,12.41,15.41,15.91,15.19,24,10,10%,0,402009,402000,2019
71,Deer K-12 School,K-12,Deer/Mt. Judea School District,18,32%,246,68%,95%,1%,1%,3%,5%,1,88,32%,19.31,17.15,16.38,18.38,18, N<10 , N/A ,N/A,0,5106003,5106000,2019
72,DeQueen High School,10-12,DeQueen School District,19.53,81%,531,77%,26%,66%,1%,6%,74%,4,531,81%,19.99,19.09,18.88,19.53,19.53,40,47,53%,0,6701003,6701000,2019
73,Dermott High School,7-12,Dermott School District,15.83,33%,130,95%,3%,4%,92%,1%,97%,5,93,33%,15.22,14.89,16.28,16.39,15.83,14, N<10 ,RV,0,901003,901000,2019
74,Des Arc High School,7-12,Des Arc School District,20.9,47%,234,65%,88%,2%,9%,1%,12%,5,152,47%,21.1,21.52,19.87,20.45,20.9,14,24,8%,0,5901002,5901000,2019
75,DeWitt High School,9-12,DeWitt School District,18.63,53%,353,61%,82%,3%,12%,3%,18%,5,353,53%,19.04,17.63,17.61,19.66,18.63,50,82,13%,0,101004,101000,2019
76,Dierks High School,7-12,Dierks School District,19.03,55%,250,74%,93%,4%,1%,2%,7%,4,164,55%,19.97,18.59,17.84,19.16,19.03,40,32,13%,0,3102002,3102000,2019
77,Dollarway High School,9-12,Dollarway School District,15.04,38%,277,90%,3%,0%,94%,3%,97%,3,277,38%,14.79,13.81,15.38,15.48,15.04,48,55,5%,0,3502010,3502000,2019
78,Don Tyson School Of Innovation,6-12,Springdale School District,21.13,36%,1228,54%,50%,41%,2%,8%,50%,1,696,36%,22.64,20.62,19.59,21.11,21.13,151,152,48%,0,7207703,7207000,2019
79,Dover High School,9-12,Dover School District,19.49,31%,398,55%,90%,6%,0%,4%,10%,1,398,31%,20.68,19.41,18.16,19.41,19.49,83,90,26%,0,5802006,5802000,2019
80,Drew Central High School,9-12,Drew Central School District,18.35,43%,324,65%,65%,6%,26%,3%,35%,5,324,43%,18.98,17.71,17.35,18.45,18.35,44,40,5%,0,2202005,2202000,2019
81,Dumas High School,10-12,Dumas School District,16.23,71%,268,74%,22%,13%,64%,1%,78%,5,268,71%,16.42,15.37,15.63,16.87,16.23,128,83,14%,0,2104021,2104000,2019
82,Earle High School,7-12,Earle School District,14.8,48%,251,94%,2%,0%,98%,0%,98%,2,180,48%,14.98,13.48,15.24,15.1,14.8,31,13,RV,0,1802007,1802000,2019
83,East Poinsett County High School,7-12,East Poinsett County School District,17.12,58%,302,74%,75%,9%,12%,5%,25%,2,209,58%,17.33,16.37,16.63,17.61,17.12,35,61,30%,0,5608037,5608000,2019
84,El Dorado High School,9-12,El Dorado School District,18.71,45%,1306,58%,40%,11%,46%,3%,60%,4,1306,45%,19.02,18.13,17.89,19.26,18.71,373,640,45%,0,7001012,7001000,2019
85,Elkins High School,9-12,Elkins School District,19.41,48%,394,38%,91%,5%,1%,3%,9%,1,394,48%,20.08,19.24,17.9,19.73,19.41,55,60,33%,0,7201002,7201000,2019
86,Emerson High School,7-12,Emerson-Taylor-Bradley School District,18.6,48%,134,51%,69%,5%,21%,5%,31%,4,73,48%,19.4,18.4,16.67,19.13,18.6,10, N<10 ,44%,0,1408002,1408000,2019
87,England High School,7-12,England School District,17.18,46%,279,75%,48%,10%,40%,2%,52%,3,187,46%,17.26,16.8,16.46,17.36,17.18,53,10,10%,0,4302018,4302000,2019
88,eStem High School,10-12,eStem Public Charter School,19.91,69%,567,41%,24%,10%,60%,6%,76%,3,567,69%,21.02,19.8,18.45,19.85,19.91,185,309,50%,1,6047703,6047700,2019
89,Eureka Springs High School,9-12,Eureka Springs School District,20.6,41%,201,48%,87%,7%,3%,3%,13%,1,201,41%,20.88,20.38,19.64,20.76,20.6,35,48,29%,0,802007,802000,2019
90,Farmington Career Academies,10-12,Farmington School District,20.88,68%,581,30%,84%,9%,2%,4%,16%,1,581,68%,21.91,20.35,19.51,21.2,20.88,177,272,49%,0,7202703,7202000,2019
91,Fayetteville High School,9-12,Fayetteville School District,24.12,45%,2628,29%,69%,12%,9%,10%,31%,1,2628,45%,25.26,24.51,22.37,23.72,24.12,869,1529,69%,0,7203020,7203000,2019
92,Fayetteville Virtual Academy a District Conversion Charter School,K-12,Fayetteville School District,24.65,55%,154,16%,81%,4%,6%,10%,19%,1,83,55%,27.41,25.53,21.88,23.18,24.65,15,13,54%,0,7203703,7203000,2019
93,Flippin High School,9-12,Flippin School District,18.25,46%,263,69%,95%,2%,0%,3%,5%,1,263,46%,19.39,17.89,16.55,18.86,18.25,22,24,8%,0,4501002,4501000,2019
94,Fordyce High School,7-12,Fordyce School District,17.88,47%,330,61%,32%,5%,61%,2%,68%,4,216,47%,18.18,16.88,17.49,18.24,17.88,38,33,6%,0,2002007,2002000,2019
95,Foreman High School,7-12,Foreman School District,19.43,57%,235,67%,77%,3%,12%,7%,23%,4,157,57%,19.48,18.13,19.18,19.95,19.43,26, N<10 ,RV,0,4102010,4102000,2019
96,Forrest City High School,9-12,Forrest City School District,14.86,46%,618,74%,6%,1%,93%,0%,94%,2,618,46%,14.39,13.66,15.4,15.35,14.86,83,33,18%,0,6201011,6201000,2019
97,Fouke High School,9-12,Fouke School District,18.56,48%,306,51%,96%,1%,1%,2%,4%,4,306,48%,19.04,17.77,18.21,18.54,18.56,61,18,39%,0,4603010,4603000,2019
98,Fountain Lake Charter High School,9-12,Fountain Lake School District,18.69,50%,454,42%,85%,8%,1%,6%,15%,3,453,50%,19.7,17.73,17.97,18.74,18.69,73,83,18%,0,2602703,2602000,2019
99,Future School of Fort Smith,9-12,Future School Of Fort Smith,16.38,61%,226,73%,44%,24%,15%,17%,56%,1,226,61%,17.08,15.47,15.98,16.8,16.38, N/A , N/A ,N/A,1,6640703,6640700,2019
100,Genoa Central High School,9-12,Genoa Central School District,20.37,52%,360,39%,98%,1%,0%,2%,2%,4,360,52%,21.42,19.8,19.68,20,20.37,45,75,43%,0,4602006,4602000,2019
101,Gentry High School Conversion Charter,9-12,Gentry School District,19.9,43%,426,55%,65%,16%,1%,18%,35%,1,425,43%,20.52,19.63,18.62,20.3,19.9,58,69,42%,0,403703,403000,2019
102,Glen Rose High School,9-12,Glen Rose School District,19.7,42%,329,49%,91%,3%,2%,3%,9%,3,329,42%,20.13,19.66,18.7,19.77,19.7,30,42,43%,0,3002009,3002000,2019
103,Gosnell High School,7-12,Gosnell School District,19.16,36%,585,72%,68%,8%,21%,3%,32%,2,359,36%,18.98,18.71,18.69,19.65,19.16,31,32,16%,0,4708031,4708000,2019
104,Graduate Arkansas Charter High,9-12,Graduate Arkansas  Charter,13.5,13%,119,82%,3%,6%,90%,1%,97%,3,119,13%,12.25,11.75,15.5,14,13.5, N/A , N/A ,N/A,1,6052703,6052700,2019
105,Gravette High School,9-12,Gravette School District,20.03,43%,556,43%,86%,8%,1%,6%,14%,1,556,43%,20.03,19.27,19.56,20.74,20.03,68,68,41%,0,404022,404000,2019
106,Green Forest High School,9-12,Green Forest School District,18.53,43%,391,82%,42%,47%,0%,11%,58%,1,390,43%,19.29,17.11,18.36,18.62,18.53,68,73,40%,0,803012,803000,2019
107,Greenbrier High School,10-12,Greenbrier School District,22.52,72%,820,31%,92%,4%,2%,2%,8%,3,819,72%,22.64,22.52,21.85,22.42,22.52,435,806,42%,0,2303017,2303000,2019
108,Greene County Tech High School,10-12,Greene County Tech School District,19.81,66%,847,41%,93%,3%,3%,2%,7%,2,846,66%,20.78,19.56,18.44,19.88,19.81,301,280,30%,0,2807008,2807000,2019
109,Greenland High School,9-12,Greenland School District,20.24,45%,254,59%,85%,9%,0%,6%,15%,1,254,45%,21.31,20,18.11,20.63,20.24,39,59,20%,0,7204028,7204000,2019
110,Greenwood High School,10-12,Greenwood School District,22.68,77%,855,28%,88%,5%,1%,5%,12%,1,853,77%,22.96,22.75,21.81,22.67,22.68,158,212,72%,0,6602043,6602000,2019
111,Gurdon High School,9-12,Gurdon School District,17.9,44%,192,74%,48%,23%,26%,3%,52%,4,192,44%,19.31,17.33,16.6,17.98,17.9,34,17,12%,0,1003018,1003000,2019
112,Guy-Perkins High School,7-12,Guy-Perkins School District,19.54,48%,169,65%,83%,3%,12%,2%,17%,3,108,48%,21.14,19.14,18.18,19.04,19.54,14,15,33%,0,2304022,2304000,2019
113,Haas Hall Academy,7-12,Haas Hall Academy,28.3,65%,451,5%,72%,8%,2%,18%,28%,1,285,65%,29.57,30.08,26.02,26.94,28.3,209,467,68%,1,7240703,7240700,2019
114,Haas Hall Academy at the Lane,7-12,Haas Hall Academy,26.75,44%,329,10%,66%,16%,4%,15%,34%,1,170,44%,28.19,27.25,24.06,26.5,26.75,107,169,53%,1,7240709,7240700,2019
115,Haas Hall Academy Bentonville,7-12,Haas Hall Bentonville,30.27,49%,356,4%,64%,11%,2%,24%,36%,1,200,49%,31.7,31.62,28.51,28.46,30.27,159,377,69%,1,443703,443700,2019
116,Haas Hall Academy Jones Center,7-12,Haas Hall Academy,21.71,43%,221,15%,61%,24%,3%,13%,39%,1,137,43%,21.14,23.29,20,21.43,21.71,66,110,55%,1,7240706,7240700,2019
117,Hackett High School,7-12,Hackett School District,17.35,47%,362,64%,86%,4%,1%,9%,14%,1,246,47%,17.8,16.24,17.2,17.47,17.35,28,27,22%,0,6603048,6603000,2019
118,Hall High School,9-12,Little Rock School District,14.42,31%,919,85%,6%,39%,53%,2%,94%,3,919,31%,14.34,13.19,14.86,14.67,14.42,135,180,15%,0,6001002,6001000,2019
119,Hamburg High School,9-12,Hamburg School District,17.9,56%,528,59%,60%,17%,22%,2%,40%,5,528,56%,17.99,16.82,17.73,18.46,17.9,112,131,27%,0,203018,203000,2019
120,Hampton High School,7-12,Hampton School District,16.68,54%,254,72%,73%,5%,22%,1%,27%,4,160,54%,16.42,15.58,17,17.24,16.68,20,24,8%,0,701002,701000,2019
121,Har-Ber High School,10-12,Springdale School District,20.11,52%,2271,52%,45%,40%,3%,13%,55%,1,2270,52%,20.65,19.73,19.2,20.28,20.11,768,931,61%,0,7207062,7207000,2019
122,Harmony Grove High School,7-12,Harmony Grove School District (Ouachita),19.04,66%,393,48%,73%,4%,20%,3%,27%,4,243,66%,19.7,19.11,18.28,18.43,19.04,15, N/A ,N/A,0,5205029,5205000,2019
123,Harmony Grove High School,10-12,Harmony Grove School District (Saline),19.71,64%,284,26%,94%,3%,2%,1%,6%,3,284,64%,19.89,19.33,19.13,19.88,19.71,42,61,3%,0,6304030,6304000,2019
124,Harrisburg College & Career Preparatory School,9-12,Harrisburg School District,17.01,45%,351,70%,95%,3%,2%,0%,5%,2,350,45%,17.18,16.95,16.49,16.91,17.01,20,10,10%,0,5602703,5602000,2019
125,Harrison High School Conversion Charter,9-12,Harrison School District,20.88,48%,822,41%,94%,2%,0%,4%,6%,1,822,48%,21.84,20.72,19.49,20.79,20.88,70,77,55%,0,503703,503000,2019
126,Hazen High School,7-12,Hazen School District,16.53,43%,263,69%,72%,2%,24%,2%,28%,5,181,43%,16.27,15.88,17.14,16.47,16.53,21,11,64%,0,5903012,5903000,2019
127,Heber Springs High School,9-12,Heber Springs School District,21.14,44%,448,36%,92%,6%,0%,2%,8%,2,448,44%,22.45,20.56,19.9,21.16,21.14,40,31,52%,0,1202006,1202000,2019
128,Hector High School,7-12,Hector School District,18.48,50%,269,72%,93%,3%,0%,3%,7%,1,176,50%,19.16,18.13,16.65,19.19,18.48,32,27,19%,0,5803010,5803000,2019
129,Hermitage High School,7-12,Hermitage School District,18.92,48%,225,68%,61%,26%,13%,0%,39%,5,151,48%,19.72,17.68,18.16,19.56,18.92,20,20,20%,0,601007,601000,2019
130,Highland High School,9-12,Highland School District,19.1,44%,516,71%,94%,3%,1%,2%,6%,2,516,44%,19.95,18.62,18.19,19.23,19.1,19,26,73%,0,6804010,6804000,2019
131,Hillcrest High School,7-12,Hillcrest School District,18.49,59%,198,60%,97%,2%,0%,2%,3%,2,135,59%,18.38,17.78,18.11,19.11,18.49, N<10 , N<10 ,13%,0,3809023,3809000,2019
132,Hope High School,9-12,Hope School District,15.28,46%,600,73%,19%,35%,45%,2%,81%,4,596,46%,15.86,13.73,15.25,15.73,15.28,10, N<10 ,RV,0,2903012,2903000,2019
133,Horatio High School,7-12,Horatio School District,19.2,55%,373,72%,72%,23%,1%,4%,28%,4,230,55%,20.41,18,17.89,19.93,19.2,53,78,8%,0,6703013,6703000,2019
134,Hot Springs World Class High School,9-12,Hot Springs School District,17.3,41%,959,73%,36%,18%,38%,7%,64%,3,954,41%,17.51,16.67,16.74,17.62,17.3,41,69,42%,0,2603703,2603000,2019
135,Hoxie High School,7-12,Hoxie School District,18.75,47%,385,67%,91%,3%,1%,4%,9%,2,264,47%,20.02,18.61,16.75,19.02,18.75,43,52,4%,0,3804010,3804000,2019
136,Huntsville High School,9-12,Huntsville School District,19.5,42%,581,56%,82%,9%,1%,8%,18%,1,581,42%,19.96,18.85,18.75,19.76,19.5,80,97,41%,0,4401003,4401000,2019
137,Izard County Consversion High School,9-12,Izard County Consolidated School District,17.5,42%,166,68%,95%,2%,2%,1%,5%,2,166,42%,18.07,16.57,17.21,17.57,17.5,18, N<10 ,22%,0,3306015,3306000,2019
