School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,      12,7.3,         79,38.0,62.0,17.7,55.7,15.2,06000000,7.6,30.4,8.9,46.8,0.0,0.0,6.3,Acton-Boxborough,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",2020
Acton-Boxborough - Luther Conant School,06000030,     107,17.0,        255,48.6,51.4,13.7,18.8,12.6,06000000,5.9,45.5,11.0,32.2,0.0,0.0,5.5,Acton-Boxborough,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",2020
Acton-Boxborough - McCarthy-Towne School,06000015,     149,18.7,        394,50.8,49.2,5.8,16.2,10.4,06000000,3.8,11.4,9.4,69.0,0.5,0.0,5.8,Acton-Boxborough,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",2020
Acton-Boxborough - Merriam School,06000010,     140,17.7,        353,50.7,49.3,5.7,16.4,9.1,06000000,2.6,11.9,7.7,70.5,0.0,0.0,7.4,Acton-Boxborough,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",2020
Acton-Boxborough - Paul P Gates Elementary School,06000025,      86,19.0,        231,48.9,51.1,9.1,11.3,11.3,06000000,2.6,48.5,6.9,38.1,0.0,0.0,3.9,Acton-Boxborough,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",2020
Acton-Boxborough - Raymond J Grey Junior High,06000405,     584,16.7,        840,49.9,49.9,2.1,17.6,9.1,06000000,3.5,35.8,6.6,49.9,0.4,0.4,3.6,Acton-Boxborough,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",2020
Acushnet - Acushnet Elementary School,00030025,     251,14.1,        494,47.4,52.6,0.4,13.4,28.3,00030000,1.8,1.0,4.7,88.7,0.2,0.0,3.6,Acushnet,"          $12,653,923.35","           1,018.8","              $12,420.42","          $17,164,756.77","           1,325.5","              $12,949.65",2020
Acushnet - Albert F Ford Middle School,00030305,     149,17.0,        419,47.7,52.3,0.0,11.9,27.0,00030000,0.5,1.0,3.6,91.2,0.2,0.0,3.6,Acushnet,"          $12,653,923.35","           1,018.8","              $12,420.42","          $17,164,756.77","           1,325.5","              $12,949.65",2020
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     490,18.6,        960,47.6,52.3,2.0,6.3,10.7,04300000,1.9,17.2,7.2,67.6,0.0,0.0,6.2,Advanced Math and Science Academy Charter (District),"          $15,918,145.99",             964.8,"              $16,498.74","          $15,918,145.99",             964.8,"              $16,498.74",2020
Agawam - Agawam Early Childhood Center,00050003,      16,8.3,        118,40.7,59.3,1.7,61.9,40.7,00050000,2.5,5.9,17.0,72.0,0.0,0.0,2.5,Agawam,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",2020
Agawam - Agawam High,00050505,     664,13.9,"      1,037",48.8,51.1,1.6,13.7,27.6,00050000,2.0,2.9,8.3,83.8,0.1,0.0,2.9,Agawam,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",2020
Agawam - Agawam Junior High,00050405,     650,12.3,        584,50.9,49.0,3.1,16.1,37.8,00050000,2.9,3.1,11.6,79.1,0.0,0.0,3.3,Agawam,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",2020
Agawam - Benjamin J Phelps,00050020,     256,14.0,        348,48.3,51.7,8.1,11.5,39.1,00050000,0.3,2.9,6.9,86.5,0.0,0.0,3.5,Agawam,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",2020
Agawam - Clifford M Granger,00050010,     184,13.4,        251,51.0,49.0,8.4,21.1,37.9,00050000,2.4,5.2,14.3,76.5,0.0,0.4,1.2,Agawam,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",2020
Agawam - James Clark School,00050030,     205,12.6,        264,50.0,50.0,9.9,17.4,32.2,00050000,2.7,5.7,11.4,76.9,0.0,0.0,3.4,Agawam,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",2020
Agawam - Roberta G. Doering School,00050303,     417,15.9,        510,43.7,56.3,2.8,19.0,37.7,00050000,2.4,3.3,12.2,79.2,0.0,0.0,2.9,Agawam,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",2020
Agawam - Robinson Park,00050025,     274,14.2,        370,49.7,50.3,11.6,11.1,40.0,00050000,3.0,2.4,13.8,76.2,0.0,0.0,4.6,Agawam,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",2020
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,     236,24.1,        791,55.0,45.0,30.5,19.7,66.6,04090000,13.8,0.1,60.7,20.9,0.6,0.0,3.9,Alma del Mar Charter School (District),"          $10,667,660.00",             639.9,"              $16,671.61","          $10,667,660.00",             639.9,"              $16,671.61",2020
Amesbury - Amesbury Elementary,00070005,     144,17.7,        302,37.8,62.3,0.3,24.5,32.1,00070000,1.3,0.7,7.6,86.1,0.0,0.0,4.3,Amesbury,"          $33,455,712.53","           2,015.8","              $16,596.74","          $39,152,791.79","           2,196.1","              $17,828.33",2020
Amesbury - Amesbury High,00070505,     353,14.3,        518,49.2,50.4,1.7,16.8,20.7,00070000,2.5,1.2,8.1,84.0,0.0,0.0,4.3,Amesbury,"          $33,455,712.53","           2,015.8","              $16,596.74","          $39,152,791.79","           2,196.1","              $17,828.33",2020
Amesbury - Amesbury Innovation High School,00070515,      31,7.7,         43,46.5,53.5,0.0,60.5,58.1,00070000,0.0,0.0,7.0,86.1,0.0,0.0,7.0,Amesbury,"          $33,455,712.53","           2,015.8","              $16,596.74","          $39,152,791.79","           2,196.1","              $17,828.33",2020
Amesbury - Amesbury Middle,00070013,     411,14.2,        625,46.7,53.3,1.8,24.2,29.6,00070000,1.8,1.9,9.9,81.4,0.3,0.2,4.5,Amesbury,"          $33,455,712.53","           2,015.8","              $16,596.74","          $39,152,791.79","           2,196.1","              $17,828.33",2020
Amesbury - Charles C Cashman Elementary,00070010,     176,18.2,        384,49.7,50.3,4.7,27.1,37.2,00070000,2.1,0.8,13.5,79.4,0.3,0.3,3.7,Amesbury,"          $33,455,712.53","           2,015.8","              $16,596.74","          $39,152,791.79","           2,196.1","              $17,828.33",2020
Amherst - Crocker Farm Elementary,00080009,     138,14.3,        352,46.9,52.3,13.1,25.6,33.8,00080000,11.1,12.2,21.3,47.2,0.3,0.3,7.7,Amherst,"          $26,383,257.00","           1,106.9","              $23,835.27","          $28,610,280.00","           1,228.5","              $23,288.79",2020
Amherst - Fort River Elementary,00080020,     122,13.8,        289,48.1,51.9,12.8,24.9,36.0,00080000,4.8,11.1,29.1,47.1,0.4,0.4,7.3,Amherst,"          $26,383,257.00","           1,106.9","              $23,835.27","          $28,610,280.00","           1,228.5","              $23,288.79",2020
Amherst - Wildwood Elementary,00080050,     132,17.3,        373,49.6,50.4,9.9,19.8,35.9,00080000,13.1,9.4,19.0,50.7,0.5,0.0,7.2,Amherst,"          $26,383,257.00","           1,106.9","              $23,835.27","          $28,610,280.00","           1,228.5","              $23,288.79",2020
Amherst-Pelham - Amherst Regional High,06050505,     568,11.1,        863,49.4,50.1,8.2,21.1,28.3,06050000,8.5,8.9,17.7,55.3,0.0,0.0,9.6,Amherst-Pelham,"          $29,317,423.00","           1,345.7","              $21,786.00","          $33,690,959.00","           1,498.1","              $22,489.13",2020
Amherst-Pelham - Amherst Regional Middle School,06050405,     427,15.0,        417,47.5,52.3,6.5,25.2,30.9,06050000,7.4,9.6,20.6,53.2,0.0,0.0,9.1,Amherst-Pelham,"          $29,317,423.00","           1,345.7","              $21,786.00","          $33,690,959.00","           1,498.1","              $22,489.13",2020
Andover - Andover High,00090505,"   1,760",8.6,"      1,747",53.4,46.5,0.6,16.1,11.0,00090000,2.6,19.5,7.1,68.1,0.2,0.0,2.4,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Andover - Andover West Middle,00090310,     347,15.7,        543,48.8,51.2,1.5,20.6,13.8,00090000,4.1,17.3,8.5,67.8,0.0,0.0,2.4,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Andover - Bancroft Elementary,00090003,     192,18.9,        527,49.0,51.0,1.9,19.5,7.6,00090000,1.1,8.7,7.4,76.5,0.0,0.0,6.3,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Andover - Doherty Middle,00090305,     310,16.1,        472,50.0,50.0,0.9,19.3,8.7,00090000,1.3,10.8,8.5,75.6,0.2,0.2,3.4,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Andover - Henry C Sanborn Elementary,00090010,     123,18.8,        335,49.3,50.8,6.9,14.9,9.9,00090000,2.4,22.4,7.8,62.4,0.0,0.0,5.1,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Andover - High Plain Elementary,00090004,     178,20.3,        527,47.1,52.9,12.0,17.7,10.4,00090000,4.6,29.8,10.8,49.9,0.0,0.2,4.7,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Andover - Shawsheen School,00090005,      12,6.6,         79,34.2,65.8,5.1,65.8,16.5,00090000,3.8,13.9,12.7,60.8,0.0,0.0,8.9,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Andover - South Elementary,00090020,     164,19.4,        464,49.4,50.7,3.2,17.7,7.8,00090000,1.5,17.7,5.2,71.3,0.2,0.0,4.1,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Andover - West Elementary,00090025,     199,18.6,        541,45.8,54.2,3.9,31.4,11.1,00090000,3.7,15.7,7.6,69.5,0.0,0.0,3.5,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Andover - Wood Hill Middle School,00090350,     444,8.6,        379,49.1,50.9,2.1,18.5,7.4,00090000,2.6,33.0,9.5,49.6,0.5,0.3,4.5,Andover,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",2020
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,     212,21.6,        578,45.7,54.3,20.9,24.2,67.7,35090000,13.7,2.3,25.4,52.6,0.5,0.0,5.5,Argosy Collegiate Charter School (District),"           $8,288,240.76",             508.1,"              $16,313.19","           $8,288,240.76",             508.1,"              $16,313.19",2020
Arlington - Arlington High,00100505,     997,13.0,"      1,419",53.5,46.0,0.9,11.9,10.0,00100000,3.8,10.7,5.8,74.2,0.0,0.1,5.4,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - Brackett,00100010,     154,19.2,        422,46.5,53.6,2.6,19.0,2.4,00100000,1.2,10.0,4.7,74.2,0.0,0.0,10.0,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - Cyrus E Dallin,00100025,     168,16.0,        384,51.6,48.4,3.7,11.5,7.0,00100000,1.6,12.0,3.7,74.7,0.0,0.0,8.1,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - Gibbs School,00100305,     355,15.7,        485,46.6,53.4,3.5,19.0,10.5,00100000,4.3,12.6,6.6,68.9,0.4,0.2,7.0,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - Hardy,00100030,     117,19.6,        333,52.3,47.5,10.8,19.5,9.9,00100000,2.1,16.2,5.7,68.2,0.0,0.0,7.8,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - John A Bishop,00100005,     119,19.4,        329,48.6,51.1,6.7,13.4,5.2,00100000,3.3,12.8,3.3,69.0,0.0,0.6,10.9,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - M Norcross Stratton,00100055,     133,21.0,        399,47.9,51.9,9.0,21.3,9.5,00100000,3.5,17.0,6.8,63.9,0.0,0.0,8.8,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - Menotomy Preschool,00100038,       7,11.4,         80,41.3,58.8,0.0,67.5,23.8,00100000,6.3,20.0,6.3,57.5,0.0,0.0,10.0,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - Ottoson Middle,00100410,     751,14.4,        895,46.2,53.6,2.4,16.9,11.6,00100000,4.0,9.5,8.3,71.6,0.1,0.1,6.4,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - Peirce,00100045,      84,19.8,        237,45.2,54.4,9.3,11.8,8.9,00100000,5.1,13.1,5.9,70.9,0.0,0.0,5.1,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Arlington - Thompson,00100050,     154,20.2,        442,53.4,46.4,8.8,18.1,18.8,00100000,4.3,12.9,10.2,63.6,0.2,0.0,8.8,Arlington,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",2020
Ashburnham-Westminster - Briggs Elementary,06100025,     256,18.2,        479,47.8,52.2,2.9,26.7,21.7,06100000,1.0,1.3,4.4,89.4,0.2,0.0,3.8,Ashburnham-Westminster,"          $30,821,395.10","           2,376.1","              $12,971.42","          $32,558,334.15","           2,465.8","              $13,203.96",2020
Ashburnham-Westminster - Meetinghouse School,06100010,      96,17.2,        161,54.7,45.3,6.2,14.9,17.4,06100000,1.9,0.0,5.6,87.6,0.0,0.0,5.0,Ashburnham-Westminster,"          $30,821,395.10","           2,376.1","              $12,971.42","          $32,558,334.15","           2,465.8","              $13,203.96",2020
Ashburnham-Westminster - Oakmont Regional High School,06100505,     336,14.7,        606,48.5,51.5,0.5,19.3,18.7,06100000,1.2,1.3,4.1,91.8,0.2,0.0,1.5,Ashburnham-Westminster,"          $30,821,395.10","           2,376.1","              $12,971.42","          $32,558,334.15","           2,465.8","              $13,203.96",2020
Ashburnham-Westminster - Overlook Middle School,06100305,     242,21.8,        531,48.6,51.4,0.4,20.5,21.9,06100000,1.1,0.8,7.2,86.8,0.0,0.0,4.1,Ashburnham-Westminster,"          $30,821,395.10","           2,376.1","              $12,971.42","          $32,558,334.15","           2,465.8","              $13,203.96",2020
Ashburnham-Westminster - Westminster Elementary,06100005,     195,20.1,        353,47.9,52.1,2.6,21.0,20.1,06100000,0.6,0.6,6.2,91.2,0.0,0.0,1.4,Ashburnham-Westminster,"          $30,821,395.10","           2,376.1","              $12,971.42","          $32,558,334.15","           2,465.8","              $13,203.96",2020
Ashland - Ashland High,00140505,     388,15.3,        779,51.0,49.0,3.2,12.7,17.3,00140000,2.4,12.1,12.7,68.8,0.6,0.0,3.3,Ashland,"          $39,289,471.97","           2,869.7","              $13,691.14","          $43,599,903.48","           2,937.0","              $14,845.05",2020
Ashland - Ashland Middle,00140405,     553,13.2,        646,49.4,50.6,5.9,19.7,20.9,00140000,3.1,10.7,15.3,66.9,0.8,0.0,3.3,Ashland,"          $39,289,471.97","           2,869.7","              $13,691.14","          $43,599,903.48","           2,937.0","              $14,845.05",2020
Ashland - David Mindess,00140015,     256,20.5,        612,49.7,50.3,7.4,20.8,18.5,00140000,3.3,14.9,16.8,61.3,0.0,0.0,3.8,Ashland,"          $39,289,471.97","           2,869.7","              $13,691.14","          $43,599,903.48","           2,937.0","              $14,845.05",2020
Ashland - Henry E Warren Elementary,00140010,     139,22.1,        472,44.9,55.1,13.4,20.1,24.8,00140000,3.4,11.9,17.2,63.1,0.2,0.0,4.2,Ashland,"          $39,289,471.97","           2,869.7","              $13,691.14","          $43,599,903.48","           2,937.0","              $14,845.05",2020
Ashland - William Pittaway Elementary,00140005,      16,3.6,         55,32.7,67.3,0.0,52.7,12.7,00140000,3.6,23.6,9.1,61.8,0.0,0.0,1.8,Ashland,"          $39,289,471.97","           2,869.7","              $13,691.14","          $43,599,903.48","           2,937.0","              $14,845.05",2020
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     673,12.3,"      1,138",40.3,58.5,4.9,25.8,33.2,08010000,1.7,0.5,22.3,73.0,0.1,0.0,2.4,Assabet Valley Regional Vocational Technical,"          $23,832,072.12","           1,160.7","              $20,532.50","          $23,870,752.12","           1,161.7","              $20,548.12",2020
Athol-Royalston - Athol Community Elementary School,06150020,     202,20.1,        559,45.6,54.4,4.5,24.7,61.7,06150000,2.5,0.9,12.2,80.9,0.0,0.0,3.6,Athol-Royalston,"          $21,931,136.67","           1,525.1","              $14,380.13","          $26,318,318.35","           1,875.4","              $14,033.44",2020
Athol-Royalston - Athol High,06150505,     159,15.7,        347,47.8,52.2,2.6,26.2,50.4,06150000,2.6,0.6,14.1,78.7,0.0,0.0,4.0,Athol-Royalston,"          $21,931,136.67","           1,525.1","              $14,380.13","          $26,318,318.35","           1,875.4","              $14,033.44",2020
Athol-Royalston - Athol-Royalston Middle School,06150305,     272,19.1,        446,40.6,59.4,2.5,22.0,62.3,06150000,1.1,1.8,11.9,80.9,0.2,0.0,4.0,Athol-Royalston,"          $21,931,136.67","           1,525.1","              $14,380.13","          $26,318,318.35","           1,875.4","              $14,033.44",2020
Athol-Royalston - Royalston Community School,06150050,      52,18.9,        133,50.4,49.6,0.0,17.3,40.6,06150000,0.0,0.0,0.8,91.7,0.0,0.0,7.5,Athol-Royalston,"          $21,931,136.67","           1,525.1","              $14,380.13","          $26,318,318.35","           1,875.4","              $14,033.44",2020
Atlantis Charter (District) - Atlantis Charter School,04910550,     542,13.1,"      1,290",52.3,47.7,15.0,13.3,51.9,04910000,5.4,2.2,15.2,73.3,0.1,0.1,3.9,Atlantis Charter (District),"          $18,466,839.00","           1,301.6","              $14,187.69","          $18,466,839.00","           1,301.6","              $14,187.69",2020
Attleboro - A. Irvin Studley Elementary School,00160001,     233,13.2,        321,52.3,47.7,6.2,19.6,32.1,00160000,5.0,2.8,15.3,73.5,0.0,0.3,3.1,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Attleboro Community Academy,00160515,      42,12.6,         88,46.6,52.3,2.3,17.1,51.1,00160000,5.7,8.0,13.6,69.3,1.1,0.0,2.3,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Attleboro High,00160505,     920,18.4,"      1,779",45.7,54.2,3.0,15.9,30.5,00160000,6.5,5.0,16.0,67.3,0.3,0.2,4.8,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Cyril K. Brennan Middle School,00160315,     363,16.0,        629,45.5,54.4,5.1,16.1,43.2,00160000,6.0,4.3,20.2,62.0,0.2,0.0,7.3,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Early Learning Center,00160008,      16,8.4,        135,35.6,64.4,0.0,71.1,41.5,00160000,9.6,5.2,11.1,69.6,0.0,0.0,4.4,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Hill-Roberts Elementary School,00160045,     238,16.8,        412,50.5,49.5,9.5,15.3,34.7,00160000,6.6,6.1,13.4,67.5,0.2,0.0,6.3,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Hyman Fine Elementary School,00160040,     258,17.1,        448,49.3,50.7,13.6,17.0,36.6,00160000,4.9,2.0,19.9,63.4,0.0,0.0,9.8,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Peter Thacher Elementary School,00160050,     310,14.1,        454,47.8,52.2,8.8,24.5,42.3,00160000,11.5,5.5,14.5,61.9,0.2,0.0,6.4,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Robert J. Coelho Middle School,00160305,     263,20.9,        646,45.1,55.0,2.2,14.7,31.4,00160000,8.2,5.1,11.0,68.3,0.3,0.2,7.0,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Thomas Willett Elementary School,00160035,     170,17.8,        316,48.4,51.6,7.6,21.5,38.6,00160000,6.0,2.9,13.9,69.3,0.0,0.0,7.9,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Attleboro - Wamsutta Middle School,00160320,     244,18.0,        577,49.9,50.1,4.0,13.5,31.4,00160000,6.8,5.0,16.3,63.6,0.0,0.0,8.3,Attleboro,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",2020
Auburn - Auburn Middle,00170305,     339,17.8,        639,50.7,49.3,2.4,11.1,22.1,00170000,3.3,5.3,11.1,77.3,0.0,0.0,3.0,Auburn,"          $36,961,376.60","           2,640.8","              $13,996.28","          $38,350,080.14","           2,693.2","              $14,239.60",2020
Auburn - Auburn Senior High,00170505,     647,15.2,        796,50.6,49.1,1.5,11.2,23.6,00170000,3.0,4.8,8.2,81.0,0.1,0.0,2.9,Auburn,"          $36,961,376.60","           2,640.8","              $13,996.28","          $38,350,080.14","           2,693.2","              $14,239.60",2020
Auburn - Bryn Mawr,00170010,     124,16.7,        263,50.2,49.8,3.8,12.6,28.9,00170000,0.8,5.3,11.4,79.1,0.8,0.0,2.7,Auburn,"          $36,961,376.60","           2,640.8","              $13,996.28","          $38,350,080.14","           2,693.2","              $14,239.60",2020
Auburn - Pakachoag School,00170025,     144,15.0,        270,49.6,50.4,1.5,9.6,22.6,00170000,1.9,3.3,9.6,82.2,0.0,0.0,3.0,Auburn,"          $36,961,376.60","           2,640.8","              $13,996.28","          $38,350,080.14","           2,693.2","              $14,239.60",2020
Auburn - Swanson Road Intermediate School,00170030,     266,16.8,        558,47.9,52.2,3.4,13.1,22.2,00170000,2.0,4.3,9.7,80.5,0.0,0.0,3.6,Auburn,"          $36,961,376.60","           2,640.8","              $13,996.28","          $38,350,080.14","           2,693.2","              $14,239.60",2020
Avon - Avon Middle High School,00180510,     233,13.2,        315,44.1,55.9,2.5,18.7,37.1,00180000,34.3,5.1,10.8,41.6,1.3,0.0,7.0,Avon,"          $11,864,225.00",             721.8,"              $16,437.00","          $13,140,054.00",             748.4,"              $17,557.53",2020
Avon - Ralph D Butler,00180010,     123,13.8,        381,50.1,49.9,11.3,24.4,37.5,00180000,26.5,3.9,13.7,49.3,0.0,0.0,6.6,Avon,"          $11,864,225.00",             721.8,"              $16,437.00","          $13,140,054.00",             748.4,"              $17,557.53",2020
