RCDTS,Type,School Name,District,City,County,District Type,School Type,Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,Grades Served,Summative Designation,Summative Designation: Student Group(s),$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
030110140240001,School,South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,UNIT,HIGH SCHOOL,Schoolwide Title I Program,141,91.5,0.0,0.0,0.0,0.0,0.0,7.8,22.7,21.3,0.0,57.4,6.4,176.0,82.5,47.7,1.2,10.8,5.0,86.6,9.0,58.3,73.8,42325.0,73208.0,53.2,81.5,0.0,4.6,0.0, 6 7 8 9 10 11 12,Not Calculated,Not Calculated,7269.62,11899.39,463.8,394.6,72.0,20.0,8.0,0.0,2020
030250100260001,School,Altamont High School,Altamont CUSD 10,Altamont,Effingham,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",245,95.9,0.0,1.5,0.0,0.0,0.0,0.0,12.2,11.0,0.0,44.5,2.6,176.0,94.9,7.3,2.2,17.5,5.0,67.3,32.7,89.7,84.0,50111.0,74254.0,17.5,96.3,3.0,0.0,0.7, 9 10 11 12,Not Calculated,Not Calculated,7722.68,11461.95,466.9,453.1,54.5,25.5,20.0,0.0,2020
030250200260001,School,Beecher City Jr-Sr High School,Beecher City CUSD 20,Beecher City,Effingham,UNIT,HIGH SCHOOL,Targeted Assistance Title I Pr,161,94.4,0.0,0.0,0.0,0.0,0.0,0.0,19.3,15.5,0.0,98.8,3.1,176.0,97.3,3.6,4.0,11.7,5.0,73.6,26.4,82.5,88.7,51542.0,85183.0,3.5,96.1,0.0,0.0,2.0, 6 7 8 9 10 11 12,Not Calculated,Not Calculated,8831.67,11237.86,459.6,482.3,42.3,26.9,26.9,3.8,2020
030250300260001,School,Dieterich Jr/Sr High School,Dieterich CUSD 30,Dieterich,Effingham,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",211,96.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.5,0.0,18.5,3.4,176.0,96.1,7.8,2.2,11.4,5.0,74.1,25.9,86.4,87.7,48605.0,90211.0,10.1,96.3,0.0,1.3,0.0, 7 8 9 10 11 12,Not Calculated,Not Calculated,6091.78,9560.59,485.8,481.9,35.5,38.7,25.8,0.0,2020
030250400260001,School,Effingham High School,Effingham CUSD 40,Effingham,Effingham,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",742,88.5,1.7,5.1,1.5,0.0,0.0,3.1,12.4,12.4,2.5,32.6,1.9,176.0,95.9,7.7,5.0,20.0,5.0,56.9,43.1,86.4,97.4,54422.0,112612.0,9.7,88.9,2.0,4.0,0.7, 9 10 11 12,Not Calculated,Not Calculated,5557.6,6816.16,481.1,469.8,43.3,31.7,23.9,1.1,2020
030250500260001,School,Teutopolis High School,Teutopolis CUSD 50,Teutopolis,Effingham,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",326,98.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.3,0.0,8.6,0.0,176.0,97.9,0.9,0.6,19.9,4.2,61.7,38.3,83.9,82.4,54441.0,93274.0,1.8,91.4,1.6,0.8,0.8, 9 10 11 12,Not Calculated,Not Calculated,7547.33,9320.45,512.7,502.9,28.0,31.7,37.8,2.4,2020
030262010260003,School,Brownstown High School,Brownstown CUSD 201,Brownstown,Fayette,UNIT,HIGH SCHOOL,Targeted Assistance Title I Pr,75,97.3,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,48.0,6.6,176.0,91.6,15.2,4.8,10.4,3.9,61.0,39.0,54.5,82.3,45382.0,74006.0,26.1,93.9,1.5,0.0,0.0, 9 10 11 12,Not Calculated,Not Calculated,7933.17,8289.49,471.6,445.3,47.4,47.4,5.3,0.0,2020
030262020260002,School,St Elmo Sr High School,St Elmo CUSD 202,Saint Elmo,Fayette,UNIT,HIGH SCHOOL,Schoolwide Title I Program,121,92.6,0.0,2.9,0.0,0.0,0.0,0.0,15.7,15.7,0.0,42.1,0.0,176.0,95.1,9.4,4.1,14.5,5.0,71.4,28.6,83.3,82.2,52683.0,107243.0,12.6,94.0,1.5,3.0,0.0, 9 10 11 12,Not Calculated,Not Calculated,7902.02,10609.01,441.5,428.8,61.5,34.6,3.8,0.0,2020
030262030260001,School,Vandalia Community High School,Vandalia CUSD 203,Vandalia,Fayette,UNIT,HIGH SCHOOL,Schoolwide Title I Program,397,95.5,0.0,2.0,0.0,0.0,0.0,4.1,13.4,13.4,0.0,54.2,5.8,176.0,94.1,9.6,3.5,15.8,5.0,49.6,49.9,92.1,60.9,56037.0,98520.0,15.5,90.5,0.0,2.7,0.0, 9 10 11 12,Not Calculated,Not Calculated,20808.11,29345.9,464.7,459.9,50.6,30.1,16.9,2.4,2020
030262040260002,School,Ramsey High School,Ramsey CUSD 204,Ramsey,Fayette,UNIT,HIGH SCHOOL,Schoolwide Title I Program,230,98.3,0.0,0.0,0.0,0.0,0.0,0.0,20.9,20.9,0.0,55.7,14.8,176.0,94.0,12.1,0.7,16.3,5.0,64.2,35.8,87.0,82.1,47162.0,92410.0,21.7,97.7,0.0,1.1,0.0, 6 7 8 9 10 11 12,Not Calculated,Not Calculated,5430.48,9747.14,454.1,454.4,48.4,29.0,22.6,0.0,2020
030680020260001,School,Lincolnwood High School,Panhandle CUSD 2,Raymond,Montgomery,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",140,94.3,0.0,2.6,0.0,0.0,0.0,0.0,23.6,23.6,0.0,42.9,5.5,176.0,96.4,5.3,1.4,13.4,5.0,60.5,39.5,85.0,97.6,51674.0,76427.0,8.6,93.5,2.2,1.1,0.0, 9 10 11 12,Not Calculated,Not Calculated,9913.85,12950.18,471.2,471.2,42.4,33.3,24.2,0.0,2020
030680030260001,School,Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",452,93.6,0.8,2.4,0.0,0.0,0.0,2.2,14.2,13.7,0.0,39.2,1.3,176.0,88.0,24.6,3.1,17.1,5.0,52.3,47.7,92.5,83.6,56862.0,87825.0,34.0,90.5,1.8,3.6,0.0, 9 10 11 12,Not Calculated,Not Calculated,6214.58,38201.72,462.1,448.2,57.0,30.0,13.0,0.0,2020
030680120260001,School,Litchfield Senior High School,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,HIGH SCHOOL,Schoolwide Title I Program,415,90.8,1.3,4.1,1.0,0.0,0.0,3.1,17.6,17.6,0.0,51.6,4.6,177.0,95.5,9.9,4.5,15.8,4.7,64.7,34.3,88.8,72.8,62047.0,109466.0,15.4,96.3,1.1,1.1,0.0, 9 10 11 12,Not Calculated,Not Calculated,9170.46,12939.15,493.3,473.4,44.6,32.5,16.9,6.0,2020
030680220260001,School,Nokomis Jr/Sr High Sch,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,HIGH SCHOOL,Schoolwide Title I Program,298,95.3,0.0,3.1,0.0,0.0,0.0,1.9,14.8,14.8,0.0,37.9,2.6,176.0,94.6,3.2,1.7,10.8,3.0,67.8,30.1,79.1,44.1,47275.0,87045.0,13.3,97.6,0.0,2.4,0.0, 6 7 8 9 10 11 12,Not Calculated,Not Calculated,7486.83,11857.85,471.3,452.8,46.2,41.0,12.8,0.0,2020
040041000260001,School,Belvidere High School,Belvidere CUSD 100,Belvidere,Boone,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",1245,45.5,2.2,48.0,0.6,0.0,0.4,2.9,20.5,15.3,14.1,43.2,0.8,176.0,90.0,31.3,3.7,21.2,5.0,33.8,65.9,91.9,88.2,64835.0,103942.0,30.5,49.0,5.2,41.7,0.2, 9 10 11 12,Not Calculated,Not Calculated,9727.3,12022.08,458.6,439.0,58.3,29.9,10.7,1.1,2020
040041000260002,School,Belvidere North High Sch,Belvidere CUSD 100,Belvidere,Boone,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",1418,63.4,3.9,28.8,1.2,0.0,0.4,2.1,18.9,13.3,6.6,28.2,1.1,176.0,92.2,24.6,2.5,21.0,5.0,33.8,65.9,88.9,88.2,64835.0,103942.0,22.4,49.0,5.2,41.7,0.2, 9 10 11 12,Not Calculated,Not Calculated,9856.65,12151.14,500.2,472.4,45.5,29.1,21.6,3.8,2020
040042000260003,School,North Boone High School,North Boone CUSD 200,Poplar Grove,Boone,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",469,62.7,0.7,27.5,0.0,0.0,0.0,7.7,20.0,14.1,5.5,36.9,0.0,176.0,94.4,6.7,3.8,20.2,5.0,50.3,49.7,84.0,78.3,58533.0,96373.0,12.7,71.2,1.2,20.6,0.0, 9 10 11 12,Not Calculated,Not Calculated,7452.14,11890.29,465.3,455.6,45.6,38.9,15.6,0.0,2020
041011220220002,School,Harlem High School,Harlem UD 122,Machesney Park,Winnebago,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",1953,69.6,5.9,14.5,2.5,0.0,0.7,6.6,23.1,17.8,3.2,45.4,2.1,176.0,84.4,51.4,3.7,25.7,5.0,37.0,62.3,94.5,65.1,63842.0,104880.0,43.2,69.9,7.8,13.4,0.6, 9 10 11 12,Not Calculated,Not Calculated,10470.2,13709.38,474.3,457.8,50.1,30.5,16.5,2.9,2020
041012050250001,School,Auburn High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL,Schoolwide Title I Program,1756,28.2,40.8,19.3,4.2,0.1,0.2,7.2,17.1,13.4,3.8,57.8,3.0,176.0,77.5,74.4,14.3,19.2,4.5,40.6,58.8,85.5,79.7,62575.0,92223.0,65.0,27.6,38.0,24.6,1.7, 9 10 11 12,Not Calculated,Not Calculated,8698.33,11886.51,495.6,470.5,54.8,18.0,18.0,9.2,2020
041012050250002,School,Rockford East High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL,Schoolwide Title I Program,1520,29.0,28.0,29.7,6.8,0.1,0.2,6.0,16.2,13.4,16.1,62.9,3.2,176.0,84.1,65.4,10.6,17.1,5.0,40.6,58.8,87.6,79.7,62575.0,92223.0,53.9,27.6,38.0,24.6,1.7, 9 10 11 12,Not Calculated,Not Calculated,10011.12,13185.7,444.5,421.8,69.0,23.5,7.1,0.3,2020
041012050250003,School,Guilford High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL,Schoolwide Title I Program,1805,39.7,24.2,23.5,5.3,0.1,0.2,7.0,17.3,13.4,5.3,46.7,2.7,176.0,85.3,56.0,5.9,18.2,5.0,40.6,58.8,88.7,79.7,62575.0,92223.0,46.7,27.6,38.0,24.6,1.7, 9 10 11 12,Not Calculated,Not Calculated,8571.71,11510.21,482.1,451.1,51.9,31.4,15.6,1.2,2020
041012050250004,School,Jefferson High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL,Schoolwide Title I Program,1793,20.6,18.9,52.7,3.0,0.1,0.2,4.8,16.3,14.7,24.1,61.0,3.6,176.0,81.5,70.7,9.7,18.7,5.0,40.6,58.8,87.4,79.7,62575.0,92223.0,57.8,27.6,38.0,24.6,1.7, 9 10 11 12,Not Calculated,Not Calculated,9027.68,12164.64,437.5,417.7,70.0,26.5,3.2,0.3,2020
041012070160001,School,Hononegah CHD High School,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,HIGH SCHOOL,Targeted Assistance Title I Pr,1937,81.8,1.8,10.0,2.7,0.0,0.0,3.6,16.7,11.5,0.6,20.8,0.0,176.0,95.4,11.1,1.1,12.6,5.0,21.7,78.3,95.0,93.6,79694.0,93509.0,11.5,78.4,5.9,11.9,0.4, 9 10 11 12,Not Calculated,Not Calculated,13136.87,13136.87,544.4,525.2,20.8,33.2,39.6,6.4,2020
041013200260001,School,South Beloit Sr High School,County of Winnebago SD 320,South Beloit,Winnebago,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",235,55.3,4.3,30.6,0.0,0.0,0.0,8.1,11.9,9.8,6.4,63.4,0.0,176.0,86.8,18.7,5.8,15.8,5.0,64.4,35.6,90.0,68.1,51986.0,88107.0,38.5,56.6,4.7,30.2,0.0, 9 10 11 12,Not Calculated,Not Calculated,11489.57,13771.88,471.9,473.8,34.5,46.6,19.0,0.0,2020
041013210260001,School,Pecatonica High School,Pecatonica CUSD 321,Pecatonica,Winnebago,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",279,88.9,2.1,6.5,0.0,0.0,0.0,3.7,20.4,12.2,1.1,25.1,0.0,176.0,93.1,9.9,2.8,15.8,5.0,46.1,50.9,91.8,63.6,49848.0,117739.0,17.0,84.9,2.9,2.9,2.3, 9 10 11 12,Not Calculated,Not Calculated,8228.16,12868.9,523.4,514.7,28.8,32.2,28.8,10.2,2020
041013220260001,School,Durand High School,Durand CUSD 322,Durand,Winnebago,UNIT,HIGH SCHOOL,"Eligible, but Not a Participan",185,93.5,0.0,4.5,0.0,0.0,0.0,5.8,13.0,13.0,0.0,24.3,0.0,177.0,92.0,35.1,3.7,13.5,5.0,44.4,55.3,92.5,89.7,51188.0,100480.0,22.3,89.2,0.0,1.4,0.0, 9 10 11 12,Not Calculated,Not Calculated,10846.0,16016.0,533.5,515.8,17.9,48.7,23.1,10.3,2020
