School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Acton-Boxborough - Raymond J Grey Junior High,06000405,     579,19.7,        842,47.5,52.0,3.1,17.5,12.1,06000000,3.4,34.2,7.7,50.4,0.4,0.2,3.7,Acton-Boxborough,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",2021
Acushnet - Acushnet Elementary School,00030025,     280,18.6,        541,45.5,54.5,0.4,16.1,40.9,00030000,1.9,0.9,5.0,89.1,0.0,0.0,3.1,Acushnet,"          $13,894,379.55",             922.5,"              $15,061.66","          $18,413,333.92","           1,235.1","              $14,908.37",2021
Acushnet - Albert F Ford Middle School,00030305,     213,17.3,        395,49.1,50.9,0.3,12.4,33.9,00030000,0.5,0.8,4.1,90.6,0.5,0.0,3.5,Acushnet,"          $13,894,379.55",             922.5,"              $15,061.66","          $18,413,333.92","           1,235.1","              $14,908.37",2021
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     495,18.5,        965,45.9,53.6,2.6,6.8,14.3,04300000,2.2,14.7,7.7,68.9,0.0,0.0,6.5,Advanced Math and Science Academy Charter (District),"          $16,072,974.33",             963.9,"              $16,675.46","          $16,072,974.33",             963.9,"              $16,675.46",2021
Agawam - Agawam Early Childhood Center,00050003,      18,10.8,        186,37.1,62.9,11.8,41.4,50.5,00050000,0.5,5.9,12.4,76.3,0.5,0.0,4.3,Agawam,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",2021
Agawam - Agawam High,00050505,     578,14.2,"      1,054",47.7,52.3,2.3,15.8,37.4,00050000,2.8,3.7,8.9,81.5,0.1,0.0,3.0,Agawam,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",2021
Agawam - Agawam Junior High,00050405,     531,12.4,        592,46.6,53.2,2.2,17.4,43.9,00050000,2.0,4.2,14.9,75.8,0.0,0.0,3.0,Agawam,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",2021
Agawam - Benjamin J Phelps,00050020,     167,19.3,        307,49.5,50.5,5.9,7.8,48.2,00050000,2.0,3.6,7.8,82.1,0.0,0.0,4.6,Agawam,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",2021
Agawam - Clifford M Granger,00050010,     176,18.5,        314,50.3,49.7,8.0,12.4,40.1,00050000,1.0,2.9,17.5,78.3,0.0,0.0,0.3,Agawam,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",2021
Agawam - James Clark School,00050030,     157,19.4,        294,50.3,49.7,9.2,14.6,48.3,00050000,2.0,4.1,13.6,76.9,0.0,0.0,3.4,Agawam,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",2021
Agawam - Roberta G. Doering School,00050303,     377,18.7,        543,50.1,49.7,3.3,20.6,44.2,00050000,2.4,2.4,9.6,82.7,0.0,0.2,2.8,Agawam,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",2021
Agawam - Robinson Park,00050025,     156,19.0,        283,50.2,49.8,13.8,11.3,57.6,00050000,2.8,3.2,15.9,73.1,0.0,0.0,5.0,Agawam,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",2021
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,     280,22.6,        938,53.8,46.2,31.0,19.6,75.7,04090000,13.4,0.4,59.8,21.9,0.4,0.0,4.1,Alma del Mar Charter School (District),"          $13,129,188.00",             787.7,"              $16,667.96","          $13,129,188.00",             787.7,"              $16,667.96",2021
Amesbury - Amesbury Elementary,00070005,     143,18.2,        329,46.8,53.2,0.6,23.1,33.7,00070000,1.2,0.0,6.4,89.4,0.0,0.0,3.0,Amesbury,"          $35,301,080.55","           1,861.9","              $18,959.71","          $40,504,954.06","           2,037.1","              $19,883.64",2021
Amesbury - Amesbury High,00070505,     395,12.7,        466,49.8,50.2,1.7,18.0,28.5,00070000,1.5,1.5,7.3,85.0,0.0,0.2,4.5,Amesbury,"          $35,301,080.55","           1,861.9","              $18,959.71","          $40,504,954.06","           2,037.1","              $19,883.64",2021
Amesbury - Amesbury Innovation High School,00070515,      61,9.0,         52,50.0,50.0,0.0,46.2,65.4,00070000,0.0,0.0,5.8,86.5,0.0,0.0,7.7,Amesbury,"          $35,301,080.55","           1,861.9","              $18,959.71","          $40,504,954.06","           2,037.1","              $19,883.64",2021
Amesbury - Amesbury Middle,00070013,     401,15.6,        627,43.2,56.8,0.8,21.7,36.4,00070000,1.9,1.9,10.4,80.7,0.2,0.0,4.9,Amesbury,"          $35,301,080.55","           1,861.9","              $18,959.71","          $40,504,954.06","           2,037.1","              $19,883.64",2021
Amesbury - Charles C Cashman Elementary,00070010,     177,17.1,        373,49.9,50.1,6.2,30.3,37.3,00070000,1.6,0.5,14.5,78.8,0.3,0.3,4.0,Amesbury,"          $35,301,080.55","           1,861.9","              $18,959.71","          $40,504,954.06","           2,037.1","              $19,883.64",2021
Amherst - Crocker Farm Elementary,00080009,     114,16.7,        363,46.8,51.5,15.7,24.8,35.3,00080000,11.6,12.1,18.5,46.8,0.3,0.3,10.5,Amherst,"          $27,677,146.00","           1,017.0","              $27,214.50","          $29,901,899.50","           1,135.0","              $26,345.29",2021
Amherst - Fort River Elementary,00080020,     109,18.5,        345,46.1,53.9,10.7,25.2,36.2,00080000,6.4,11.3,29.6,45.2,0.3,0.3,7.0,Amherst,"          $27,677,146.00","           1,017.0","              $27,214.50","          $29,901,899.50","           1,135.0","              $26,345.29",2021
Amherst - Wildwood Elementary,00080050,     114,18.0,        335,52.5,46.9,14.0,23.0,45.7,00080000,16.7,9.3,20.0,46.6,0.6,0.0,6.9,Amherst,"          $27,677,146.00","           1,017.0","              $27,214.50","          $29,901,899.50","           1,135.0","              $26,345.29",2021
Amherst-Pelham - Amherst Regional High,06050505,     624,13.6,        868,46.5,52.7,9.0,22.7,33.1,06050000,8.6,9.0,18.3,55.3,0.0,0.0,8.8,Amherst-Pelham,"          $30,919,410.00","           1,278.0","              $24,193.59","          $35,197,652.00","           1,433.4","              $24,555.36",2021
Amherst-Pelham - Amherst Regional Middle School,06050405,     282,17.2,        420,46.9,52.1,6.9,21.4,31.9,06050000,7.4,7.4,16.9,61.7,0.0,0.0,6.7,Amherst-Pelham,"          $30,919,410.00","           1,278.0","              $24,193.59","          $35,197,652.00","           1,433.4","              $24,555.36",2021
Andover - Andover High,00090505,     995,14.8,"      1,677",50.5,49.1,0.5,16.1,13.3,00090000,2.8,19.4,8.1,66.3,0.4,0.1,2.9,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Andover - Andover West Middle,00090310,     313,18.1,        537,50.8,49.0,1.5,19.0,14.2,00090000,3.0,17.7,8.6,68.3,0.4,0.0,2.1,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Andover - Bancroft Elementary,00090003,     189,19.3,        523,49.0,51.1,3.3,19.3,9.8,00090000,1.2,8.0,8.2,76.1,0.0,0.0,6.5,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Andover - Doherty Middle,00090305,     301,16.0,        458,51.5,48.5,0.7,17.0,8.1,00090000,1.5,11.4,8.7,75.1,0.0,0.0,3.3,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Andover - Henry C Sanborn Elementary,00090010,     126,18.5,        333,48.1,52.0,5.1,10.2,12.3,00090000,2.7,21.3,9.9,59.8,0.0,0.0,6.3,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Andover - High Plain Elementary,00090004,     182,20.5,        534,48.9,51.1,11.8,16.1,15.0,00090000,3.6,27.5,13.3,49.3,0.2,0.2,6.0,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Andover - Shawsheen School,00090005,      11,9.5,        104,39.4,60.6,5.8,54.8,17.3,00090000,7.7,20.2,14.4,50.0,1.0,0.0,6.7,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Andover - South Elementary,00090020,     168,18.2,        437,44.9,55.2,2.1,15.6,6.6,00090000,1.1,16.9,4.6,72.3,0.0,0.0,5.0,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Andover - West Elementary,00090025,     203,19.1,        554,46.4,53.6,5.1,27.1,14.3,00090000,3.4,15.9,8.7,67.3,0.2,0.0,4.5,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Andover - Wood Hill Middle School,00090350,     234,16.3,        374,49.7,50.3,2.4,17.1,14.4,00090000,3.2,30.5,9.4,51.3,0.5,0.3,4.8,Andover,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",2021
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,     298,19.2,        582,46.4,53.6,20.8,26.3,77.7,35090000,13.6,2.1,26.6,51.2,0.5,0.0,6.0,Argosy Collegiate Charter School (District),"           $9,321,834.82",             568.8,"              $16,388.31","           $9,321,834.82",             568.8,"              $16,388.31",2021
Arlington - Arlington High,00100505,     912,14.7,"      1,504",51.8,46.9,1.5,11.4,12.1,00100000,3.6,11.0,6.6,73.3,0.0,0.1,5.5,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - Brackett,00100010,     182,17.1,        445,44.5,55.3,4.3,18.0,4.5,00100000,1.6,10.1,7.0,70.3,0.0,0.0,11.0,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - Cyrus E Dallin,00100025,     175,17.5,        437,50.1,49.9,4.1,10.1,8.0,00100000,1.6,14.2,6.2,69.3,0.0,0.0,8.7,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - Gibbs School,00100305,     323,17.0,        458,52.6,46.9,3.3,22.3,10.9,00100000,3.5,12.7,5.9,71.2,0.0,0.4,6.3,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - Hardy,00100030,     154,18.7,        412,52.4,47.6,9.7,17.7,11.4,00100000,1.9,15.5,5.8,67.2,0.0,0.0,9.5,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - John A Bishop,00100005,     133,21.0,        399,47.6,52.4,8.3,12.3,6.5,00100000,3.5,15.8,4.0,66.9,0.0,0.0,9.8,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - M Norcross Stratton,00100055,     154,20.5,        451,48.3,51.4,9.5,18.4,8.9,00100000,3.3,18.9,5.3,63.4,0.0,0.0,9.1,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - Menotomy Preschool,00100038,       7,14.0,         98,36.7,63.3,0.0,56.1,18.4,00100000,2.0,13.3,7.1,59.2,0.0,0.0,18.4,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - Ottoson Middle,00100410,     559,17.7,        923,45.9,53.5,2.5,19.5,13.5,00100000,4.6,9.9,8.7,70.4,0.2,0.1,6.2,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - Peirce,00100045,     119,19.4,        330,43.3,56.4,9.4,12.4,10.9,00100000,4.6,16.7,9.1,63.3,0.0,0.0,6.4,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Arlington - Thompson,00100050,     168,21.3,        511,52.5,47.4,10.0,15.9,22.9,00100000,4.9,13.7,10.6,63.2,0.0,0.0,7.6,Arlington,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",2021
Ashburnham-Westminster - Briggs Elementary,06100025,     273,19.4,        540,48.9,51.1,4.8,23.0,28.3,06100000,0.9,1.3,4.8,89.1,0.0,0.0,3.9,Ashburnham-Westminster,"          $32,368,891.92","           2,204.7","              $14,681.77","          $34,367,218.10","           2,303.4","              $14,920.21",2021
Ashburnham-Westminster - Meetinghouse School,06100010,     114,16.6,        168,50.0,50.0,7.1,13.7,24.4,06100000,2.4,0.6,3.0,89.3,0.0,0.0,4.8,Ashburnham-Westminster,"          $32,368,891.92","           2,204.7","              $14,681.77","          $34,367,218.10","           2,303.4","              $14,920.21",2021
Ashburnham-Westminster - Oakmont Regional High School,06100505,     342,15.1,        630,46.0,53.0,0.5,15.4,24.4,06100000,1.0,1.3,5.7,90.2,0.2,0.0,1.8,Ashburnham-Westminster,"          $32,368,891.92","           2,204.7","              $14,681.77","          $34,367,218.10","           2,303.4","              $14,920.21",2021
Ashburnham-Westminster - Overlook Middle School,06100305,     410,22.4,        572,48.3,51.2,0.4,15.0,26.8,06100000,1.6,0.7,7.9,85.8,0.0,0.0,4.0,Ashburnham-Westminster,"          $32,368,891.92","           2,204.7","              $14,681.77","          $34,367,218.10","           2,303.4","              $14,920.21",2021
Ashburnham-Westminster - Westminster Elementary,06100005,     215,21.0,        382,50.3,49.5,2.4,19.9,25.9,06100000,1.8,0.5,6.5,89.0,0.0,0.0,2.1,Ashburnham-Westminster,"          $32,368,891.92","           2,204.7","              $14,681.77","          $34,367,218.10","           2,303.4","              $14,920.21",2021
Ashland - Ashland High,00140505,     386,17.2,        842,50.2,49.8,4.0,13.8,23.9,00140000,2.4,13.7,17.1,64.0,0.5,0.0,2.4,Ashland,"          $41,552,192.62","           2,754.7","              $15,084.11","          $45,375,546.89","           2,809.3","              $16,151.91",2021
Ashland - Ashland Middle,00140405,     400,20.9,        716,48.3,51.7,8.2,19.1,25.7,00140000,2.8,12.9,19.7,61.0,0.7,0.0,2.9,Ashland,"          $41,552,192.62","           2,754.7","              $15,084.11","          $45,375,546.89","           2,809.3","              $16,151.91",2021
Ashland - David Mindess,00140015,     297,23.1,        652,47.4,52.6,11.5,24.1,24.2,00140000,3.5,16.3,18.7,56.8,0.2,0.2,4.5,Ashland,"          $41,552,192.62","           2,754.7","              $15,084.11","          $45,375,546.89","           2,809.3","              $16,151.91",2021
Ashland - Henry E Warren Elementary,00140010,     192,21.9,        662,46.4,53.6,13.8,16.0,23.6,00140000,2.6,23.7,18.6,51.8,0.2,0.0,3.2,Ashland,"          $41,552,192.62","           2,754.7","              $15,084.11","          $45,375,546.89","           2,809.3","              $16,151.91",2021
Ashland - William Pittaway Elementary,00140005,      18,5.1,         84,42.9,57.1,0.0,40.5,19.1,00140000,1.2,35.7,9.5,47.6,0.0,0.0,6.0,Ashland,"          $41,552,192.62","           2,754.7","              $15,084.11","          $45,375,546.89","           2,809.3","              $16,151.91",2021
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     602,17.6,"      1,121",42.0,56.9,5.2,26.0,42.8,08010000,1.9,0.5,23.4,72.1,0.1,0.0,2.1,Assabet Valley Regional Vocational Technical,"          $23,463,517.39","           1,145.5","              $20,483.21","          $23,476,517.39","           1,145.5","              $20,494.56",2021
Athol-Royalston - Athol Community Elementary School,06150020,     214,20.0,        599,46.7,53.3,4.5,25.9,71.1,06150000,1.8,1.3,13.2,79.8,0.0,0.0,3.8,Athol-Royalston,"          $24,620,115.25","           1,443.9","              $17,051.12","          $28,833,401.53","           1,766.9","              $16,318.64",2021
Athol-Royalston - Athol High,06150505,     174,14.2,        366,44.8,55.2,2.2,24.9,60.9,06150000,2.5,2.2,17.8,74.3,0.3,0.0,3.0,Athol-Royalston,"          $24,620,115.25","           1,443.9","              $17,051.12","          $28,833,401.53","           1,766.9","              $16,318.64",2021
Athol-Royalston - Athol-Royalston Middle School,06150305,     279,19.4,        459,44.7,55.3,1.7,25.5,69.3,06150000,1.5,1.3,12.4,80.6,0.0,0.0,4.1,Athol-Royalston,"          $24,620,115.25","           1,443.9","              $17,051.12","          $28,833,401.53","           1,766.9","              $16,318.64",2021
Athol-Royalston - Royalston Community School,06150050,      52,19.6,        139,45.3,54.7,0.0,14.4,50.4,06150000,0.0,0.0,4.3,94.2,0.0,0.0,1.4,Athol-Royalston,"          $24,620,115.25","           1,443.9","              $17,051.12","          $28,833,401.53","           1,766.9","              $16,318.64",2021
Atlantis Charter (District) - Atlantis Charter School,04910550,     493,21.2,"      1,288",53.3,46.6,17.1,14.7,64.6,04910000,6.1,2.0,16.1,71.2,0.1,0.1,4.5,Atlantis Charter (District),"          $18,672,052.35","           1,296.1","              $14,406.56","          $18,672,052.35","           1,296.1","              $14,406.56",2021
Attleboro - A. Irvin Studley Elementary School,00160001,     193,18.3,        349,50.1,49.9,8.0,20.1,42.1,00160000,6.6,3.7,15.8,67.3,0.0,0.3,6.3,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Attleboro Community Academy,00160515,      46,16.2,        101,44.6,53.5,5.0,21.8,60.4,00160000,8.9,6.9,18.8,62.4,0.0,0.0,3.0,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Attleboro High,00160505,     763,19.3,"      1,800",45.3,54.3,3.4,15.9,37.7,00160000,7.8,4.7,16.8,65.6,0.3,0.1,4.7,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Attleboro Virtual Academy,00160705,      51,7.0,         59,52.5,47.5,1.7,15.3,47.5,00160000,11.9,8.5,18.6,54.2,0.0,0.0,6.8,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Cyril K. Brennan Middle School,00160315,     267,20.8,        626,49.4,50.2,7.0,17.7,49.7,00160000,7.4,3.4,20.9,60.2,0.3,0.0,7.8,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Early Learning Center,00160008,      16,13.3,        213,38.0,62.0,0.0,52.1,47.4,00160000,11.7,5.2,9.9,69.0,0.5,0.0,3.8,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Hill-Roberts Elementary School,00160045,     190,20.9,        397,51.4,48.6,12.3,15.9,48.1,00160000,8.6,6.3,14.4,64.7,0.3,0.0,5.8,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Hyman Fine Elementary School,00160040,     200,22.8,        456,51.3,48.7,12.9,18.6,41.0,00160000,6.1,2.6,19.7,62.5,0.0,0.0,9.0,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Peter Thacher Elementary School,00160050,     330,15.5,        464,46.8,53.2,8.0,24.1,51.9,00160000,12.9,5.8,15.7,59.1,0.4,0.0,6.0,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Robert J. Coelho Middle School,00160305,     233,23.3,        613,44.7,55.0,0.7,14.5,37.9,00160000,9.8,5.2,11.9,66.1,0.3,0.2,6.5,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Thomas Willett Elementary School,00160035,     149,22.4,        360,48.9,51.1,11.4,19.2,47.8,00160000,8.6,2.5,18.1,63.3,0.0,0.0,7.5,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Attleboro - Wamsutta Middle School,00160320,     209,22.2,        586,48.5,51.4,2.9,15.4,39.1,00160000,7.2,5.0,16.0,63.5,0.0,0.0,8.4,Attleboro,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",2021
Auburn - Auburn Middle,00170305,     414,18.7,        651,50.5,49.5,2.8,12.0,28.3,00170000,3.5,4.0,12.1,77.6,0.0,0.0,2.8,Auburn,"          $37,360,958.16","           2,509.1","              $14,890.18","          $38,665,237.60","           2,573.8","              $15,022.63",2021
Auburn - Auburn Senior High,00170505,     622,16.3,        848,49.4,50.2,1.7,11.1,29.5,00170000,3.4,5.2,10.6,77.2,0.0,0.1,3.4,Auburn,"          $37,360,958.16","           2,509.1","              $14,890.18","          $38,665,237.60","           2,573.8","              $15,022.63",2021
Auburn - Bryn Mawr,00170010,     104,20.2,        263,47.9,52.1,3.8,12.6,36.9,00170000,1.5,3.8,15.2,74.5,0.8,0.0,4.2,Auburn,"          $37,360,958.16","           2,509.1","              $14,890.18","          $38,665,237.60","           2,573.8","              $15,022.63",2021
Auburn - Pakachoag School,00170025,     112,18.4,        257,52.9,47.1,1.6,12.1,30.7,00170000,1.2,3.9,10.9,78.2,0.0,0.4,5.5,Auburn,"          $37,360,958.16","           2,509.1","              $14,890.18","          $38,665,237.60","           2,573.8","              $15,022.63",2021
Auburn - Swanson Road Intermediate School,00170030,     232,19.9,        579,47.7,52.3,3.1,13.8,29.7,00170000,1.9,5.4,12.1,77.2,0.0,0.0,3.5,Auburn,"          $37,360,958.16","           2,509.1","              $14,890.18","          $38,665,237.60","           2,573.8","              $15,022.63",2021
Avon - Avon Middle High School,00180510,     250,12.3,        316,46.5,53.5,4.4,21.8,49.4,00180000,35.4,5.1,12.7,39.9,1.3,0.0,5.7,Avon,"          $12,531,116.00",             681.5,"              $18,387.55","          $13,372,850.00",             712.4,"              $18,771.55",2021
