label,variable_id_2018
annotation of estimate!!race!!total population,DP05_0033EA
percent annotation of margin of error!!race alone or in combination with one or more other races!!total population!!black or african american,DP05_0065PMA
percent annotation of margin of error!!sex and age!!total population,DP05_0001PMA
margin of error!!sex and age!!total population!!65 years and over,DP05_0024M
estimate!!sex and age!!total population!!65 years and over,DP05_0024E
annotation of margin of error!!race!!total population!!two or more races!!white and black or african american,DP05_0059MA
margin of error!!sex and age!!total population!!18 years and over,DP05_0025M
estimate!!sex and age!!total population!!18 years and over,DP05_0025E
percent margin of error!!sex and age!!total population!!65 to 74 years,DP05_0015PM
annotation of margin of error!!sex and age!!total population!!male,DP05_0002MA
percent!!sex and age!!total population!!65 to 74 years,DP05_0015PE
margin of error!!sex and age!!total population!!18 years and over!!male,DP05_0026M
estimate!!sex and age!!total population!!18 years and over!!male,DP05_0026E
percent margin of error!!sex and age!!total population!!male,DP05_0002PM
annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!white alone,DP05_0077EA
percent annotation of estimate!!sex and age!!total population!!55 to 59 years,DP05_0013PEA
percent!!sex and age!!total population!!male,DP05_0002PE
margin of error!!sex and age!!total population!!18 years and over!!female,DP05_0027M
estimate!!sex and age!!total population!!18 years and over!!female,DP05_0027E
annotation of estimate!!sex and age!!total population!!16 years and over,DP05_0020EA
"percent annotation of margin of error!!citizen, voting age population!!citizen, 18 and over population!!female",DP05_0089PMA
percent annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!white alone,DP05_0077PEA
estimate!!sex and age!!total population!!16 years and over,DP05_0020E
estimate!!sex and age!!total population!!18 years and over,DP05_0021E
percent annotation of margin of error!!sex and age!!total population!!18 years and over!!sex ratio (males per 100 females),DP05_0028PMA
percent margin of error!!race!!total population!!two or more races!!white and black or african american,DP05_0059PM
percent!!race!!total population!!two or more races!!white and black or african american,DP05_0059PE
margin of error!!sex and age!!total population!!16 years and over,DP05_0020M
annotation of margin of error!!race!!total population!!one race!!asian!!chinese,DP05_0046MA
margin of error!!sex and age!!total population!!21 years and over,DP05_0022M
estimate!!sex and age!!total population!!21 years and over,DP05_0022E
percent annotation of margin of error!!sex and age!!total population!!sex ratio (males per 100 females),DP05_0004PMA
percent annotation of estimate!!race alone or in combination with one or more other races!!total population!!black or african american,DP05_0065PEA
percent margin of error!!race!!total population!!one race!!asian!!chinese,DP05_0046PM
annotation of margin of error!!race!!total population,DP05_0033MA
margin of error!!sex and age!!total population!!18 years and over,DP05_0021M
percent!!race!!total population!!one race!!asian!!chinese,DP05_0046PE
margin of error!!sex and age!!total population!!62 years and over,DP05_0023M
estimate!!sex and age!!total population!!62 years and over,DP05_0023E
annotation of estimate!!race alone or in combination with one or more other races!!total population!!white,DP05_0064EA
annotation of estimate!!race!!total population!!one race!!asian!!other asian,DP05_0051EA
percent annotation of margin of error!!race!!total population!!one race!!american indian and alaska native!!chippewa tribal grouping,DP05_0041PMA
annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!white alone,DP05_0077MA
percent annotation of margin of error!!race!!total population!!one race!!native hawaiian and other pacific islander!!native hawaiian,DP05_0053PMA
percent margin of error!!race!!total population,DP05_0033PM
"percent annotation of estimate!!citizen, voting age population!!citizen, 18 and over population!!female",DP05_0089PEA
percent!!race!!total population,DP05_0033PE
annotation of margin of error!!sex and age!!total population!!16 years and over,DP05_0020MA
percent margin of error!!sex and age!!total population!!16 years and over,DP05_0020PM
percent!!sex and age!!total population!!16 years and over,DP05_0020PE
percent annotation of estimate!!sex and age!!total population!!18 years and over!!sex ratio (males per 100 females),DP05_0028PEA
percent margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!white alone,DP05_0077PM
annotation of margin of error!!race alone or in combination with one or more other races!!total population!!white,DP05_0064MA
percent!!hispanic or latino and race!!total population!!not hispanic or latino!!white alone,DP05_0077PE
percent annotation of estimate!!race!!total population!!one race!!american indian and alaska native!!chippewa tribal grouping,DP05_0041PEA
percent margin of error!!race alone or in combination with one or more other races!!total population!!white,DP05_0064PM
percent!!race alone or in combination with one or more other races!!total population!!white,DP05_0064PE
annotation of margin of error!!race!!total population!!one race!!asian!!other asian,DP05_0051MA
annotation of estimate!!sex and age!!total population!!65 years and over,DP05_0029EA
annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!some other race alone,DP05_0082EA
percent!!race!!total population!!one race!!asian!!other asian,DP05_0051PE
annotation of estimate!!sex and age!!total population!!75 to 84 years,DP05_0016EA
percent annotation of estimate!!race!!total population!!one race!!native hawaiian and other pacific islander!!native hawaiian,DP05_0053PEA
percent annotation of margin of error!!sex and age!!total population!!75 to 84 years,DP05_0016PMA
percent margin of error!!race!!total population!!one race!!asian!!other asian,DP05_0051PM
annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!some other race alone,DP05_0082MA
annotation of estimate!!sex and age!!total population!!female,DP05_0003EA
percent annotation of margin of error!!race alone or in combination with one or more other races!!total population!!native hawaiian and other pacific islander,DP05_0068PMA
annotation of margin of error!!sex and age!!total population!!65 years and over,DP05_0029MA
percent margin of error!!sex and age!!total population!!65 years and over,DP05_0029PM
percent!!sex and age!!total population!!65 years and over,DP05_0029PE
percent margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!some other race alone,DP05_0082PM
annotation of margin of error!!sex and age!!total population!!75 to 84 years,DP05_0016MA
percent!!hispanic or latino and race!!total population!!not hispanic or latino!!some other race alone,DP05_0082PE
annotation of estimate!!race!!total population!!one race!!asian!!filipino,DP05_0047EA
percent annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!native hawaiian and other pacific islander alone,DP05_0081PMA
percent annotation of estimate!!sex and age!!total population!!75 to 84 years,DP05_0016PEA
percent annotation of margin of error!!sex and age!!total population!!under 18 years,DP05_0019PMA
annotation of estimate!!race!!total population!!one race,DP05_0034EA
percent annotation of margin of error!!sex and age!!total population!!16 years and over,DP05_0020PMA
percent annotation of estimate!!sex and age!!total population!!sex ratio (males per 100 females),DP05_0004PEA
percent annotation of margin of error!!sex and age!!total population!!65 years and over!!sex ratio (males per 100 females),DP05_0032PMA
percent margin of error!!sex and age!!total population!!75 to 84 years,DP05_0016PM
percent!!sex and age!!total population!!75 to 84 years,DP05_0016PE
percent annotation of estimate!!race alone or in combination with one or more other races!!total population!!native hawaiian and other pacific islander,DP05_0068PEA
annotation of margin of error!!sex and age!!total population!!female,DP05_0003MA
margin of error!!race!!total population!!one race,DP05_0036M
percent annotation of margin of error!!race!!total population!!one race!!asian,DP05_0044PMA
estimate!!race!!total population!!one race,DP05_0036E
percent margin of error!!sex and age!!total population!!female,DP05_0003PM
annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!black or african american alone,DP05_0078EA
percent!!sex and age!!total population!!female,DP05_0003PE
margin of error!!race!!total population!!one race!!white,DP05_0037M
estimate!!race!!total population!!one race!!white,DP05_0037E
annotation of estimate!!sex and age!!total population!!18 years and over,DP05_0021EA
percent annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!native hawaiian and other pacific islander alone,DP05_0081PEA
margin of error!!race!!total population!!one race!!black or african american,DP05_0038M
percent annotation of margin of error!!race!!total population!!one race!!native hawaiian and other pacific islander!!other pacific islander,DP05_0056PMA
estimate!!race!!total population!!one race!!black or african american,DP05_0038E
margin of error!!race!!total population!!one race!!american indian and alaska native,DP05_0039M
estimate!!race!!total population!!one race!!american indian and alaska native,DP05_0039E
annotation of margin of error!!race!!total population!!one race!!asian!!filipino,DP05_0047MA
estimate!!sex and age!!total population!!65 years and over!!sex ratio (males per 100 females),DP05_0032E
percent margin of error!!race!!total population!!one race!!asian!!filipino,DP05_0047PM
annotation of margin of error!!race!!total population!!one race,DP05_0034MA
percent!!race!!total population!!one race!!asian!!filipino,DP05_0047PE
percent annotation of estimate!!sex and age!!total population!!under 18 years,DP05_0019PEA
margin of error!!sex and age!!total population!!65 years and over!!female,DP05_0031M
margin of error!!race!!total population,DP05_0033M
estimate!!race!!total population,DP05_0033E
percent annotation of estimate!!sex and age!!total population!!10 to 14 years,DP05_0007PEA
annotation of estimate!!race alone or in combination with one or more other races!!total population!!black or african american,DP05_0065EA
margin of error!!sex and age!!total population!!65 years and over!!sex ratio (males per 100 females),DP05_0032M
margin of error!!race!!total population!!one race,DP05_0034M
estimate!!race!!total population!!one race,DP05_0034E
percent annotation of estimate!!sex and age!!total population!!16 years and over,DP05_0020PEA
annotation of estimate!!race!!total population!!one race!!native hawaiian and other pacific islander,DP05_0052EA
percent annotation of estimate!!sex and age!!total population!!65 years and over!!sex ratio (males per 100 females),DP05_0032PEA
margin of error!!race!!total population!!two or more races,DP05_0035M
estimate!!race!!total population!!two or more races,DP05_0035E
percent annotation of estimate!!race!!total population!!one race!!asian,DP05_0044PEA
annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!black or african american alone,DP05_0078MA
percent margin of error!!race!!total population!!one race,DP05_0034PM
annotation of margin of error!!sex and age!!total population!!18 years and over,DP05_0021MA
percent!!race!!total population!!one race,DP05_0034PE
percent annotation of estimate!!race!!total population!!one race!!native hawaiian and other pacific islander!!other pacific islander,DP05_0056PEA
estimate!!sex and age!!total population!!65 years and over!!male,DP05_0030E
percent margin of error!!sex and age!!total population!!18 years and over,DP05_0021PM
percent!!sex and age!!total population!!18 years and over,DP05_0021PE
estimate!!sex and age!!total population!!65 years and over!!female,DP05_0031E
margin of error!!sex and age!!total population!!65 years and over!!male,DP05_0030M
percent annotation of margin of error!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!mexican,DP05_0072PMA
percent margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!black or african american alone,DP05_0078PM
percent annotation of margin of error!!sex and age!!total population!!10 to 14 years,DP05_0007PMA
percent!!hispanic or latino and race!!total population!!not hispanic or latino!!black or african american alone,DP05_0078PE
annotation of margin of error!!race alone or in combination with one or more other races!!total population!!black or african american,DP05_0065MA
percent annotation of margin of error!!race!!total population!!two or more races!!white and black or african american,DP05_0059PMA
percent margin of error!!race alone or in combination with one or more other races!!total population!!black or african american,DP05_0065PM
percent!!race alone or in combination with one or more other races!!total population!!black or african american,DP05_0065PE
annotation of margin of error!!race!!total population!!one race!!native hawaiian and other pacific islander,DP05_0052MA
percent annotation of margin of error!!race!!total population!!two or more races!!white and american indian and alaska native,DP05_0060PMA
annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races,DP05_0083EA
annotation of estimate!!sex and age!!total population!!85 years and over,DP05_0017EA
annotation of estimate!!hispanic or latino and race!!total population,DP05_0070EA
percent annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races!!two races including some other race,DP05_0084PMA
percent margin of error!!race!!total population!!one race!!native hawaiian and other pacific islander,DP05_0052PM
percent!!race!!total population!!one race!!native hawaiian and other pacific islander,DP05_0052PE
percent annotation of estimate!!race!!total population!!two or more races!!white and american indian and alaska native,DP05_0060PEA
percent annotation of margin of error!!sex and age!!total population!!35 to 44 years,DP05_0011PMA
annotation of margin of error!!sex and age!!total population!!15 to 19 years,DP05_0008MA
percent margin of error!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!cuban,DP05_0074PM
percent!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!cuban,DP05_0074PE
percent annotation of margin of error!!sex and age!!total population!!62 years and over,DP05_0023PMA
percent margin of error!!sex and age!!total population!!15 to 19 years,DP05_0008PM
percent!!sex and age!!total population!!15 to 19 years,DP05_0008PE
percent margin of error!!race!!total population!!two or more races!!white and asian,DP05_0061PM
percent annotation of estimate!!race!!total population!!two or more races!!white and black or african american,DP05_0059PEA
percent!!race!!total population!!two or more races!!white and asian,DP05_0061PE
annotation of estimate!!sex and age!!total population!!18 years and over!!male,DP05_0026EA
margin of error!!sex and age!!total population!!15 to 19 years,DP05_0008M
estimate!!sex and age!!total population!!15 to 19 years,DP05_0008E
annotation of estimate!!sex and age!!total population!!55 to 59 years,DP05_0013EA
margin of error!!sex and age!!total population!!20 to 24 years,DP05_0009M
percent annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races!!two races including some other race,DP05_0084PEA
estimate!!sex and age!!total population!!20 to 24 years,DP05_0009E
percent annotation of margin of error!!race!!total population!!two or more races,DP05_0035PMA
annotation of margin of error!!race!!total population!!one race!!american indian and alaska native,DP05_0039MA
percent annotation of estimate!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!mexican,DP05_0072PEA
percent annotation of margin of error!!race!!total population!!one race!!asian!!filipino,DP05_0047PMA
margin of error!!sex and age!!total population!!sex ratio (males per 100 females),DP05_0004M
estimate!!sex and age!!total population!!sex ratio (males per 100 females),DP05_0004E
annotation of estimate!!race!!total population!!one race!!some other race,DP05_0057EA
percent annotation of estimate!!sex and age!!total population!!35 to 44 years,DP05_0011PEA
margin of error!!sex and age!!total population!!under 5 years,DP05_0005M
estimate!!sex and age!!total population!!under 5 years,DP05_0005E
margin of error!!sex and age!!total population!!5 to 9 years,DP05_0006M
percent annotation of estimate!!sex and age!!total population!!62 years and over,DP05_0023PEA
estimate!!sex and age!!total population!!5 to 9 years,DP05_0006E
margin of error!!sex and age!!total population!!10 to 14 years,DP05_0007M
percent margin of error!!race!!total population!!one race!!american indian and alaska native,DP05_0039PM
estimate!!sex and age!!total population!!10 to 14 years,DP05_0007E
percent!!race!!total population!!one race!!american indian and alaska native,DP05_0039PE
annotation of margin of error!!sex and age!!total population!!18 years and over!!male,DP05_0026MA
percent margin of error!!sex and age!!total population!!18 years and over!!male,DP05_0026PM
percent!!sex and age!!total population!!18 years and over!!male,DP05_0026PE
annotation of margin of error!!sex and age!!total population!!55 to 59 years,DP05_0013MA
margin of error!!sex and age!!total population,DP05_0001M
estimate!!sex and age!!total population,DP05_0001E
annotation of estimate!!race!!total population!!one race!!asian,DP05_0044EA
percent annotation of estimate!!race!!total population!!two or more races,DP05_0035PEA
margin of error!!sex and age!!total population!!male,DP05_0002M
estimate!!sex and age!!total population!!male,DP05_0002E
annotation of estimate!!sex and age!!total population!!65 years and over!!female,DP05_0031EA
margin of error!!sex and age!!total population!!female,DP05_0003M
percent annotation of estimate!!race!!total population!!one race!!asian!!filipino,DP05_0047PEA
estimate!!sex and age!!total population!!female,DP05_0003E
percent annotation of margin of error!!race alone or in combination with one or more other races!!total population,DP05_0063PMA
annotation of margin of error!!race!!total population!!one race!!some other race,DP05_0057MA
percent annotation of margin of error!!race!!total population!!one race!!asian!!other asian,DP05_0051PMA
percent margin of error!!sex and age!!total population!!55 to 59 years,DP05_0013PM
"annotation of estimate!!citizen, voting age population!!citizen, 18 and over population!!male",DP05_0088EA
percent!!sex and age!!total population!!55 to 59 years,DP05_0013PE
annotation of estimate!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!other hispanic or latino,DP05_0075EA
"margin of error!!citizen, voting age population!!citizen, 18 and over population!!male",DP05_0088M
"estimate!!citizen, voting age population!!citizen, 18 and over population!!male",DP05_0088E
"margin of error!!citizen, voting age population!!citizen, 18 and over population",DP05_0087M
"margin of error!!citizen, voting age population!!citizen, 18 and over population!!female",DP05_0089M
"estimate!!citizen, voting age population!!citizen, 18 and over population!!female",DP05_0089E
percent margin of error!!race!!total population!!one race!!some other race,DP05_0057PM
annotation of margin of error!!race!!total population!!one race!!asian,DP05_0044MA
"percent annotation of margin of error!!citizen, voting age population!!citizen, 18 and over population",DP05_0087PMA
percent!!race!!total population!!one race!!some other race,DP05_0057PE
percent annotation of margin of error!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!other hispanic or latino,DP05_0075PMA
percent margin of error!!race!!total population!!one race!!asian,DP05_0044PM
percent!!race!!total population!!one race!!asian,DP05_0044PE
annotation of margin of error!!sex and age!!total population!!65 years and over!!female,DP05_0031MA
annotation of estimate!!sex and age!!total population!!20 to 24 years,DP05_0009EA
annotation of estimate!!race!!total population!!two or more races!!black or african american and american indian and alaska native,DP05_0062EA
estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races!!two races including some other race,DP05_0084E
margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races,DP05_0083M
percent annotation of estimate!!race!!total population!!one race!!asian!!other asian,DP05_0051PEA
"estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races!!two races excluding some other race, and three or more races",DP05_0085E
percent annotation of estimate!!race alone or in combination with one or more other races!!total population,DP05_0063PEA
percent annotation of margin of error!!sex and age!!total population!!60 to 64 years,DP05_0014PMA
margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races!!two races including some other race,DP05_0084M
"annotation of margin of error!!citizen, voting age population!!citizen, 18 and over population!!male",DP05_0088MA
estimate!!total housing units,DP05_0086E
"percent margin of error!!citizen, voting age population!!citizen, 18 and over population!!male",DP05_0088PM
annotation of margin of error!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!other hispanic or latino,DP05_0075MA
"margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races!!two races excluding some other race, and three or more races",DP05_0085M
"percent!!citizen, voting age population!!citizen, 18 and over population!!male",DP05_0088PE
"estimate!!citizen, voting age population!!citizen, 18 and over population",DP05_0087E
percent annotation of margin of error!!sex and age!!total population!!18 years and over!!male,DP05_0026PMA
percent margin of error!!sex and age!!total population!!65 years and over!!female,DP05_0031PM
percent!!sex and age!!total population!!65 years and over!!female,DP05_0031PE
margin of error!!total housing units,DP05_0086M
estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!asian alone,DP05_0080E
annotation of margin of error!!race!!total population!!two or more races!!black or african american and american indian and alaska native,DP05_0062MA
percent annotation of margin of error!!race!!total population!!one race!!black or african american,DP05_0038PMA
estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!native hawaiian and other pacific islander alone,DP05_0081E
"percent annotation of estimate!!citizen, voting age population!!citizen, 18 and over population",DP05_0087PEA
margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!asian alone,DP05_0080M
estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!some other race alone,DP05_0082E
margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!native hawaiian and other pacific islander alone,DP05_0081M
estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races,DP05_0083E
annotation of margin of error!!sex and age!!total population!!20 to 24 years,DP05_0009MA
percent margin of error!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!other hispanic or latino,DP05_0075PM
percent annotation of estimate!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!other hispanic or latino,DP05_0075PEA
margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!some other race alone,DP05_0082M
percent!!hispanic or latino and race!!total population!!hispanic or latino (of any race)!!other hispanic or latino,DP05_0075PE
percent annotation of estimate!!sex and age!!total population!!male,DP05_0002PEA
percent margin of error!!sex and age!!total population!!20 to 24 years,DP05_0009PM
percent!!sex and age!!total population!!20 to 24 years,DP05_0009PE
percent margin of error!!race!!total population!!two or more races!!black or african american and american indian and alaska native,DP05_0062PM
percent!!race!!total population!!two or more races!!black or african american and american indian and alaska native,DP05_0062PE
annotation of estimate!!sex and age!!total population!!18 years and over!!female,DP05_0027EA
percent annotation of estimate!!sex and age!!total population!!60 to 64 years,DP05_0014PEA
annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!asian alone,DP05_0080EA
annotation of estimate!!sex and age!!total population!!60 to 64 years,DP05_0014EA
percent annotation of estimate!!sex and age!!total population!!18 years and over!!male,DP05_0026PEA
percent annotation of estimate!!race!!total population!!one race!!black or african american,DP05_0038PEA
annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!asian alone,DP05_0080MA
annotation of estimate!!race!!total population!!two or more races,DP05_0058EA
annotation of estimate!!sex and age!!total population,DP05_0001EA
percent annotation of margin of error!!sex and age!!total population!!male,DP05_0002PMA
margin of error!!sex and age!!total population!!75 to 84 years,DP05_0016M
percent annotation of margin of error!!race!!total population!!one race!!native hawaiian and other pacific islander!!guamanian or chamorro,DP05_0054PMA
estimate!!sex and age!!total population!!75 to 84 years,DP05_0016E
margin of error!!sex and age!!total population!!85 years and over,DP05_0017M
estimate!!sex and age!!total population!!85 years and over,DP05_0017E
percent annotation of margin of error!!race alone or in combination with one or more other races!!total population!!american indian and alaska native,DP05_0066PMA
annotation of margin of error!!sex and age!!total population!!18 years and over!!female,DP05_0027MA
margin of error!!sex and age!!total population!!median age (years),DP05_0018M
percent margin of error!!sex and age!!total population!!18 years and over!!female,DP05_0027PM
estimate!!sex and age!!total population!!median age (years),DP05_0018E
percent!!sex and age!!total population!!18 years and over!!female,DP05_0027PE
percent margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!asian alone,DP05_0080PM
annotation of margin of error!!sex and age!!total population!!60 to 64 years,DP05_0014MA
percent!!hispanic or latino and race!!total population!!not hispanic or latino!!asian alone,DP05_0080PE
margin of error!!sex and age!!total population!!under 18 years,DP05_0019M
annotation of estimate!!race!!total population!!one race!!asian!!asian indian,DP05_0045EA
estimate!!sex and age!!total population!!under 18 years,DP05_0019E
margin of error!!sex and age!!total population!!45 to 54 years,DP05_0012M
estimate!!sex and age!!total population!!45 to 54 years,DP05_0012E
annotation of estimate!!sex and age!!total population!!65 years and over!!sex ratio (males per 100 females),DP05_0032EA
margin of error!!sex and age!!total population!!55 to 59 years,DP05_0013M
estimate!!sex and age!!total population!!55 to 59 years,DP05_0013E
margin of error!!sex and age!!total population!!60 to 64 years,DP05_0014M
estimate!!sex and age!!total population!!60 to 64 years,DP05_0014E
annotation of margin of error!!race!!total population!!two or more races,DP05_0058MA
margin of error!!sex and age!!total population!!65 to 74 years,DP05_0015M
percent annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!black or african american alone,DP05_0078PMA
estimate!!sex and age!!total population!!65 to 74 years,DP05_0015E
percent margin of error!!sex and age!!total population!!60 to 64 years,DP05_0014PM
"annotation of estimate!!citizen, voting age population!!citizen, 18 and over population!!female",DP05_0089EA
annotation of margin of error!!sex and age!!total population,DP05_0001MA
percent!!sex and age!!total population!!60 to 64 years,DP05_0014PE
percent annotation of estimate!!race!!total population!!one race!!native hawaiian and other pacific islander!!guamanian or chamorro,DP05_0054PEA
percent margin of error!!sex and age!!total population,DP05_0001PM
annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino,DP05_0076EA
percent!!sex and age!!total population,DP05_0001PE
percent annotation of estimate!!race!!total population!!one race!!american indian and alaska native!!navajo tribal grouping,DP05_0042PEA
percent annotation of estimate!!race alone or in combination with one or more other races!!total population!!american indian and alaska native,DP05_0066PEA
estimate!!sex and age!!total population!!25 to 34 years,DP05_0010E
percent annotation of margin of error!!sex and age!!total population!!85 years and over,DP05_0017PMA
margin of error!!sex and age!!total population!!35 to 44 years,DP05_0011M
estimate!!sex and age!!total population!!35 to 44 years,DP05_0011E
percent margin of error!!race!!total population!!two or more races,DP05_0058PM
annotation of margin of error!!race!!total population!!one race!!asian!!asian indian,DP05_0045MA
percent!!race!!total population!!two or more races,DP05_0058PE
margin of error!!sex and age!!total population!!25 to 34 years,DP05_0010M
percent margin of error!!race!!total population!!one race!!asian!!asian indian,DP05_0045PM
percent annotation of margin of error!!sex and age!!total population!!65 years and over,DP05_0029PMA
percent annotation of margin of error!!sex and age!!total population!!65 years and over!!male,DP05_0030PMA
annotation of margin of error!!sex and age!!total population!!65 years and over!!sex ratio (males per 100 females),DP05_0032MA
percent!!race!!total population!!one race!!asian!!asian indian,DP05_0045PE
annotation of estimate!!race alone or in combination with one or more other races!!total population,DP05_0063EA
percent annotation of margin of error!!race!!total population!!one race!!american indian and alaska native!!navajo tribal grouping,DP05_0042PMA
annotation of estimate!!race!!total population!!one race!!asian!!vietnamese,DP05_0050EA
percent annotation of estimate!!sex and age!!total population!!under 5 years,DP05_0005PEA
percent annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!black or african american alone,DP05_0078PEA
"annotation of margin of error!!citizen, voting age population!!citizen, 18 and over population!!female",DP05_0089MA
"percent margin of error!!citizen, voting age population!!citizen, 18 and over population!!female",DP05_0089PM
"percent!!citizen, voting age population!!citizen, 18 and over population!!female",DP05_0089PE
annotation of margin of error!!hispanic or latino and race!!total population!!not hispanic or latino,DP05_0076MA
percent margin of error!!sex and age!!total population!!65 years and over!!sex ratio (males per 100 females),DP05_0032PM
percent!!sex and age!!total population!!65 years and over!!sex ratio (males per 100 females),DP05_0032PE
annotation of margin of error!!race alone or in combination with one or more other races!!total population,DP05_0063MA
percent annotation of estimate!!sex and age!!total population!!85 years and over,DP05_0017PEA
percent annotation of estimate!!sex and age!!total population!!65 years and over,DP05_0029PEA
percent margin of error!!hispanic or latino and race!!total population!!not hispanic or latino,DP05_0076PM
percent!!hispanic or latino and race!!total population!!not hispanic or latino,DP05_0076PE
percent margin of error!!race alone or in combination with one or more other races!!total population,DP05_0063PM
percent!!race alone or in combination with one or more other races!!total population,DP05_0063PE
percent annotation of estimate!!sex and age!!total population!!65 years and over!!male,DP05_0030PEA
annotation of margin of error!!race!!total population!!one race!!asian!!vietnamese,DP05_0050MA
percent annotation of margin of error!!sex and age!!total population!!under 5 years,DP05_0005PMA
annotation of estimate!!sex and age!!total population!!18 years and over!!sex ratio (males per 100 females),DP05_0028EA
annotation of estimate!!hispanic or latino and race!!total population!!not hispanic or latino!!native hawaiian and other pacific islander alone,DP05_0081EA
annotation of margin of error!!sex and age!!total population!!under 18 years,DP05_0019MA
percent annotation of margin of error!!race!!total population!!one race!!some other race,DP05_0057PMA
"percent margin of error!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races!!two races excluding some other race, and three or more races",DP05_0085PM
"percent!!hispanic or latino and race!!total population!!not hispanic or latino!!two or more races!!two races excluding some other race, and three or more races",DP05_0085PE
