RCDTS,Type,School Name,District,City,County,District Type,School Type,Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Retention Rate,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,Chronic Absenteeism,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,Grades Served,Summative Designation,Summative Designation: Student Group(s),$ Site-level Per-Pupil Expenditures - Subtotal,$ Total Per-Pupil Expenditures - Subtotal,Grades Served,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
010690060260001,School,Waverly Junior/Senior High School,Waverly CUSD 6,Waverly,Morgan,Unit Distrcts,High School,Title 1 Schoolwide,128,93.8,0,0,0,0,0,0,15.6,15.6,0,51.6,0,176.0,90.0,17.0,0,6.5,5.0,67.9,32.1,64.3,87.8,49521.0,103057.0,33.3,81.5,0,0,0,7 - 12,Commendable,All Students,9290.1,16131.25,7 - 12,445.0,423.2,64.30,25.00,10.70,0.00,2023
010690270260001,School,Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,Unit Distrcts,High School,Title 1 Eligible but Not Serve,183,94.5,0,0,0,0,0,0,15.3,13.7,0,36.6,0,176.0,94.7,0,0,12.1,3.2,98.6,1.4,87.5,54.5,44995.0,100885.0,14.2,86.2,0,0,0,7 - 12,Commendable,All Students,7544.46,11703.96,7 - 12,489.0,462.3,36.70,43.30,20.00,0.00,2023
010691170220014,School,Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,Unit Distrcts,High School,Title 1 Eligible but Not Serve,846,76.1,9.8,3.9,0,0,0,9.1,25.5,21.2,3.1,53.8,2.0,176.0,89.3,24.6,3.1,10.9,4.9,69.1,23.7,88.3,81.3,58308.0,96761.0,34.7,73.8,13.3,0,0,9 - 12,Commendable,All Students,10256.96,16726.17,9 - 12,463.2,440.9,56.30,29.50,13.70,0.50,2023
010750030260002,School,Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,Unit Distrcts,High School,Title 1 Schoolwide,103,97.1,0,0,0,0,0,0,11.7,11.7,0,55.3,0,176.0,85.7,41.1,0,5.3,2.5,44.5,49.6,89.5,44.2,48017.0,91147.0,43.9,100.0,0,0,0,9 - 12,Commendable,All Students,7156.04,15058.73,9 - 12,475.4,460.4,42.30,38.50,19.20,0.00,2023
010750040260002,School,Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,Unit Distrcts,High School,Title 1 Schoolwide,103,96.1,0,0,0,0,0,0,13.6,12.6,0,42.7,0,176.0,91.2,15.3,0,8.9,2.5,79.1,20.9,86.2,72.7,47097.0,73159.0,37.5,87.5,0,0,0,9 - 12,Commendable,All Students,12467.11,18509.62,9 - 12,421.3,387.4,87.00,8.70,4.30,0.00,2023
010750100260009,School,Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,Unit Distrcts,High School,Title 1 Eligible but Not Serve,343,95.6,0,0,0,0,0,0,16.0,12.2,0,47.5,0,176.0,91.8,5.5,3.0,7.6,2.5,63.0,33.4,89.4,81.6,47848.0,93596.0,26.6,93.9,0,0,0,9 - 12,Commendable,All Students,6140.92,14548.41,9 - 12,473.6,443.3,49.40,41.60,9.00,0.00,2023
010750120260001,School,Western High School,Western CUSD 12,Barry,Pike,Unit Distrcts,High School,Title 1 Eligible but Not Serve,135,91.9,0,0,0,0,0,0,15.6,15.6,0,55.6,0,176.0,91.6,15.0,0,10.4,5.0,49.2,43.4,89.7,89.0,47052.0,94888.0,32.4,95.2,0,0,0,9 - 12,Commendable,All Students,8594.03,14598.99,9 - 12,444.6,448.1,46.20,50.00,3.80,0.00,2023
010860010260001,School,Winchester High School,Winchester CUSD 1,Winchester,Scott,Unit Distrcts,High School,Title 1 Eligible but Not Serve,160,97.5,0,0,0,0,0,0,22.5,20.6,0,46.3,0,176.0,91.9,6.7,0,6.8,4.8,49.3,40.3,82.5,72.1,47080.0,83945.0,26.3,97.0,0,0,0,9 - 12,Commendable,All Students,10876.07,15628.75,9 - 12,440.9,430.9,59.30,29.60,11.10,0.00,2023
010860020260001,School,Bluffs High School,Scott-Morgan CUSD 2,Bluffs,Scott,Unit Distrcts,High School,Title 1 Eligible but Not Serve,57,96.5,0,0,0,0,0,0,0,0,0,38.6,0,176.0,87.7,16.7,,10.2,5.0,81.1,18.9,86.7,33.3,42835.0,88476.0,53.3,0,0,0,0,9 - 12,Commendable,All Students,9078.5,17605.62,9 - 12,485.0,436.0,50.00,50.00,0.00,0.00,2023
030030010260001,School,Mulberry Grove Sr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,Unit Distrcts,High School,Title 1 Eligible but Not Serve,106,92.5,0,0,0,0,0,0,22.6,22.6,0,49.1,0,176.0,92.3,8.6,0,9.9,5.0,70.6,29.4,66.7,65.7,50141.0,88610.0,31.0,93.1,0,0,0,9 - 12,Commendable,All Students,5620.4,13134.27,9 - 12,462.1,439.2,54.20,37.50,8.30,0.00,2023
030030020260001,School,Bond Cty Comm Unit 2 High School,Bond County CUSD 2,Greenville,Bond,Unit Distrcts,High School,Title 1 Schoolwide,473,88.8,0,2.3,0,0,0,5.9,22.6,20.5,0,44.8,0,176.0,99.4,0,0,11.3,5.0,45.7,51.4,90.6,81.9,65628.0,101456.0,2.4,85.7,0,0,0,9 - 12,Commendable,All Students,10606.09,14103.56,9 - 12,500.3,489.7,37.30,30.50,27.10,5.10,2023
030110010260002,School,Morrisonville High School,Morrisonville CUSD 1,Morrisonville,Christian,Unit Distrcts,High School,Title 1 Eligible but Not Serve,85,95.3,0,0,0,0,0,0,27.1,27.1,0,35.3,0,176.0,91.5,14.0,0,12.3,5.0,70.0,30.0,92.9,42.8,52875.0,91564.0,27.9,95.7,0,0,0,9 - 12,Commendable,All Students,10831.69,17000.67,9 - 12,437.8,395.0,66.70,33.30,0.00,0.00,2023
030110030260006,School,Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,Unit Distrcts,High School,Title 1 Eligible but Not Serve,763,91.6,0,3.0,0,0,0,3.7,14.8,13.0,0,38.4,1.7,176.0,91.5,20.4,3.0,11.5,3.8,69.9,26.3,91.5,77.9,59991.0,91766.0,27.1,86.3,0,0,0,9 - 12,Commendable,All Students,11867.82,14614.23,9 - 12,483.6,440.1,54.60,34.10,10.70,0.50,2023
030110040260002,School,Edinburg High School,Edinburg CUSD 4,Edinburg,Christian,Unit Distrcts,High School,Title 1 Schoolwide,68,94.1,0,0,0,0,0,0,25.0,22.1,0,45.6,0,176.0,93.8,0,,7.0,3.3,86.7,13.3,89.5,60.0,51752.0,104093.0,14.7,93.3,0,0,0,9 - 12,Commendable,All Students,9129.45,18246.6,9 - 12,415.6,373.3,100.00,0.00,0.00,0.00,2023
030110080260006,School,Pana Sr High School,Pana CUSD 8,Pana,Christian,Unit Distrcts,High School,Title 1 Eligible but Not Serve,368,94.3,0,0,0,0,0,0,17.4,14.4,0,66.3,4.9,177.0,93.5,12.9,0,10.6,5.0,53.7,46.3,81.9,64.3,56836.0,101291.0,20.7,96.6,0,0,0,9 - 12,Commendable,All Students,12360.03,15181.02,9 - 12,477.5,433.6,52.30,40.90,6.80,0.00,2023
030110140240001,School,South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,Unit Distrcts,High School,Title 1 Schoolwide,133,88.0,0,0,0,0,0,0,24.8,22.6,0,45.1,0,176.0,90.2,24.1,0,11.5,5.0,60.1,39.9,65.5,66.7,52434.0,87149.0,39.3,81.3,0,0,0,6 - 12,Commendable,All Students,10648.56,16217.44,6 - 12,424.4,381.3,93.80,6.30,0.00,0.00,2023
030250100260001,School,Altamont High School,Altamont CUSD 10,Altamont,Effingham,Unit Distrcts,High School,Title 1 Eligible but Not Serve,208,92.3,0,0,0,0,0,0,14.4,12.0,0,44.7,0,176.0,94.3,5.0,0,8.5,4.4,69.2,30.8,90.7,83.3,52486.0,90087.0,14.5,92.6,0,0,0,9 - 12,Commendable,All Students,10662.2,13994.94,9 - 12,474.7,474.3,40.80,34.70,22.40,2.00,2023
030250200260001,School,Beecher City Jr-Sr High School,Beecher City CUSD 20,Beecher City,Effingham,Unit Distrcts,High School,Title 1 Targeted,163,92.0,0,0,0,0,0,0,17.2,11.7,0,42.9,0,176.0,94.1,8.1,0,7.1,5.0,62.3,37.7,82.1,93.7,55425.0,94500.0,17.8,95.2,0,0,0,6 - 12,Commendable,All Students,9332.13,13646.07,6 - 12,469.3,482.6,33.30,25.90,37.00,3.70,2023
030250300260001,School,Dieterich Jr/Sr High School,Dieterich CUSD 30,Dieterich,Effingham,Unit Distrcts,High School,Title 1 Eligible but Not Serve,259,96.1,0,0,0,0,0,0,12.0,12.0,0,24.7,4.2,176.0,95.2,0,0,13.7,5.0,85.6,14.4,93.8,81.9,54122.0,98113.0,10.6,96.7,0,0,0,7 - 12,Commendable,All Students,8602.97,10587.19,7 - 12,479.3,460.2,41.50,46.30,9.80,2.40,2023
030250400260001,School,Effingham High School,Effingham CUSD 40,Effingham,Effingham,Unit Distrcts,High School,Title 1 Ineligible Due to Rank,686,87.3,2.3,6.7,1.5,0,0,1.6,11.5,10.1,4.5,48.0,2.8,176.0,91.1,12.1,3.3,11.1,1.5,62.5,37.5,92.0,98.1,58999.0,113348.0,24.9,86.4,0,0,0,9 - 12,Commendable,All Students,9370.37,13120.66,9 - 12,496.9,473.4,38.30,37.10,22.30,2.30,2023
030250500260001,School,Teutopolis High School,Teutopolis CUSD 50,Teutopolis,Effingham,Unit Distrcts,High School,Title 1 Eligible but Not Serve,337,97.6,0,0,0,0,0,0,6.5,6.5,0,5.0,0,176.0,96.6,0,0,12.4,5.0,46.7,53.3,89.7,72.1,58958.0,97875.0,4.3,92.0,0,0,0,9 - 12,Exemplary,All Students,7983.61,10841.06,9 - 12,533.6,513.7,23.30,39.70,31.50,5.50,2023
030262010260003,School,Brownstown High School,Brownstown CUSD 201,Brownstown,Fayette,Unit Distrcts,High School,Title 1 Schoolwide,87,96.6,0,0,0,0,0,0,13.8,13.8,0,59.8,0,176.0,92.4,12.1,0,7.4,5.0,60.6,39.4,75.0,68.0,49128.0,85509.0,24.0,100.0,0,0,0,9 - 12,Commendable,All Students,2680.96,13933.11,9 - 12,446.4,412.4,60.00,28.00,12.00,0.00,2023
030262020260002,School,St Elmo Sr High School,St Elmo CUSD 202,Saint Elmo,Fayette,Unit Distrcts,High School,Title 1 Schoolwide,116,94.8,0,0,0,0,0,0,12.1,10.3,0,44.0,0,176.0,93.3,10.4,0,8.3,5.0,73.8,26.2,75.0,44.4,59160.0,119677.0,17.6,94.4,0,0,0,9 - 12,Commendable,All Students,6086.22,12954.29,9 - 12,425.9,390.3,82.40,14.70,2.90,0.00,2023
030262030260001,School,Vandalia Community High School,Vandalia CUSD 203,Vandalia,Fayette,Unit Distrcts,High School,Title 1 Targeted,370,92.7,0,2.7,0,0,0,4.3,13.5,13.5,0,57.3,4.3,176.0,90.6,18.2,3.5,8.8,5.0,42.2,37.6,86.1,60.3,65724.0,98327.0,33.6,93.6,0,0,0,9 - 12,Commendable,All Students,13199.26,17634.36,9 - 12,467.3,439.2,52.30,31.80,15.90,0.00,2023
030262040260002,School,Ramsey High School,Ramsey CUSD 204,Ramsey,Fayette,Unit Distrcts,High School,Title 1 Schoolwide,185,94.1,0,0,0,0,0,0,22.7,19.5,0,63.2,10.8,176.0,92.8,8.0,0,10.5,5.0,76.3,23.7,88.6,65.6,53347.0,99316.0,25.4,97.6,0,0,0,6 - 12,Commendable,All Students,8900.87,14349.08,6 - 12,481.3,468.7,40.00,33.30,26.70,0.00,2023
030680020260001,School,Lincolnwood High School,Panhandle CUSD 2,Raymond,Montgomery,Unit Distrcts,High School,Title 1 Eligible but Not Serve,137,94.9,0,0,0,0,0,0,27.7,23.4,0,40.1,0,176.0,93.1,10.9,0,9.5,5.0,66.8,33.2,78.3,100.0,57344.0,84193.0,20.4,93.3,0,0,0,9 - 12,Commendable,All Students,11519.4,17452.07,9 - 12,433.8,403.5,76.50,20.60,2.90,0.00,2023
030680030260001,School,Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,Unit Distrcts,High School,Title 1 Eligible but Not Serve,435,93.1,0,3.4,0,0,0,0,20.9,20.5,0,39.5,3.2,176.0,91.8,20.4,0,11.5,5.0,52.2,39.3,82.4,59.1,57516.0,102644.0,28.0,85.7,0,0,0,9 - 12,Commendable,All Students,7095.62,13657.98,9 - 12,482.7,452.8,49.10,36.40,12.70,1.80,2023
030680120260001,School,Litchfield Senior High School,Litchfield CUSD 12,Litchfield,Montgomery,Unit Distrcts,High School,Title 1 Schoolwide,383,89.6,0,4.2,0,0,0,3.1,16.4,16.4,0,50.7,7.0,176.0,93.4,9.7,0,13.2,4.5,69.6,30.4,87.5,59.0,67989.0,110403.0,21.7,91.2,0,0,0,9 - 12,Commendable,All Students,10728.0,15977.0,9 - 12,466.4,443.5,50.00,39.10,10.90,0.00,2023
030680220260001,School,Nokomis Jr/Sr High Sch,Nokomis CUSD 22,Nokomis,Montgomery,Unit Distrcts,High School,Title 1 Schoolwide,295,92.9,0,3.4,0,0,0,3.7,11.5,11.5,0,42.4,4.7,176.0,93.6,6.0,,7.8,3.0,67.2,28.8,84.2,90.0,54217.0,119929.0,20.1,95.2,0,0,0,6 - 12,Commendable,All Students,10181.94,16271.17,6 - 12,490.7,458.9,50.00,27.30,18.20,4.50,2023
040041000260001,School,Belvidere High School,Belvidere CUSD 100,Belvidere,Boone,Unit Distrcts,High School,Title 1 Targeted,1122,39.0,2.9,54.3,0.9,0,0,2.5,19.3,14.1,21.7,58.8,0,176.0,90.5,22.3,3.0,11.1,5.0,39.0,56.6,85.0,67.4,75005.0,108743.0,32.0,40.0,0,51.4,0,9 - 12,Commendable,All Students,840.6,15950.65,9 - 12,439.6,412.4,73.00,20.40,5.60,1.10,2023
040041000260002,School,Belvidere North High Sch,Belvidere CUSD 100,Belvidere,Boone,Unit Distrcts,High School,Title 1 Ineligible Due to Rank,1341,56.3,2.9,36.2,1.2,0,0,2.9,19.8,13.5,15.6,44.8,1.9,176.0,91.9,13.5,2.7,9.4,5.0,45.1,50.7,84.6,75.4,75005.0,108743.0,27.3,50.7,7.7,37.3,0,9 - 12,Commendable,All Students,905.32,14010.29,9 - 12,464.0,429.8,67.00,20.80,11.10,1.20,2023
040042000260003,School,North Boone High School,North Boone CUSD 200,Poplar Grove,Boone,Unit Distrcts,High School,Title 1 Targeted,476,58.8,0,33.0,0,0,0,6.5,13.9,13.9,9.9,50.8,0,176.0,90.9,10.8,2.6,14.1,5.0,49.4,50.6,92.4,65.5,67671.0,97213.0,30.1,46.9,0,40.6,0,9 - 12,Commendable,All Students,11841.49,15225.23,9 - 12,463.8,451.9,50.00,28.90,21.10,0.00,2023
041011220220002,School,Harlem High School,Harlem UD 122,Machesney Park,Winnebago,Unit Distrcts,High School,Title 1 Eligible but Not Serve,1909,67.5,7.9,14.7,1.6,0,0,7.8,25.6,19.4,5.5,55.4,2.5,176.0,86.2,53.5,3.1,10.4,5.0,34.6,62.0,91.9,65.6,71770.0,112001.0,45.1,71.0,7.6,12.2,0,9 - 12,Commendable,All Students,12524.3,16354.89,9 - 12,463.7,434.1,60.40,26.30,11.90,1.40,2023
041012050250001,School,Auburn High School,Rockford SD 205,Rockford,Winnebago,Unit Distrcts,High School,Title 1 Schoolwide,1738,28.4,40.3,19.7,3.9,0,0,7.5,19.2,15.1,5.9,67.1,4.3,176.0,83.5,54.7,9.6,12.0,5.0,48.3,48.8,83.3,70.1,68550.0,105766.0,56.6,20.0,52.8,19.4,1.8,9 - 12,Commendable,All Students,10629.58,15999.34,9 - 12,456.7,432.9,64.70,15.50,15.10,4.60,2023
041012050250002,School,Rockford East High School,Rockford SD 205,Rockford,Winnebago,Unit Distrcts,High School,Title 1 Schoolwide,1526,27.3,29.7,29.3,6.0,0,0,7.2,14.5,12.8,22.6,74.2,3.5,176.0,84.6,57.4,8.7,9.5,5.0,37.0,61.0,88.3,77.6,68550.0,105766.0,55.2,29.9,32.6,28.4,0,9 - 12,Targeted,Children with Disabilities,11498.38,16570.42,9 - 12,416.7,395.0,79.70,17.20,2.80,0.30,2023
041012050250003,School,Guilford High School,Rockford SD 205,Rockford,Winnebago,Unit Distrcts,High School,Title 1 Schoolwide,1967,38.4,25.6,24.8,3.8,0,0,7.1,17.0,12.9,11.2,58.2,3.2,176.0,85.7,46.9,7.3,11.4,5.0,44.2,54.9,90.1,72.7,68550.0,105766.0,49.2,32.7,35.2,22.6,0,9 - 12,Commendable,All Students,9756.53,14510.4,9 - 12,448.0,416.3,68.00,24.10,6.60,1.30,2023
041012050250004,School,Jefferson High School,Rockford SD 205,Rockford,Winnebago,Unit Distrcts,High School,Title 1 Schoolwide,2000,18.0,18.7,56.1,2.5,0.1,0,4.3,17.4,15.2,40.7,74.6,3.3,176.0,85.4,53.2,6.9,11.9,5.0,51.8,42.8,84.1,75.4,68550.0,105766.0,55.0,22.9,31.6,35.4,0,9 - 12,Targeted,Multiracial,9166.36,14365.32,9 - 12,391.0,384.5,87.20,10.50,2.30,0.00,2023
041012070160001,School,Hononegah CHD High School,Hononegah CHD 207,Rockton,Winnebago,High School Distrcts,High School,Title 1 Targeted,1822,80.0,1.9,11.1,1.6,0,0,5.4,19.4,12.8,1.8,25.0,0,176.0,92.0,10.6,0.9,15.9,5.0,26.0,74.0,92.6,71.9,84487.0,104687.0,22.4,75.8,5.6,14.3,0,9 - 12,Exemplary,All Students,16016.33,16016.33,9 - 12,533.6,529.6,21.40,27.70,44.80,6.10,2023
041013200260001,School,South Beloit Sr High School,County of Winnebago SD 320,South Beloit,Winnebago,Unit Distrcts,High School,Title 1 Eligible but Not Serve,250,56.0,5.2,32.0,0,0,0,6.0,15.2,11.6,12.4,58.4,0,176.0,91.9,16.5,3.7,11.0,5.0,63.2,36.8,78.8,63.2,54209.0,98836.0,30.7,45.2,0,32.3,0,9 - 12,Commendable,All Students,13545.87,16327.34,9 - 12,472.3,473.6,39.30,37.70,21.30,1.60,2023
041013210260001,School,Pecatonica High School,Pecatonica CUSD 321,Pecatonica,Winnebago,Unit Distrcts,High School,Title 1 Eligible but Not Serve,303,89.1,0,5.6,0,0,0,0,22.1,16.2,0,28.4,0,176.0,94.9,4.0,0,10.2,5.0,36.4,63.6,93.1,90.9,55101.0,113368.0,10.5,87.0,0,0,0,9 - 12,Commendable,All Students,8567.54,14825.81,9 - 12,505.6,492.6,34.20,28.80,35.60,1.40,2023
041013220260001,School,Durand High School,Durand CUSD 322,Durand,Winnebago,Unit Distrcts,High School,Title 1 Eligible but Not Serve,164,86.6,0,7.3,0,0,0,0,17.1,11.6,0,31.1,0,176.0,92.9,7.1,0,8.8,5.0,42.2,57.8,84.2,67.9,60135.0,104876.0,20.3,87.0,0,0,0,9 - 12,Commendable,All Students,14692.35,22068.68,9 - 12,430.5,427.1,56.10,36.60,7.30,0.00,2023
041013230260001,School,Winnebago High School,Winnebago CUSD 323,Winnebago,Winnebago,Unit Distrcts,High School,Title 1 Schoolwide,397,82.1,3.3,8.8,0,0,0,4.8,14.4,14.4,2.8,27.5,0,176.0,93.6,9.4,3.1,10.0,5.0,24.0,76.0,94.3,74.5,73455.0,98216.0,16.9,66.7,0,17.5,0,9 - 12,Commendable,All Students,10664.33,18211.91,9 - 12,487.2,483.5,31.70,43.30,22.10,2.90,2023
050162020170001,School,Evanston Twp High School,Evanston Twp HSD 202,Evanston,Cook,High School Distrcts,High School,Title 1 Schoolwide,3483,44.4,23.9,20.2,4.5,0,0.3,6.5,29.7,10.5,10.0,37.0,2.3,178.0,92.6,8.8,2.2,8.0,2.9,26.4,73.3,94.8,86.4,116410.0,165956.0,20.9,28.8,35.1,29.9,2.6,9 - 12,Commendable,All Students,27900.0,27900.0,9 - 12,545.6,518.5,33.50,22.10,31.00,13.50,2023
050162030170001,School,New Trier Township H S Winnetka,New Trier Twp HSD 203,Winnetka,Cook,High School Distrcts,High School,Title 1 Targeted,2759,75.3,0.8,8.3,10.0,0,0,5.4,33.6,16.8,1.6,3.6,0,178.0,93.5,2.7,0,16.6,5.0,8.9,91.1,93.1,80.4,134093.0,191579.0,16.9,77.2,0,11.4,5.2,10 - 12,Exemplary,All Students,21299.82,34554.58,10 - 12,606.1,592.5,9.00,20.50,44.20,26.20,2023
050162070170001,School,Maine East High School,Maine Township HSD 207,Park Ridge,Cook,High School Distrcts,High School,Title 1 Schoolwide,1840,37.1,5.1,25.3,29.7,0,0,2.2,19.5,13.5,29.0,35.5,1.1,180.0,89.1,23.6,0.9,12.5,2.5,23.6,76.4,94.0,70.1,128676.0,171282.0,35.1,28.8,7.9,40.0,20.0,9 - 12,Commendable,All Students,19558.53,24749.32,9 - 12,492.2,476.5,40.00,36.20,18.70,5.10,2023
050162070170003,School,Maine South High School,Maine Township HSD 207,Park Ridge,Cook,High School Distrcts,High School,Title 1 Ineligible Due to Rank,2451,79.8,0.8,11.5,4.7,0,0,2.9,22.5,9.4,4.8,5.1,0,180.0,92.3,13.2,0.9,13.0,2.5,23.4,76.6,92.5,72.0,128676.0,171282.0,23.6,69.0,0,20.1,4.0,9 - 12,Commendable,All Students,16717.34,21908.13,9 - 12,554.2,529.7,20.30,34.20,35.50,10.10,2023
