,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
18,Armorel High School,7-12,Armorel School District,18%,46%,36%,29%,18%,197,50%,86%,5%,7%,3%,14%,2,31,28,90%,17.9,17.6,19.1,20,0,MISSISSIPPI,4701002,4701000,2023
19,Ashdown High School,9-12,Ashdown School District,6%,39%,13%,7%,3%,396,68%,63%,6%,25%,6%,37%,4,97,91,94%,15.7,15.9,16.3,17.5,0,LITTLE RIVER,4101004,4101000,2023
20,Atkins High School,9-12,Atkins School District,21%,61%,40%,30%,9%,335,66%,93%,2%,1%,3%,7%,1,78,43,55%,18.5,18.6,19.3,19.7,0,POPE,5801002,5801000,2023
21,Augusta High School,7-12,Augusta School District,RV,14%,11%,7%,RV,151,85%,37%,1%,56%,6%,63%,2,29,28,97%,14.9,13,15.5,15.4,0,WOODRUFF,7401003,7401000,2023
22,Bald Knob High School,9-12,Bald Knob School District,13%,43%,28%,15%,5%,336,55%,89%,5%,1%,5%,11%,2,83,40,48%,17.2,16.8,18.4,17.8,0,WHITE,7301003,7301000,2023
23,Barton High School,7-12,Barton-Lexa School District,6%,18%,9%,9%,3%,308,85%,54%,4%,40%,3%,46%,5,39,34,87%,15.9,14.1,14.5,17.3,0,PHILLIPS,5401003,5401000,2023
24,Batesville High School Charter,9-12,Batesville School District,21%,45%,35%,29%,14%,997,46%,60%,29%,5%,6%,40%,2,235,161,69%,18.2,17.8,19.5,19.4,0,INDEPENDENCE,3201703,3201000,2023
25,Bauxite High School,9-12,Bauxite School District,10%,30%,21%,17%,7%,549,30%,89%,6%,3%,2%,11%,3,144,138,96%,16.5,15.3,17.2,17.5,0,SALINE,6301002,6301000,2023
26,Bay High School,7-12,Bay School District,10%,52%,31%,14%,3%,229,49%,94%,2%,3%,0%,6%,2,33,29,88%,16.6,17.8,18.2,18.8,0,CRAIGHEAD,1601002,1601000,2023
27,Bearden High School,7-12,Bearden School District,6%,31%,17%,17%,6%,231,71%,57%,4%,30%,9%,43%,4,40,36,90%,16.2,16.4,18,17.4,0,OUACHITA,5201002,5201000,2023
28,Beebe High School,9-12,Beebe School District,22%,51%,26%,24%,10%,1055,46%,82%,9%,4%,5%,18%,2,278,228,82%,18.3,18.1,18.7,19,0,WHITE,7302010,7302000,2023
29,Belle Point Alternative Center,6-12,Fort Smith School District,N<10,N<10,N<10,N<10,N<10,73,75%,37%,22%,23%,18%,63%,1,12,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,SEBASTIAN,6601005,6601000,2023
30,Benton High School,10-12,Benton School District,36%,63%,45%,38%,25%,1298,33%,72%,12%,9%,7%,28%,3,472,405,86%,20,20.2,20.7,20.9,0,SALINE,6302012,6302000,2023
31,Bentonville High School,9-12,Bentonville School District,45%,77%,58%,47%,34%,3424,13%,74%,11%,2%,13%,26%,1,836,789,94%,21.2,22.4,22.6,21.8,0,BENTON,401003,401000,2023
32,Bentonville West High School,9-12,Bentonville School District,33%,60%,40%,31%,21%,2522,20%,65%,17%,5%,13%,35%,1,639,591,92%,19.5,19.3,20,20.1,0,BENTON,401019,401000,2023
33,Bergman High School,9-12,Bergman School District,19%,51%,30%,22%,13%,276,52%,92%,5%,0%,2%,8%,1,71,67,94%,17.7,19,19.2,19,0,BOONE,502007,502000,2023
34,Berryville High School,9-12,Berryville School District,9%,41%,33%,18%,6%,553,69%,59%,31%,1%,9%,41%,1,130,117,90%,16.6,16.7,18,17.9,0,CARROLL,801002,801000,2023
35,Bigelow High School,7-12,East End School District,5%,38%,22%,8%,5%,308,60%,82%,11%,3%,4%,18%,1,53,37,70%,16.4,16.5,17.8,18.1,0,PERRY,5301002,5301000,2023
36,Bismarck High School,9-12,Bismarck School District,33%,71%,43%,35%,24%,318,66%,90%,7%,1%,3%,10%,3,75,63,84%,19.6,21,20.8,20.9,0,HOT SPRING,3001003,3001000,2023
37,Blevins High School,7-12,Blevins School District,RV,37%,19%,22%,RV,196,88%,67%,10%,17%,5%,33%,4,29,27,93%,16,16.9,18,18.3,0,HEMPSTEAD,2901002,2901000,2023
38,Blytheville High School,9-12,Blytheville School District,2%,8%,5%,3%,RV,411,74%,10%,5%,84%,1%,90%,2,104,66,63%,13.6,12.3,13.9,15.2,0,MISSISSIPPI,4702014,4702000,2023
39,Booneville High School,10-12,Booneville School District,16%,50%,29%,19%,7%,266,67%,86%,7%,0%,7%,14%,1,72,58,81%,17.1,17.7,18.7,18.9,0,LOGAN,4201002,4201000,2023
40,Bradford High School,7-12,Bradford School District,9%,30%,17%,9%,9%,200,81%,96%,1%,3%,1%,4%,2,35,23,66%,16.3,15.1,16.2,16.9,0,WHITE,7303015,7303000,2023
41,Bradley High School,7-12,Emerson-Taylor-Bradley School District,5%,29%,5%,10%,RV,144,71%,67%,1%,31%,1%,33%,4,23,21,91%,15.5,14.5,17.1,16.3,0,COLUMBIA,1408007,1408000,2023
42,Brinkley High School,7-12,Brinkley School District,RV,25%,21%,8%,RV,167,75%,26%,1%,69%,4%,74%,5,26,24,92%,14.6,14.8,15.6,15.3,0,MONROE,4801003,4801000,2023
43,Brookland High School,10-12,Brookland School District,10%,50%,35%,20%,8%,630,28%,89%,5%,4%,2%,11%,2,193,160,83%,16.8,18,19.6,18.6,0,CRAIGHEAD,1603007,1603000,2023
44,Bryant High School,10-12,Bryant School District,25%,53%,37%,25%,18%,2290,39%,54%,18%,23%,5%,46%,3,800,694,87%,18.3,18.6,19.2,19.2,0,SALINE,6303022,6303000,2023
45,Buffalo Island Central High School,7-12,Buffalo Is. Central School District,9%,46%,26%,11%,3%,325,55%,78%,19%,1%,2%,22%,2,44,35,80%,17.2,17.3,18.3,16.9,0,CRAIGHEAD,1605065,1605000,2023
46,Cabot High School,10-12,Cabot School District,31%,65%,42%,37%,20%,2187,38%,82%,8%,3%,7%,18%,3,754,688,91%,19.4,20,20.3,20.6,0,LONOKE,4304005,4304000,2023
47,Caddo Academy,7-12,Caddo Hills School District,2%,36%,26%,7%,2%,254,82%,78%,17%,0%,5%,22%,4,51,42,82%,16.3,16,17.5,17.5,0,MONTGOMERY,4901703,4901000,2023
48,Calico Rock High School,7-12,Calico Rock School District,9%,32%,27%,14%,9%,185,61%,97%,2%,0%,1%,3%,2,27,22,81%,15.7,16,18.1,17.5,0,IZARD,3301002,3301000,2023
49,Camden Fairview High School,9-12,Camden Fairview School District,RV,12%,6%,2%,RV,693,70%,28%,2%,63%,6%,72%,4,194,165,85%,14,12.4,14.2,15,0,OUACHITA,5204023,5204000,2023
50,Carlisle High School,7-12,Carlisle School District,3%,23%,21%,23%,3%,281,58%,81%,7%,8%,4%,19%,3,43,39,91%,16.2,14.9,17.6,17.6,0,LONOKE,4303013,4303000,2023
51,Cave City High Career & Collegiate Preparatory School,9-12,Cave City School District,13%,38%,22%,18%,8%,359,75%,92%,4%,2%,2%,8%,2,97,79,81%,17.1,17.1,17.9,18.5,0,SHARP,6802703,6802000,2023
52,Cedar Ridge High School,6-12,Cedar Ridge School District,8%,34%,18%,16%,5%,359,68%,91%,5%,2%,2%,9%,2,59,38,64%,16.8,16.3,16.9,17.6,0,INDEPENDENCE,3212027,3212000,2023
53,Cedarville High School,9-12,Cedarville School District,13%,31%,24%,18%,8%,243,69%,86%,4%,0%,10%,14%,1,68,62,91%,17.1,15.1,17.7,18,0,CRAWFORD,1702009,1702000,2023
54,Centerpoint Academy Of Agriculture & Skilled Trade,11-12,Centerpoint School District,N<10,N<10,N<10,N<10,N<10,18,67%,100%,0%,0%,0%,0%,4,9,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,PIKE,5502703,5502000,2023
55,Centerpoint High School,6-12,Centerpoint School District,9%,56%,29%,25%,3%,523,69%,75%,23%,1%,1%,25%,4,72,68,94%,16.8,18.2,19.1,19.5,0,PIKE,5502013,5502000,2023
56,Central High School,7-12,Helena/ West Helena School District,RV,12%,6%,RV,RV,436,96%,2%,0%,96%,2%,98%,5,71,65,92%,13.9,12.8,14.4,14.3,0,PHILLIPS,5403019,5403000,2023
57,Central High School,9-12,Little Rock School District,28%,52%,41%,30%,22%,2260,54%,29%,9%,49%,13%,71%,3,566,453,80%,18.7,18.7,20.6,19.5,0,PULASKI,6001001,6001000,2023
58,Charleston High School,7-12,Charleston School District,24%,68%,35%,22%,14%,418,47%,89%,5%,0%,5%,11%,1,59,37,63%,18.6,18.8,19.7,20,0,FRANKLIN,2402007,2402000,2023
59,Clarendon High School,7-12,Clarendon School District,3%,24%,12%,3%,RV,194,91%,30%,8%,51%,11%,70%,5,36,34,94%,15,13.4,15.4,15.6,0,MONROE,4802010,4802000,2023
60,Clarksville High School,10-12,Clarksville School District,12%,52%,27%,17%,10%,576,67%,51%,36%,1%,11%,49%,1,192,147,77%,16.7,18.1,18.8,18.1,0,JOHNSON,3601005,3601000,2023
61,Clinton High School,9-12,Clinton School District,24%,48%,36%,30%,17%,418,62%,92%,5%,1%,2%,8%,1,102,83,81%,18.1,17.1,19.8,19.4,0,VAN BUREN,7102006,7102000,2023
62,Concord High School,7-12,Concord School District,13%,50%,28%,6%,RV,184,51%,96%,4%,1%,0%,4%,2,32,32,100%,16.4,17.1,18.2,17.8,0,CLEBURNE,1201002,1201000,2023
63,Conway High School,10-12,Conway School District,26%,51%,37%,33%,17%,2248,46%,53%,13%,28%,6%,47%,3,766,598,78%,18.8,18.5,19.8,19.7,0,FAULKNER,2301006,2301000,2023
64,Corning High School,9-12,Corning School District,9%,39%,30%,24%,9%,225,65%,92%,3%,1%,3%,8%,2,53,33,62%,16.5,16.9,18.2,17.8,0,CLAY,1101004,1101000,2023
65,Cossatot River High School,7-12,Cossatot River School District,14%,53%,28%,19%,5%,385,72%,62%,30%,0%,8%,38%,4,61,58,95%,17.5,17.8,18.6,18.9,0,POLK,5707023,5707000,2023
66,Cotter High School,7-12,Cotter School District,17%,50%,40%,27%,14%,324,65%,94%,3%,1%,2%,6%,1,54,52,96%,17.6,18.2,19.2,19.5,0,BAXTER,302007,302000,2023
67,County Line High School,7-12,County Line School District,13%,44%,26%,35%,9%,242,68%,87%,2%,2%,10%,13%,1,31,23,74%,18,16.7,18,19.8,0,FRANKLIN,2403012,2403000,2023
68,Cross Cnty High A New Tech School,7-12,Cross County School District,5%,41%,21%,10%,2%,312,72%,84%,3%,12%,1%,16%,2,52,42,81%,16,16,17.8,17.7,0,CROSS,1901703,1901000,2023
69,Crossett High School,9-12,Crossett School District,3%,16%,15%,6%,2%,483,49%,58%,4%,35%,2%,42%,5,114,95,83%,15.2,13.9,16.2,15.8,0,ASHLEY,201006,201000,2023
70,Cutter-Morning Star High School,7-12,Cutter-Morning Star School District,4%,48%,30%,8%,2%,316,69%,72%,13%,4%,12%,28%,3,59,50,85%,16.1,16.5,18.4,17.3,0,GARLAND,2601002,2601000,2023
71,Danville High School,9-12,Danville School District,7%,41%,21%,14%,7%,234,73%,44%,52%,1%,3%,56%,1,63,58,92%,16.2,16.8,16.8,18.1,0,YELL,7503006,7503000,2023
72,Dardanelle High School,9-12,Dardanelle School District,37%,74%,52%,41%,19%,666,67%,53%,40%,3%,4%,47%,1,179,81,45%,20.6,20.9,21.4,22,0,YELL,7504011,7504000,2023
73,Decatur High School,9-12,Decatur School District,7%,24%,21%,10%,RV,175,71%,41%,44%,2%,14%,59%,1,40,29,73%,15.6,14.6,15.8,16.1,0,BENTON,402009,402000,2023
74,Deer K-12 School,K-12,Deer/Mt. Judea School District,N<10,N<10,N<10,N<10,N<10,166,68%,86%,4%,1%,9%,14%,1,13,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,NEWTON,5106003,5106000,2023
75,DeQueen High School,10-12,DeQueen School District,9%,35%,17%,11%,6%,522,71%,29%,63%,2%,6%,71%,4,182,175,96%,16.5,16.3,16.9,17.3,0,SEVIER,6701003,6701000,2023
76,Dermott High School,7-12,Dermott School District,RV,23%,8%,RV,RV,144,94%,1%,3%,96%,0%,99%,5,15,13,87%,13.3,12.5,13.9,15.4,0,CHICOT,901003,901000,2023
77,Des Arc High School,7-12,Des Arc School District,20%,49%,27%,15%,7%,264,70%,86%,5%,8%,1%,14%,5,44,41,93%,18.4,17.4,18.2,17.3,0,PRAIRIE,5901002,5901000,2023
78,DeWitt High School,9-12,DeWitt School District,22%,44%,33%,28%,13%,350,57%,74%,5%,15%,5%,26%,5,101,82,81%,18.1,16.9,19,19.9,0,ARKANSAS,101004,101000,2023
79,Dierks High School,7-12,Dierks School District,11%,22%,28%,11%,6%,239,75%,88%,10%,0%,1%,12%,4,35,36,103%,16.7,15.1,17.7,18,0,HOWARD,3102002,3102000,2023
80,Don Tyson School Of Innovation,K-12,Springdale School District,26%,62%,42%,35%,19%,2022,61%,42%,48%,2%,9%,58%,1,285,255,89%,18.7,19.8,20.5,20.3,0,WASHINGTON,7207703,7207000,2023
81,Dover High School,9-12,Dover School District,18%,51%,33%,26%,13%,400,48%,92%,3%,2%,4%,8%,1,121,108,89%,17.3,18.3,18.3,19.2,0,POPE,5802006,5802000,2023
82,Drew Central High School,9-12,Drew Central School District,6%,25%,19%,14%,3%,326,65%,68%,6%,22%,4%,32%,5,69,65,94%,16.4,15.2,17,17.3,0,DREW,2202005,2202000,2023
83,Driven Virtual Academy,K-12,Pulaski County Special School District,13%,33%,20%,13%,13%,218,40%,41%,8%,42%,9%,59%,3,23,15,65%,16.1,16,17.5,17.9,0,PULASKI,6003703,6003000,2023
84,Dumas High School,9-12,Dumas School District,8%,18%,3%,3%,RV,310,74%,13%,16%,67%,4%,87%,5,69,62,90%,15.1,13.3,14.9,15.6,0,DESHA,2104021,2104000,2023
85,Earle High School,7-12,Earle School District,4%,8%,4%,4%,RV,186,94%,1%,1%,94%,4%,99%,2,28,24,86%,13.5,11.7,13.4,16.3,0,CRITTENDEN,1802007,1802000,2023
86,East Poinsett Co. High School,7-12,East Poinsett Co. School District,9%,34%,26%,11%,6%,274,77%,71%,8%,15%,6%,29%,2,35,35,100%,16.3,16.6,18,17,0,POINSETT,5608037,5608000,2023
87,El Dorado High School,9-12,El Dorado School District,17%,41%,27%,23%,11%,1220,58%,36%,12%,46%,6%,64%,4,328,280,85%,17.1,17.1,18.2,18.8,0,UNION,7001012,7001000,2023
88,Elkins High School,9-12,Elkins School District,16%,45%,32%,24%,10%,435,39%,82%,7%,2%,9%,18%,1,107,71,66%,17.4,17,19.1,19.2,0,WASHINGTON,7201002,7201000,2023
89,Emerson High School,7-12,Emerson-Taylor-Bradley School District,4%,42%,23%,4%,4%,149,50%,66%,5%,25%,4%,34%,4,28,26,93%,16.2,16.5,18.2,18,0,COLUMBIA,1408002,1408000,2023
90,England High School,7-12,England School District,16%,28%,22%,13%,6%,279,75%,49%,8%,36%,7%,51%,3,40,32,80%,16.5,15.3,15.5,17.2,0,LONOKE,4302018,4302000,2023
91,ESTEM High School,10-12,ESTEM Public Charter School,19%,47%,29%,25%,16%,561,57%,19%,11%,63%,7%,81%,3,191,178,93%,17.9,18.1,18.8,19.5,1,PULASKI,6047703,6047700,2023
92,Eureka Springs High School,9-12,Eureka Springs School District,38%,64%,48%,30%,24%,220,60%,86%,10%,2%,2%,14%,1,56,50,89%,19.8,20,21.6,21,0,CARROLL,802007,802000,2023
93,Farmington High School,10-12,Farmington School District,13%,47%,37%,24%,11%,679,28%,77%,11%,3%,9%,23%,1,226,196,87%,17.4,17.8,20.1,19.1,0,WASHINGTON,7202012,7202000,2023
94,Fayetteville High School,9-12,Fayetteville School District,35%,62%,51%,39%,28%,2599,30%,62%,14%,11%,13%,38%,1,617,533,86%,19.7,20.5,22.3,20.9,0,WASHINGTON,7203020,7203000,2023
95,Fayetteville Virtual Academy A District Conversion Charter School,K-12,Fayetteville School District,33%,60%,53%,47%,33%,129,9%,88%,2%,5%,5%,12%,1,20,15,75%,18.6,21.1,24.7,21.5,0,WASHINGTON,7203703,7203000,2023
96,Flippin High School,9-12,Flippin School District,17%,41%,29%,22%,10%,242,69%,91%,3%,1%,6%,10%,1,74,69,93%,17,16.9,17.9,18.4,0,MARION,4501002,4501000,2023
97,Fordyce High School,7-12,Fordyce School District,2%,20%,6%,6%,RV,354,45%,37%,5%,57%,1%,63%,4,57,51,89%,15.3,14,15.6,15.7,0,DALLAS,2002007,2002000,2023
98,Foreman High School,7-12,Foreman School District,9%,23%,18%,9%,9%,221,68%,75%,10%,10%,5%,25%,4,28,22,79%,16.2,14.5,15.9,15.9,0,LITTLE RIVER,4102010,4102000,2023
99,Forrest City High School,9-12,Forrest City School District,2%,11%,5%,3%,2%,568,73%,4%,2%,94%,1%,96%,2,163,134,82%,14.6,12.3,13.7,14.9,0,ST FRANCIS,6201011,6201000,2023
100,Fort Smith Virtual Academy,K-12,Fort Smith School District,N<10,N<10,N<10,N<10,N<10,133,71%,45%,22%,8%,25%,55%,1,15,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,SEBASTIAN,6601703,6601000,2023
101,Fouke High School,9-12,Fouke School District,5%,39%,16%,8%,4%,335,61%,96%,2%,0%,1%,4%,4,100,101,101%,16.5,16.5,17.6,17.3,0,MILLER,4603010,4603000,2023
102,Fountain Lake Charter High School,9-12,Fountain Lake School District,23%,53%,26%,29%,11%,359,41%,84%,9%,1%,6%,16%,3,83,73,88%,18.7,18.1,18.6,19.9,0,GARLAND,2602703,2602000,2023
103,Future School Of Fort Smith,9-12,Future School Of Fort Smith,2%,28%,17%,5%,RV,219,73%,54%,20%,13%,13%,46%,1,67,60,90%,14.5,15.2,15.7,15.6,1,SEBASTIAN,6640703,6640700,2023
104,Genoa Central High School,10-12,Genoa Central School District,27%,39%,25%,21%,12%,263,27%,96%,2%,0%,2%,4%,4,108,97,90%,19.1,16.8,18.6,18.8,0,MILLER,4602006,4602000,2023
105,Gentry High School,9-12,Gentry School District,16%,49%,31%,31%,11%,538,52%,61%,21%,0%,18%,39%,1,119,74,62%,17.5,17.8,19.2,19.7,0,BENTON,403017,403000,2023
106,Glen Rose High School,9-12,Glen Rose School District,22%,46%,35%,19%,11%,301,41%,88%,6%,0%,6%,12%,3,70,54,77%,18.4,18.2,19.6,19.8,0,HOT SPRING,3002009,3002000,2023
107,Gosnell High School,7-12,Gosnell School District,16%,44%,28%,21%,15%,606,73%,59%,9%,27%,5%,41%,2,91,61,67%,17.1,18.7,18.6,19.2,0,MISSISSIPPI,4708031,4708000,2023
108,Gravette High School,9-12,Gravette School District,30%,65%,46%,38%,25%,625,34%,82%,7%,1%,10%,18%,1,146,132,90%,19.3,19.6,20.8,20.7,0,BENTON,404022,404000,2023
109,Green Forest High School,9-12,Green Forest School District,6%,20%,12%,10%,4%,434,74%,38%,48%,0%,14%,62%,1,119,82,69%,15.6,14.7,16.7,16,0,CARROLL,803012,803000,2023
110,Greenbrier High School,10-12,Greenbrier School District,32%,66%,45%,39%,25%,814,33%,90%,4%,2%,3%,10%,3,298,283,95%,19.4,20,20.7,21,0,FAULKNER,2303017,2303000,2023
111,Greene Cty Tech High School,10-12,Greene County Tech School District,14%,38%,30%,21%,10%,807,40%,91%,4%,2%,3%,9%,2,250,214,86%,17.2,16.5,18.7,18.4,0,GREENE,2807008,2807000,2023
112,Greenland High School,9-12,Greenland School District,12%,47%,21%,21%,9%,249,68%,86%,8%,0%,6%,14%,1,74,43,58%,16.7,17.1,17.9,18.9,0,WASHINGTON,7204028,7204000,2023
113,Greenwood High School,9-12,Greenwood School District,41%,70%,53%,44%,30%,1181,24%,81%,6%,1%,12%,19%,1,302,271,90%,20.8,21.2,21.7,21.7,0,SEBASTIAN,6602043,6602000,2023
114,Gurdon High School,7-12,Gurdon School District,5%,24%,19%,10%,5%,251,76%,49%,22%,26%,3%,51%,4,48,21,44%,15.5,15.4,16.9,16.4,0,CLARK,1003018,1003000,2023
115,Guy-Perkins High School,7-12,Guy-Perkins School District,19%,39%,23%,35%,8%,150,65%,85%,2%,10%,3%,15%,3,32,26,81%,16.9,15.5,18.2,18.9,0,FAULKNER,2304022,2304000,2023
116,Haas Hall Academy,7-12,Haas Hall Academy,76%,93%,76%,76%,59%,499,9%,63%,9%,3%,24%,37%,1,72,54,75%,24.8,27.4,25.8,25.3,1,WASHINGTON,7240703,7240700,2023
117,Haas Hall Academy At The Lane,7-12,Haas Hall Academy,49%,80%,67%,51%,39%,256,13%,63%,20%,2%,16%,38%,1,47,39,83%,21.6,24,24.1,22.8,1,WASHINGTON,7240709,7240700,2023
118,Haas Hall Academy Fort Smith,7-12,Haas Hall Academy,N<10,N<10,N<10,N<10,N<10,67,12%,55%,9%,4%,31%,45%,1,7,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,1,SEBASTIAN,7240715,7240700,2023
119,Haas Hall Academy Jones Center,7-12,Haas Hall Academy,58%,77%,58%,50%,31%,157,25%,46%,41%,1%,12%,54%,1,28,26,93%,22.3,22.6,23.1,22.3,1,WASHINGTON,7240706,7240700,2023
120,Haas Hall Bentonville,7-12,Haas Hall Academy,64%,89%,76%,69%,58%,443,2%,47%,8%,5%,40%,53%,1,58,45,78%,25.2,27.1,27.4,25.4,1,WASHINGTON,7240712,7240700,2023
121,Hackett High School,7-12,Hackett School District,8%,68%,41%,22%,8%,327,64%,87%,5%,0%,8%,13%,1,66,37,56%,17.3,19.8,19.9,18.9,0,SEBASTIAN,6603048,6603000,2023
122,Hamburg High School,9-12,Hamburg School District,13%,35%,25%,13%,8%,511,60%,56%,23%,20%,2%,44%,5,139,134,96%,16.6,15.4,17.1,17.4,0,ASHLEY,203018,203000,2023
123,Hampton High School,7-12,Hampton School District,13%,44%,22%,9%,4%,256,71%,67%,5%,27%,0%,33%,4,48,23,48%,15.9,16.2,16.5,16.9,0,CALHOUN,701002,701000,2023
124,Har-Ber High School,10-12,Springdale School District,21%,49%,30%,23%,14%,2306,60%,40%,45%,3%,12%,60%,1,763,642,84%,17.7,18.3,18.6,19.1,0,WASHINGTON,7207062,7207000,2023
125,Harmony Grove High School,7-12,Harmony Grove School District (Ouachita),5%,36%,23%,16%,2%,421,37%,78%,5%,14%,4%,22%,4,68,64,94%,16.2,16.1,18.1,18.3,0,OUACHITA,5205029,5205000,2023
126,Harmony Grove High School,10-12,Harmony Grove School District (Saline),13%,46%,33%,27%,6%,306,26%,89%,5%,3%,3%,11%,3,101,90,89%,17.7,17.7,18.5,18.7,0,SALINE,6304030,6304000,2023
127,Harrisburg High School,6-12,Harrisburg School District,5%,37%,26%,11%,3%,523,70%,89%,6%,3%,2%,11%,2,79,65,82%,16.4,15.8,17.5,17.4,0,POINSETT,5602009,5602000,2023
128,Harrison High School,9-12,Harrison School District,26%,61%,39%,27%,18%,841,45%,90%,5%,0%,4%,10%,1,224,202,90%,18.5,19.3,20.6,19.7,0,BOONE,503019,503000,2023
129,Hazen High School,7-12,Hazen School District,10%,46%,18%,13%,5%,252,67%,81%,2%,14%,2%,19%,5,47,39,83%,17.3,17.1,17.9,18.1,0,PRAIRIE,5903012,5903000,2023
