county_code,county_name,state_name
17043,DuPage County ,Illinois 
17045,Edgar County ,Illinois 
17047,Edwards County ,Illinois 
17049,Effingham County ,Illinois 
17051,Fayette County ,Illinois 
17053,Ford County ,Illinois 
17055,Franklin County ,Illinois 
17057,Fulton County ,Illinois 
17059,Gallatin County ,Illinois 
17061,Greene County ,Illinois 
17063,Grundy County ,Illinois 
17065,Hamilton County ,Illinois 
17067,Hancock County ,Illinois 
17069,Hardin County ,Illinois 
17071,Henderson County ,Illinois 
17073,Henry County ,Illinois 
17075,Iroquois County ,Illinois 
17077,Jackson County ,Illinois 
17079,Jasper County ,Illinois 
17081,Jefferson County ,Illinois 
17083,Jersey County ,Illinois 
17085,Jo Daviess County ,Illinois 
17087,Johnson County ,Illinois 
17089,Kane County ,Illinois 
17091,Kankakee County ,Illinois 
17093,Kendall County ,Illinois 
17095,Knox County ,Illinois 
17097,Lake County ,Illinois 
17099,LaSalle County ,Illinois 
17101,Lawrence County ,Illinois 
17103,Lee County ,Illinois 
17105,Livingston County ,Illinois 
17107,Logan County ,Illinois 
17109,McDonough County ,Illinois 
17111,McHenry County ,Illinois 
17113,McLean County ,Illinois 
17115,Macon County ,Illinois 
17117,Macoupin County ,Illinois 
17119,Madison County ,Illinois 
17121,Marion County ,Illinois 
17123,Marshall County ,Illinois 
17125,Mason County ,Illinois 
17127,Massac County ,Illinois 
17129,Menard County ,Illinois 
17131,Mercer County ,Illinois 
17133,Monroe County ,Illinois 
17135,Montgomery County ,Illinois 
17137,Morgan County ,Illinois 
17139,Moultrie County ,Illinois 
17141,Ogle County ,Illinois 
17143,Peoria County ,Illinois 
17145,Perry County ,Illinois 
17147,Piatt County ,Illinois 
17149,Pike County ,Illinois 
17151,Pope County ,Illinois 
17153,Pulaski County ,Illinois 
17155,Putnam County ,Illinois 
17157,Randolph County ,Illinois 
17159,Richland County ,Illinois 
17161,Rock Island County ,Illinois 
17163,St. Clair County ,Illinois 
17165,Saline County ,Illinois 
17167,Sangamon County ,Illinois 
17169,Schuyler County ,Illinois 
17171,Scott County ,Illinois 
17173,Shelby County ,Illinois 
17175,Stark County ,Illinois 
17177,Stephenson County ,Illinois 
17179,Tazewell County ,Illinois 
17181,Union County ,Illinois 
17183,Vermilion County ,Illinois 
17185,Wabash County ,Illinois 
17187,Warren County ,Illinois 
17189,Washington County ,Illinois 
17191,Wayne County ,Illinois 
17193,White County ,Illinois 
17195,Whiteside County ,Illinois 
17197,Will County ,Illinois 
17199,Williamson County ,Illinois 
17201,Winnebago County ,Illinois 
17203,Woodford County,Illinois 
36001,Albany County , New York 
36003,Allegany County , New York 
36005,Bronx County , New York 
36007,Broome County , New York 
36009,Cattaraugus County , New York 
36011,Cayuga County , New York 
36013,Chautauqua County , New York 
36015,Chemung County , New York 
36017,Chenango County , New York 
36019,Clinton County , New York 
36021,Columbia County , New York 
36023,Cortland County , New York 
36025,Delaware County , New York 
36027,Dutchess County , New York 
36029,Erie County , New York 
36031,Essex County , New York 
36033,Franklin County , New York 
36035,Fulton County , New York 
36037,Genesee County , New York 
36039,Greene County , New York 
36041,Hamilton County , New York 
36043,Herkimer County , New York 
36045,Jefferson County , New York 
36047,Kings County , New York 
36049,Lewis County , New York 
36051,Livingston County , New York 
36053,Madison County , New York 
36055,Monroe County , New York 
36057,Montgomery County , New York 
36059,Nassau County , New York 
36061,New York County , New York 
36063,Niagara County , New York 
36065,Oneida County , New York 
36067,Onondaga County , New York 
36069,Ontario County , New York 
36071,Orange County , New York 
36073,Orleans County , New York 
36075,Oswego County , New York 
36077,Otsego County , New York 
36079,Putnam County , New York 
36081,Queens County , New York 
36083,Rensselaer County , New York 
36085,Richmond County , New York 
36087,Rockland County , New York 
36089,St. Lawrence County , New York 
36091,Saratoga County , New York 
36093,Schenectady County , New York 
36095,Schoharie County , New York 
36097,Schuyler County , New York 
36099,Seneca County , New York 
36101,Steuben County , New York 
36103,Suffolk County , New York 
36105,Sullivan County , New York 
36107,Tioga County , New York 
36109,Tompkins County , New York 
36111,Ulster County , New York 
36113,Warren County , New York 
36115,Washington County , New York 
36117,Wayne County , New York 
36119,Westchester County , New York 
36121,Wyoming County , New York 
36123,Yates County, New York 
48001,Anderson County ,Texas 
48003,Andrews County ,Texas 
48005,Angelina County ,Texas 
48007,Aransas County ,Texas 
48009,Archer County ,Texas 
48011,Armstrong County ,Texas 
48013,Atascosa County ,Texas 
48015,Austin County ,Texas 
48017,Bailey County ,Texas 
48019,Bandera County ,Texas 
48021,Bastrop County ,Texas 
48023,Baylor County ,Texas 
48025,Bee County ,Texas 
48027,Bell County ,Texas 
48029,Bexar County ,Texas 
48031,Blanco County ,Texas 
48033,Borden County ,Texas 
48035,Bosque County ,Texas 
48037,Bowie County ,Texas 
48039,Brazoria County ,Texas 
48041,Brazos County ,Texas 
48043,Brewster County ,Texas 
48045,Briscoe County ,Texas 
48047,Brooks County ,Texas 
48049,Brown County ,Texas 
48051,Burleson County ,Texas 
48053,Burnet County ,Texas 
48055,Caldwell County ,Texas 
48057,Calhoun County ,Texas 
48059,Callahan County ,Texas 
48061,Cameron County ,Texas 
48063,Camp County ,Texas 
48065,Carson County ,Texas 
48067,Cass County ,Texas 
48069,Castro County ,Texas 
48071,Chambers County ,Texas 
48073,Cherokee County ,Texas 
48075,Childress County ,Texas 
48077,Clay County ,Texas 
48079,Cochran County ,Texas 
48081,Coke County ,Texas 
48083,Coleman County ,Texas 
48085,Collin County ,Texas 
48087,Collingsworth County ,Texas 
48089,Colorado County ,Texas 
48091,Comal County ,Texas 
48093,Comanche County ,Texas 
48095,Concho County ,Texas 
48097,Cooke County ,Texas 
48099,Coryell County ,Texas 
48101,Cottle County ,Texas 
48103,Crane County ,Texas 
48105,Crockett County ,Texas 
48107,Crosby County ,Texas 
48109,Culberson County ,Texas 
48111,Dallam County ,Texas 
48113,Dallas County ,Texas 
48115,Dawson County ,Texas 
48117,Deaf Smith County ,Texas 
48119,Delta County ,Texas 
48121,Denton County ,Texas 
48123,DeWitt County ,Texas 
48125,Dickens County ,Texas 
48127,Dimmit County ,Texas 
48129,Donley County ,Texas 
48131,Duval County ,Texas 
48133,Eastland County ,Texas 
48135,Ector County ,Texas 
48137,Edwards County ,Texas 
48139,Ellis County ,Texas 
48141,El Paso County ,Texas 
48143,Erath County ,Texas 
48145,Falls County ,Texas 
48147,Fannin County ,Texas 
48149,Fayette County ,Texas 
48151,Fisher County ,Texas 
48153,Floyd County ,Texas 
48155,Foard County ,Texas 
48157,Fort Bend County ,Texas 
48159,Franklin County ,Texas 
48161,Freestone County ,Texas 
48163,Frio County ,Texas 
48165,Gaines County ,Texas 
48167,Galveston County ,Texas 
48169,Garza County ,Texas 
48171,Gillespie County ,Texas 
48173,Glasscock County ,Texas 
48175,Goliad County ,Texas 
48177,Gonzales County ,Texas 
48179,Gray County ,Texas 
48181,Grayson County ,Texas 
48183,Gregg County ,Texas 
48185,Grimes County ,Texas 
48187,Guadalupe County ,Texas 
48189,Hale County ,Texas 
48191,Hall County ,Texas 
48193,Hamilton County ,Texas 
48195,Hansford County ,Texas 
48197,Hardeman County ,Texas 
48199,Hardin County ,Texas 
48201,Harris County ,Texas 
48203,Harrison County ,Texas 
48205,Hartley County ,Texas 
48207,Haskell County ,Texas 
48209,Hays County ,Texas 
48211,Hemphill County ,Texas 
48213,Henderson County ,Texas 
48215,Hidalgo County ,Texas 
48217,Hill County ,Texas 
48219,Hockley County ,Texas 
48221,Hood County ,Texas 
48223,Hopkins County ,Texas 
48225,Houston County ,Texas 
48227,Howard County ,Texas 
48229,Hudspeth County ,Texas 
48231,Hunt County ,Texas 
48233,Hutchinson County ,Texas 
48235,Irion County ,Texas 
48237,Jack County ,Texas 
48239,Jackson County ,Texas 
48241,Jasper County ,Texas 
48243,Jeff Davis County ,Texas 
48245,Jefferson County ,Texas 
48247,Jim Hogg County ,Texas 
48249,Jim Wells County ,Texas 
48251,Johnson County ,Texas 
48253,Jones County ,Texas 
48255,Karnes County ,Texas 
48257,Kaufman County ,Texas 
48259,Kendall County ,Texas 
48261,Kenedy County ,Texas 
48263,Kent County ,Texas 
48265,Kerr County ,Texas 
48267,Kimble County ,Texas 
48269,King County ,Texas 
48271,Kinney County ,Texas 
48273,Kleberg County ,Texas 
48275,Knox County ,Texas 
48277,Lamar County ,Texas 
48279,Lamb County ,Texas 
48281,Lampasas County ,Texas 
48283,La Salle County ,Texas 
48285,Lavaca County ,Texas 
48287,Lee County ,Texas 
48289,Leon County ,Texas 
48291,Liberty County ,Texas 
48293,Limestone County ,Texas 
48295,Lipscomb County ,Texas 
48297,Live Oak County ,Texas 
48299,Llano County ,Texas 
48301,Loving County ,Texas 
48303,Lubbock County ,Texas 
48305,Lynn County ,Texas 
48307,McCulloch County ,Texas 
48309,McLennan County ,Texas 
48311,McMullen County ,Texas 
48313,Madison County ,Texas 
48315,Marion County ,Texas 
48317,Martin County ,Texas 
48319,Mason County ,Texas 
48321,Matagorda County ,Texas 
48323,Maverick County ,Texas 
48325,Medina County ,Texas 
48327,Menard County ,Texas 
48329,Midland County ,Texas 
48331,Milam County ,Texas 
48333,Mills County ,Texas 
48335,Mitchell County ,Texas 
48337,Montague County ,Texas 
48339,Montgomery County ,Texas 
48341,Moore County ,Texas 
48343,Morris County ,Texas 
48345,Motley County ,Texas 
48347,Nacogdoches County ,Texas 
48349,Navarro County ,Texas 
48351,Newton County ,Texas 
48353,Nolan County ,Texas 
48355,Nueces County ,Texas 
48357,Ochiltree County ,Texas 
48359,Oldham County ,Texas 
48361,Orange County ,Texas 
48363,Palo Pinto County ,Texas 
48365,Panola County ,Texas 
48367,Parker County ,Texas 
48369,Parmer County ,Texas 
48371,Pecos County ,Texas 
48373,Polk County ,Texas 
48375,Potter County ,Texas 
48377,Presidio County ,Texas 
48379,Rains County ,Texas 
48381,Randall County ,Texas 
48383,Reagan County ,Texas 
48385,Real County ,Texas 
48387,Red River County ,Texas 
48389,Reeves County ,Texas 
48391,Refugio County ,Texas 
48393,Roberts County ,Texas 
48395,Robertson County ,Texas 
48397,Rockwall County ,Texas 
48399,Runnels County ,Texas 
48401,Rusk County ,Texas 
48403,Sabine County ,Texas 
48405,San Augustine County ,Texas 
48407,San Jacinto County ,Texas 
48409,San Patricio County ,Texas 
48411,San Saba County ,Texas 
48413,Schleicher County ,Texas 
48415,Scurry County ,Texas 
48417,Shackelford County ,Texas 
48419,Shelby County ,Texas 
48421,Sherman County ,Texas 
48423,Smith County ,Texas 
48425,Somervell County ,Texas 
48427,Starr County ,Texas 
48429,Stephens County ,Texas 
48431,Sterling County ,Texas 
48433,Stonewall County ,Texas 
48435,Sutton County ,Texas 
48437,Swisher County ,Texas 
48439,Tarrant County ,Texas 
48441,Taylor County ,Texas 
48443,Terrell County ,Texas 
48445,Terry County ,Texas 
48447,Throckmorton County ,Texas 
48449,Titus County ,Texas 
48451,Tom Green County ,Texas 
48453,Travis County ,Texas 
48455,Trinity County ,Texas 
48457,Tyler County ,Texas 
48459,Upshur County ,Texas 
48461,Upton County ,Texas 
48463,Uvalde County ,Texas 
48465,Val Verde County ,Texas 
48467,Van Zandt County ,Texas 
48469,Victoria County ,Texas 
48471,Walker County ,Texas 
48473,Waller County ,Texas 
48475,Ward County ,Texas 
48477,Washington County ,Texas 
48479,Webb County ,Texas 
48481,Wharton County ,Texas 
48483,Wheeler County ,Texas 
48485,Wichita County ,Texas 
48487,Wilbarger County ,Texas 
48489,Willacy County ,Texas 
48491,Williamson County ,Texas 
48493,Wilson County ,Texas 
48495,Winkler County ,Texas 
48497,Wise County ,Texas 
48499,Wood County ,Texas 
48501,Yoakum County ,Texas 
48503,Young County ,Texas 
48505,Zapata County ,Texas 
48507,Zavala County,Texas 
08001,Adams County ,Colorado 
08003,Alamosa County ,Colorado 
08005,Arapahoe County ,Colorado 
08007,Archuleta County ,Colorado 
08009,Baca County ,Colorado 
08011,Bent County ,Colorado 
08013,Boulder County ,Colorado 
08014,"Broomfield, City and County of[i] ",Colorado 
08015,Chaffee County ,Colorado 
08017,Cheyenne County ,Colorado 
08019,Clear Creek County ,Colorado 
08021,Conejos County ,Colorado 
08023,Costilla County ,Colorado 
08025,Crowley County ,Colorado 
08027,Custer County ,Colorado 
08029,Delta County ,Colorado 
08031,"Denver, City and County of[j] ",Colorado 
08033,Dolores County ,Colorado 
08035,Douglas County ,Colorado 
08037,Eagle County ,Colorado 
08039,Elbert County ,Colorado 
08041,El Paso County ,Colorado 
08043,Fremont County ,Colorado 
08045,Garfield County ,Colorado 
08047,Gilpin County ,Colorado 
08049,Grand County ,Colorado 
08051,Gunnison County ,Colorado 
08053,Hinsdale County ,Colorado 
08055,Huerfano County ,Colorado 
08057,Jackson County ,Colorado 
08059,Jefferson County ,Colorado 
08061,Kiowa County ,Colorado 
08063,Kit Carson County ,Colorado 
08065,Lake County ,Colorado 
08067,La Plata County ,Colorado 
08069,Larimer County ,Colorado 
08071,Las Animas County ,Colorado 
08073,Lincoln County ,Colorado 
08075,Logan County ,Colorado 
08077,Mesa County ,Colorado 
08079,Mineral County ,Colorado 
08081,Moffat County ,Colorado 
08083,Montezuma County ,Colorado 
08085,Montrose County ,Colorado 
08087,Morgan County ,Colorado 
08089,Otero County ,Colorado 
08091,Ouray County ,Colorado 
08093,Park County ,Colorado 
08095,Phillips County ,Colorado 
08097,Pitkin County ,Colorado 
08099,Prowers County ,Colorado 
08101,Pueblo County ,Colorado 
08103,Rio Blanco County ,Colorado 
08105,Rio Grande County ,Colorado 
08107,Routt County ,Colorado 
08109,Saguache County ,Colorado 
08111,San Juan County ,Colorado 
08113,San Miguel County ,Colorado 
08115,Sedgwick County ,Colorado 
08117,Summit County ,Colorado 
08119,Teller County ,Colorado 
08121,Washington County ,Colorado 
08123,Weld County ,Colorado 
08125,Yuma County,Colorado 
