RCDTS,Type,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - EL,% Student Enrollment - IEP,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Avg Number of Days of Physical Education per Week Per Student,Percent Teachers With Bachelor Degree,Percent Teachers With Masters Degree,Teacher Attendance Rate,Teacher Avg Salary,Admin Avg Salary,% Students with an IEP - White,% Students with an IEP - Black or African American,% Students with an IEP - Hispanic or Latino,% Students with an IEP - Asian,$ Total Per-Pupil Expenditures - Subtotal,$ Site-level Per-Pupil Expenditures - Subtotal,SAT Reading Average,SAT Math Average,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,Year
010690060260001,School,Waverly Junior/Senior High School,Waverly CUSD 6,Waverly,Morgan,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",165.0,95.8,1.2,0.6,1.8,0.0,0.0,0.6,16.4,1.8,16.4,38.2,2.4,174.0,92.5,7.6,1.7,12.8,75.0,29.5,5.0,77.0,23.0,93.4,45149.0,75816.0,84.6,4.6,0.0,10.8,10681.53,5634.71,470.3,504.0,34.3,20.0,40.0,5.7,2019
010690110260001,School,Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",47.0,97.9,0.0,0.5,0.0,0.0,0.0,2.1,23.4,0.0,23.4,51.1,2.1,172.0,92.7,10.5,5.6,9.6,88.9,31.4,5.0,77.1,22.9,74.3,43567.0,92934.0,90.9,0.0,2.3,0.0,19334.46,11151.79,517.3,462.7,30.0,60.0,10.0,0.0,2019
010690270260001,School,Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",180.0,93.3,0.0,2.8,0.0,0.0,0.0,3.9,12.8,1.1,11.7,37.2,0.0,174.0,95.1,2.8,0.8,14.6,84.4,10.7,3.4,70.5,29.5,81.6,40331.0,83578.0,87.0,0.0,4.3,0.0,11025.84,6572.77,476.5,467.8,47.8,30.4,21.7,0.0,2019
010691170220014,School,Jacksonville High School,Jacksonville SD 117,Jacksonville,Morgan,UNIT,HIGH SCHOOL, 9 10 11 12,Targeted,Black,"Eligible, but Not a Participant in Title I Program",970.0,78.5,7.2,3.4,1.3,0.3,0.1,9.3,22.7,2.2,18.5,47.8,1.1,172.0,89.9,26.9,11.7,20.9,86.6,37.1,4.6,63.4,34.9,83.6,50141.0,87485.0,73.3,12.2,4.0,1.0,11982.09,6831.88,462.6,450.3,45.7,34.6,17.3,1.5,2019
010750030260002,School,Pleasant Hill High School,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",74.0,100.0,0.9,0.3,0.0,0.0,0.0,0.3,24.3,0.0,24.3,60.8,0.3,171.0,90.2,23.7,9.9,10.8,90.0,39.1,5.0,53.0,46.4,38.9,44687.0,76897.0,97.3,2.7,0.0,0.0,14494.78,10663.48,490.0,454.7,29.2,58.5,11.7,0.0,2019
010750040260002,School,Griggsville-Perry High School,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,84.0,95.2,4.8,0.3,0.0,0.0,0.0,1.1,21.4,2.4,21.4,100.0,3.6,171.0,95.1,8.4,8.3,11.7,74.2,16.8,2.5,75.8,24.2,81.7,42575.0,71928.0,94.4,3.3,0.0,0.0,13526.2459,9389.0459,471.2,425.0,65.4,26.9,7.7,0.0,2019
010750100260009,School,Pittsfield High School,Pikeland CUSD 10,Pittsfield,Pike,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",323.0,96.9,0.6,1.2,0.6,0.0,0.0,0.6,16.1,0.2,13.9,36.5,0.3,170.0,93.6,6.0,4.6,16.6,90.9,22.9,2.5,65.6,33.3,81.7,41636.0,77525.0,99.1,0.9,0.0,0.0,10696.12,8009.14,500.4,477.2,32.4,43.2,23.0,1.4,2019
010750120260001,School,Western High School,Western CUSD 12,Barry,Pike,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",140.0,95.7,0.0,1.4,0.0,0.0,0.0,2.9,17.1,0.2,12.1,62.1,8.6,168.0,94.2,3.9,5.2,12.9,84.4,20.6,5.0,61.0,39.0,83.0,43245.0,79081.0,96.2,0.0,1.9,0.0,13656.86,11663.77,493.5,494.7,17.6,55.9,23.5,2.9,2019
010860010260001,School,Winchester High School,Winchester CUSD 1,Winchester,Scott,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",182.0,97.3,0.0,1.6,0.0,0.0,0.0,1.1,22.0,0.0,19.8,37.4,0.5,173.0,93.3,5.6,2.2,14.4,86.2,16.3,5.0,67.7,30.4,81.2,41125.0,74955.0,96.6,0.0,0.9,0.0,12339.35,7066.71,466.3,444.8,45.0,32.5,22.5,0.0,2019
010860020260001,School,Bluffs High School,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",64.0,96.9,0.0,1.6,0.4,0.0,0.0,1.6,17.2,0.4,17.2,51.6,0.4,174.0,94.6,3.1,1.5,15.3,85.0,13.9,5.0,66.1,33.9,81.2,39606.0,96839.0,95.7,0.0,2.2,0.0,7118.04,4919.85,452.1,463.2,36.8,47.4,15.8,0.0,2019
030030010260001,School,Mulberry Grove Sr High School,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",121.0,92.6,1.7,2.5,0.0,0.0,0.0,3.3,14.0,0.0,14.0,42.1,3.3,176.0,93.0,11.8,6.1,14.9,83.9,29.4,5.0,58.8,41.2,73.9,45271.0,75000.0,98.5,0.0,0.0,0.0,8644.27,3920.51,460.4,460.8,32.0,60.0,8.0,0.0,2019
030030020260001,School,Bond Cty Comm Unit 2 High School,Bond County CUSD 2,Greenville,Bond,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",539.0,90.2,2.2,1.7,1.1,0.2,0.6,4.1,17.1,0.1,15.6,36.4,0.6,175.0,94.4,6.8,2.9,20.5,90.4,15.3,5.0,41.6,57.5,74.5,56631.0,87271.0,87.4,4.1,2.1,0.3,9521.0,8011.0,478.1,480.0,34.4,40.2,20.5,4.9,2019
030110010260002,School,Morrisonville High School,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",80.0,96.3,0.0,1.3,0.0,0.0,0.0,2.5,17.5,0.0,17.5,26.3,2.5,175.0,94.8,3.9,3.6,11.7,88.0,16.8,4.4,66.0,30.2,66.9,48053.0,86906.0,95.0,0.0,3.3,0.0,14222.15,245.48,484.7,486.0,33.3,46.7,20.0,0.0,2019
030110030260006,School,Taylorville Sr High School,Taylorville CUSD 3,Taylorville,Christian,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",755.0,93.6,0.3,1.7,1.5,0.0,0.0,2.9,14.8,0.1,14.7,43.7,0.1,174.0,91.9,17.0,5.5,20.2,91.2,29.7,3.8,76.9,23.1,85.8,49882.0,98733.0,90.8,2.3,1.2,0.5,12515.014,10675.778,475.0,475.4,38.6,37.6,22.2,1.6,2019
030110040260002,School,Edinburg High School,Edinburg CUSD 4,Edinburg,Christian,UNIT,HIGH SCHOOL, 9 10 11 12,,,"Eligible, but Not a Participant in Title I Program",75.0,96.0,0.4,2.7,0.0,0.0,0.0,1.3,10.7,0.0,10.7,38.7,0.9,174.0,93.1,8.0,3.7,9.6,78.3,21.2,5.0,81.8,18.2,69.1,40322.0,92915.0,93.5,0.0,2.2,0.0,13072.45,5313.68,442.0,431.0,47.8,47.8,0.0,0.0,2019
030110080260006,School,Pana Sr High School,Pana CUSD 8,Pana,Christian,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",394.0,96.7,0.5,1.0,0.3,0.0,0.5,1.5,14.7,0.3,11.7,55.8,2.3,176.0,92.0,11.9,4.0,18.9,91.7,24.6,5.0,73.0,27.0,72.3,50738.0,91432.0,97.0,1.5,1.0,0.0,10693.84,7893.49,491.5,470.9,33.0,47.7,19.3,0.0,2019
030110140240001,School,South Fork Jr Sr High School,South Fork SD 14,Kincaid,Christian,UNIT,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,151.0,91.4,0.0,3.3,0.0,0.0,0.7,4.6,22.5,0.3,22.5,57.6,1.3,174.0,91.3,21.3,3.3,11.8,81.0,29.5,5.0,74.1,21.8,71.6,42631.0,70472.0,92.8,0.0,0.0,0.0,10867.528743089,7293.340516128,454.7,388.9,83.1,16.6,0.0,0.0,2019
030250100260001,School,Altamont High School,Altamont CUSD 10,Altamont,Effingham,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",224.0,97.8,1.3,0.4,0.2,0.0,0.0,0.4,12.9,0.2,9.8,37.5,0.4,174.0,94.4,10.3,4.9,15.3,89.2,21.4,3.0,67.2,32.8,40.8,50046.0,87687.0,96.0,2.4,0.0,0.8,11639.28,9210.01,472.1,474.9,36.2,36.2,25.5,2.1,2019
030250200260001,School,Beecher City Jr-Sr High School,Beecher City CUSD 20,Beecher City,Effingham,UNIT,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,Targeted Assistance Title I Program,157.0,96.8,0.9,1.3,0.6,0.0,0.0,1.3,21.0,0.0,16.6,41.4,5.7,175.0,96.0,6.2,1.1,11.9,85.7,10.6,5.0,65.5,34.5,94.4,50865.0,100511.0,96.7,1.6,0.0,1.6,13002.13,10495.13,471.1,498.9,26.3,36.8,36.8,0.0,2019
030250300260001,School,Dieterich Jr/Sr High School,Dieterich CUSD 30,Dieterich,Effingham,UNIT,HIGH SCHOOL, 7 8 9 10 11 12,Exemplary,All Students,"Eligible, but Not a Participant in Title I Program",194.0,97.9,0.0,1.0,1.0,0.0,0.0,0.8,9.3,0.0,9.3,21.1,2.1,175.0,96.4,2.6,1.7,14.3,75.0,7.2,5.0,66.7,33.3,94.5,46629.0,90379.0,97.1,0.0,2.9,0.0,8844.7921,6581.6203,458.3,457.8,52.2,21.7,26.1,0.0,2019
030250400260001,School,Effingham High School,Effingham CUSD 40,Effingham,Effingham,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",715.0,91.3,1.1,3.5,1.5,0.0,0.1,2.4,13.0,1.3,13.0,33.4,3.4,175.0,96.2,8.4,5.9,20.2,88.1,9.7,5.0,54.6,45.4,97.5,49850.0,106388.0,89.7,2.1,3.3,0.8,6714.08,5726.46,486.5,480.3,35.5,34.3,27.7,2.4,2019
030250500260001,School,Teutopolis High School,Teutopolis CUSD 50,Teutopolis,Effingham,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",334.0,98.8,0.3,0.3,0.2,0.0,0.0,0.6,12.9,0.1,12.9,2.1,1.5,175.0,97.9,0.3,0.9,19.4,93.2,1.5,4.6,63.0,37.0,83.9,52233.0,102693.0,93.5,0.6,0.6,0.6,9373.13,7645.02,517.4,542.4,20.8,27.8,34.7,16.7,2019
030262010260003,School,Brownstown High School,Brownstown CUSD 201,Brownstown,Fayette,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,80.0,92.5,0.3,2.5,1.3,0.0,0.0,3.8,20.0,0.0,20.0,58.8,7.5,174.0,89.9,18.2,5.1,12.6,53.8,47.2,4.8,67.9,32.1,96.4,43776.0,73536.0,96.8,1.6,0.0,0.0,7318.66,6958.46,431.5,418.8,65.4,23.1,11.5,0.0,2019
030262020260002,School,St Elmo Sr High School,St Elmo CUSD 202,Saint Elmo,Fayette,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,110.0,97.3,1.8,0.9,0.0,0.0,0.0,0.0,17.3,0.0,16.4,46.4,1.8,174.0,95.0,4.5,9.4,12.5,89.3,11.7,5.0,75.1,24.9,60.8,52095.0,108580.0,97.4,2.6,0.0,0.0,8984.43,6064.75,500.7,452.5,39.3,53.6,7.1,0.0,2019
030262030260001,School,Vandalia Community High School,Vandalia CUSD 203,Vandalia,Fayette,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",407.0,94.3,0.7,2.5,0.2,0.0,0.1,2.2,14.3,0.2,13.8,50.4,6.1,174.0,92.9,11.4,3.9,16.6,90.8,26.6,5.0,48.7,50.8,90.7,58582.0,103649.0,90.7,0.0,1.3,0.0,10275.01,5898.56,457.5,456.8,44.6,39.1,15.2,1.1,2019
030262040260002,School,Ramsey High School,Ramsey CUSD 204,Ramsey,Fayette,UNIT,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,231.0,99.6,0.2,0.4,0.0,0.0,0.0,0.9,20.3,0.0,20.3,55.0,6.9,174.0,95.0,6.8,0.7,15.8,87.0,14.8,4.8,66.0,34.0,67.4,45482.0,82067.0,97.6,0.0,0.0,0.0,9136.27,6040.42,462.5,473.1,37.5,37.5,25.0,0.0,2019
030680020260001,School,Lincolnwood High School,Panhandle CUSD 2,Raymond,Montgomery,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",146.0,97.3,0.2,0.7,0.0,0.0,0.0,2.1,24.7,0.2,24.7,50.7,2.7,175.0,92.5,13.5,6.1,15.6,90.9,28.4,5.0,60.4,39.6,88.3,52060.0,83901.0,95.0,1.0,1.0,0.0,10985.64,7560.7,485.0,469.7,32.4,47.1,20.6,0.0,2019
030680030260001,School,Hillsboro High School,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",484.0,93.0,1.4,2.9,0.2,0.2,0.1,2.3,12.6,0.1,12.6,35.5,1.7,175.0,92.8,21.0,5.2,19.5,91.3,28.5,4.9,50.5,49.5,71.2,54418.0,87815.0,92.6,2.8,2.8,0.0,10722.0,5548.0,485.8,453.4,42.4,40.8,16.8,0.0,2019
030680120260001,School,Litchfield Senior High School,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Targeted Assistance Title I Program,389.0,93.3,1.3,2.3,0.8,0.1,0.2,2.3,13.4,0.3,13.4,57.8,4.1,175.0,95.0,0.3,6.5,19.7,79.3,12.0,4.7,59.6,39.4,65.5,58544.0,100939.0,95.7,1.4,0.7,0.0,11597.0,7266.0,481.2,464.1,42.0,32.1,24.7,1.2,2019
030680220260001,School,Nokomis Jr/Sr High Sch,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,HIGH SCHOOL, 6 7 8 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,299.0,94.6,0.0,2.3,0.0,0.0,0.0,3.0,15.1,0.0,15.1,40.5,2.7,176.0,96.0,6.9,0.5,16.3,88.1,10.4,5.0,70.2,28.5,71.9,43039.0,87109.0,94.7,0.0,3.2,0.0,10607.7073,7214.7884,465.0,452.0,52.3,34.1,13.6,0.0,2019
040041000260001,School,Belvidere High School,Belvidere CUSD 100,Belvidere,Boone,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",1214.0,47.0,2.6,46.3,0.7,0.3,0.7,2.4,17.9,9.5,12.4,57.6,1.2,171.0,92.0,13.6,5.4,20.2,88.0,28.0,5.0,35.7,63.9,91.1,60929.0,101936.0,52.2,5.1,38.7,0.2,11901.0,10101.0,460.0,449.9,49.1,33.1,16.7,1.1,2019
040041000260002,School,Belvidere North High Sch,Belvidere CUSD 100,Belvidere,Boone,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,,1432.0,62.3,3.8,29.4,1.5,0.3,0.3,2.4,17.5,5.1,12.8,35.2,0.5,171.0,92.7,11.4,3.0,21.2,93.2,24.4,5.0,35.7,63.9,91.1,60929.0,101936.0,52.2,5.1,38.7,0.2,11177.0,9389.0,488.3,479.9,34.8,36.1,25.3,3.8,2019
040042000260003,School,North Boone High School,North Boone CUSD 200,Poplar Grove,Boone,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,478.0,69.2,1.5,23.2,1.0,0.0,0.2,4.8,13.6,4.8,13.6,41.6,0.8,174.0,95.2,1.3,2.4,20.3,79.8,8.6,5.0,51.9,48.1,72.1,55038.0,100552.0,68.2,2.6,20.6,0.0,11842.0,7682.0,477.9,468.5,41.5,33.3,24.4,0.8,2019
041011220220002,School,Harlem High School,Harlem UD 122,Machesney Park,Winnebago,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",1533.0,73.5,4.3,13.3,2.3,0.1,0.3,6.3,22.2,2.6,18.1,50.1,2.6,168.0,88.9,40.2,5.5,24.9,85.4,38.2,5.0,35.7,63.9,72.2,66655.0,111313.0,71.0,7.1,13.2,0.9,13734.12,10516.23,480.3,469.4,39.7,33.3,24.7,1.8,2019
041012050250001,School,Auburn High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL, 9 10 11 12,Comprehensive,Low Graduation Rate,Schoolwide Title I Program,1818.0,28.5,41.1,19.7,4.3,0.1,0.1,6.1,17.3,1.9,13.9,61.6,4.4,172.0,89.9,32.5,9.5,25.3,89.7,42.0,5.0,38.6,60.9,85.3,62301.0,114880.0,29.6,37.9,23.1,1.8,12146.554167089,8330.892367486,481.0,467.7,51.9,20.4,15.2,12.4,2019
041012050250002,School,Rockford East High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL, 9 10 11 12,Comprehensive,Low Graduation Rate,Schoolwide Title I Program,1799.0,29.7,27.7,27.5,8.4,0.1,0.2,6.5,16.4,17.3,14.1,65.5,3.8,172.0,91.0,26.4,8.3,26.2,87.9,35.7,5.0,38.6,60.9,85.3,62301.0,114880.0,29.6,37.9,23.1,1.8,11811.958531902,8287.91144204,441.1,421.7,61.3,28.4,8.8,0.8,2019
041012050250003,School,Guilford High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,1786.0,37.7,24.4,26.8,4.1,0.1,0.3,6.7,18.7,9.6,15.3,50.8,3.9,172.0,91.5,22.9,6.5,26.8,85.3,32.9,5.0,38.6,60.9,85.3,62301.0,114880.0,29.6,37.9,23.1,1.8,11851.270527942,8112.484423657,462.8,445.7,52.4,30.3,14.5,2.8,2019
041012050250004,School,Jefferson High School,Rockford SD 205,Rockford,Winnebago,UNIT,HIGH SCHOOL, 9 10 11 12,Targeted,"EL, Black",Schoolwide Title I Program,1715.0,24.4,21.0,46.2,2.7,0.1,0.3,5.3,17.7,13.8,16.2,69.2,4.7,172.0,89.9,31.0,8.8,25.9,83.9,42.1,5.0,38.6,60.9,85.3,62301.0,114880.0,29.6,37.9,23.1,1.8,12280.741076332,8445.803231795,437.9,425.1,59.4,28.8,9.9,0.0,2019
04101205025201C,School,Legacy Acad of Excellence Charter Sch,Rockford SD 205,Rockford,Winnebago,UNIT,CHARTER SCH, K 1 2 3 4 5 6 7 8 9 10 11 12,Commendable,All Students,Schoolwide Title I Program,314.0,12.7,56.1,25.5,3.8,0.1,0.2,5.7,15.3,8.6,14.6,36.0,2.5,172.0,92.9,29.0,3.3,22.7,54.5,24.7,1.6,38.6,60.9,85.3,62301.0,114880.0,29.6,37.9,23.1,1.8,12661.70388574,11072.26703583,378.0,328.0,,,,,2019
041012070160001,School,Hononegah CHD High School,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,Targeted Assistance Title I Program,1990.0,84.6,1.9,7.4,2.5,0.2,0.1,3.3,14.6,0.7,10.4,18.9,0.3,174.0,93.6,9.6,2.2,23.7,94.8,16.0,5.0,16.7,83.3,87.6,76805.0,112851.0,80.7,5.5,8.7,0.0,12858.6,10901.52,544.7,539.3,16.0,34.3,37.9,11.8,2019
