School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Agawam - Clifford M Granger,00050010,     181,19.8,        338,50.0,50.0,9.2,16.3,36.4,00050000,0.9,3.9,17.2,75.4,0.6,0.0,2.1,Agawam,"          $68,476,267.22","           3,494.9","              $19,593.20","          $75,381,227.28","           3,675.4","              $20,509.67",2022
Agawam - James Clark School,00050030,     159,20.9,        314,47.5,52.6,11.2,16.9,45.5,00050000,1.6,5.1,11.8,78.3,0.0,0.0,3.2,Agawam,"          $68,476,267.22","           3,494.9","              $19,593.20","          $75,381,227.28","           3,675.4","              $20,509.67",2022
Agawam - Roberta G. Doering School,00050303,     275,19.6,        533,50.1,49.9,5.3,16.3,42.8,00050000,2.4,2.6,9.8,81.8,0.2,0.2,3.0,Agawam,"          $68,476,267.22","           3,494.9","              $19,593.20","          $75,381,227.28","           3,675.4","              $20,509.67",2022
Agawam - Robinson Park,00050025,     159,19.2,        289,52.9,47.1,20.4,12.5,56.1,00050000,3.1,2.4,14.2,75.8,0.0,0.0,4.5,Agawam,"          $68,476,267.22","           3,494.9","              $19,593.20","          $75,381,227.28","           3,675.4","              $20,509.67",2022
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,     322,22.3,"      1,036",53.6,46.4,29.4,20.3,74.3,04090000,14.4,0.5,60.1,20.6,0.5,0.0,4.0,Alma del Mar Charter School (District),"          $15,723,331.00",             936.1,"              $16,796.82","          $15,723,331.00",             936.1,"              $16,796.82",2022
Amesbury - Amesbury Elementary,00070005,     134,20.5,        344,48.6,51.5,0.9,24.4,32.6,00070000,2.6,0.0,9.0,84.9,0.0,0.0,3.5,Amesbury,"          $37,513,814.36","           1,806.8","              $20,762.57","          $43,177,095.85","           1,996.9","              $21,622.06",2022
Amesbury - Amesbury High,00070505,     409,12.5,        459,49.7,50.3,1.5,19.4,28.3,00070000,1.5,1.5,10.9,81.1,0.0,0.0,5.0,Amesbury,"          $37,513,814.36","           1,806.8","              $20,762.57","          $43,177,095.85","           1,996.9","              $21,622.06",2022
Amesbury - Amesbury Innovation High School,00070515,      64,8.8,         54,51.9,48.2,0.0,48.2,81.5,00070000,0.0,0.0,7.4,81.5,0.0,0.0,11.1,Amesbury,"          $37,513,814.36","           1,806.8","              $20,762.57","          $43,177,095.85","           1,996.9","              $21,622.06",2022
Amesbury - Amesbury Middle,00070013,     332,15.9,        588,44.6,55.4,1.5,23.5,34.7,00070000,1.7,1.5,12.1,80.3,0.2,0.0,4.3,Amesbury,"          $37,513,814.36","           1,806.8","              $20,762.57","          $43,177,095.85","           1,996.9","              $21,622.06",2022
Amesbury - Charles C Cashman Elementary,00070010,     161,20.1,        394,49.0,51.0,7.4,28.7,35.3,00070000,2.3,0.5,15.5,78.2,0.3,0.3,3.1,Amesbury,"          $37,513,814.36","           1,806.8","              $20,762.57","          $43,177,095.85","           1,996.9","              $21,622.06",2022
Amherst - Crocker Farm Elementary,00080009,     110,16.3,        346,51.5,46.8,16.8,25.1,32.4,00080000,11.3,11.9,18.8,46.5,0.3,0.3,11.0,Amherst,"          $29,351,387.00","           1,051.6","              $27,911.17","          $31,801,980.50","           1,174.6","              $27,074.73",2022
Amherst - Fort River Elementary,00080020,     120,19.0,        378,44.4,55.3,12.2,25.1,34.7,00080000,6.6,11.1,32.3,43.4,0.3,0.0,6.4,Amherst,"          $29,351,387.00","           1,051.6","              $27,911.17","          $31,801,980.50","           1,174.6","              $27,074.73",2022
Amherst - Wildwood Elementary,00080050,     106,17.8,        316,52.5,46.8,14.6,23.7,42.4,00080000,14.9,11.4,18.7,48.4,0.0,0.0,6.7,Amherst,"          $29,351,387.00","           1,051.6","              $27,911.17","          $31,801,980.50","           1,174.6","              $27,074.73",2022
Amherst-Pelham - Amherst Regional High,06050505,     685,12.7,        874,47.3,51.1,7.4,25.3,30.0,06050000,7.8,9.0,19.1,55.5,0.0,0.0,8.6,Amherst-Pelham,"          $30,276,466.00","           1,265.1","              $23,932.07","          $34,142,146.00","           1,410.1","              $24,212.57",2022
Amherst-Pelham - Amherst Regional Middle School,06050405,     301,14.2,        384,43.5,55.2,7.8,22.9,30.2,06050000,7.8,10.7,16.9,58.6,0.0,0.3,5.7,Amherst-Pelham,"          $30,276,466.00","           1,265.1","              $23,932.07","          $34,142,146.00","           1,410.1","              $24,212.57",2022
Andover - Andover High,00090505,     980,15.2,"      1,700",51.2,48.7,1.5,15.8,13.1,00090000,3.2,20.3,8.5,64.1,0.3,0.1,3.5,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Andover - Andover West Middle,00090310,     328,17.2,        524,51.5,47.9,2.9,20.4,13.4,00090000,1.9,15.7,10.3,70.0,0.0,0.0,2.1,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Andover - Bancroft Elementary,00090003,     182,21.0,        547,50.6,49.2,2.6,21.4,8.4,00090000,1.1,8.4,8.6,76.1,0.0,0.0,5.9,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Andover - Doherty Middle,00090305,     298,16.6,        464,49.4,50.4,0.2,16.8,9.1,00090000,1.1,10.6,7.8,76.7,0.0,0.0,3.9,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Andover - Henry C Sanborn Elementary,00090010,     126,19.3,        347,45.8,54.2,10.1,8.9,11.8,00090000,3.8,19.6,10.7,59.9,0.0,0.0,6.1,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Andover - High Plain Elementary,00090004,     175,21.5,        537,49.4,50.7,11.2,16.6,12.5,00090000,3.2,27.0,13.4,50.3,0.2,0.2,5.8,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Andover - Shawsheen School,00090005,      12,10.3,        124,35.5,64.5,0.8,57.3,25.0,00090000,6.5,25.0,14.5,45.2,0.0,0.0,8.9,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Andover - South Elementary,00090020,     161,19.8,        455,45.3,54.7,1.3,14.1,5.3,00090000,1.3,18.7,6.4,68.4,0.0,0.0,5.3,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Andover - West Elementary,00090025,     196,20.0,        560,46.3,53.8,5.5,27.1,13.6,00090000,3.8,16.3,8.9,65.0,0.2,0.0,5.9,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Andover - Wood Hill Middle School,00090350,     227,15.6,        346,46.0,54.1,2.0,17.3,12.4,00090000,3.8,31.5,11.3,48.3,0.3,0.0,4.9,Andover,"         $117,698,618.00","           5,537.0","              $21,256.75","         $125,414,087.00","           5,643.8","              $22,221.57",2022
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,     360,16.2,        543,44.6,55.4,22.1,25.1,74.2,35090000,14.2,2.6,25.8,50.6,0.6,0.2,6.1,Argosy Collegiate Charter School (District),"           $9,191,808.95",             545.1,"              $16,862.30","           $9,191,808.95",             545.1,"              $16,862.30",2022
Arlington - Arlington High,00100505,     997,13.8,"      1,540",50.4,47.6,1.7,13.5,11.1,00100000,3.1,10.2,8.1,72.6,0.0,0.1,5.9,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - Brackett,00100010,     162,18.7,        420,46.7,53.3,5.2,16.0,3.3,00100000,1.0,9.3,5.5,70.0,0.0,0.0,14.3,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - Cyrus E Dallin,00100025,     164,18.4,        416,51.4,48.3,4.3,11.3,7.5,00100000,1.4,12.7,7.5,67.1,0.0,0.0,11.3,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - Gibbs School,00100305,     320,19.1,        514,46.9,52.7,3.9,19.5,11.7,00100000,2.7,17.1,8.6,68.7,0.0,0.0,2.9,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - Hardy,00100030,     143,19.9,        392,49.2,50.5,8.9,19.9,12.8,00100000,3.1,13.5,7.1,64.8,0.0,0.0,11.5,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - John A Bishop,00100005,     136,21.3,        397,47.4,52.6,9.3,12.6,6.1,00100000,2.8,12.6,6.3,66.0,0.0,0.0,12.3,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - M Norcross Stratton,00100055,     156,20.5,        443,49.9,49.9,9.5,17.2,10.4,00100000,3.4,16.9,7.0,62.1,0.0,0.0,10.6,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - Menotomy Preschool,00100038,       7,14.3,        100,37.0,63.0,0.0,51.0,20.0,00100000,1.0,16.0,8.0,54.0,0.0,1.0,20.0,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - Ottoson Middle,00100410,     579,17.9,        933,49.0,50.1,3.3,22.0,10.0,00100000,4.0,10.8,7.4,70.3,0.2,0.3,7.0,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - Peirce,00100045,     128,20.4,        361,46.8,52.6,8.0,13.0,10.5,00100000,5.3,15.5,9.4,62.9,0.0,0.0,6.9,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Arlington - Thompson,00100050,     170,21.9,        515,53.4,46.2,8.0,16.5,21.8,00100000,5.2,12.6,9.1,63.3,0.0,0.0,9.7,Arlington,"         $106,679,920.80","           5,970.6","              $17,867.54","         $113,146,782.10","           6,078.1","              $18,615.49",2022
Ashburnham-Westminster - Briggs Elementary,06100025,     269,19.6,        520,51.2,48.9,4.8,22.7,28.5,06100000,2.1,1.0,6.0,87.1,0.0,0.0,3.9,Ashburnham-Westminster,"          $33,183,819.52","           2,266.8","              $14,639.06","          $35,695,883.16","           2,367.8","              $15,075.55",2022
Ashburnham-Westminster - Meetinghouse School,06100010,     105,16.1,        199,50.3,49.8,4.0,9.1,24.6,06100000,2.5,0.5,4.5,90.0,0.0,0.0,2.5,Ashburnham-Westminster,"          $33,183,819.52","           2,266.8","              $14,639.06","          $35,695,883.16","           2,367.8","              $15,075.55",2022
Ashburnham-Westminster - Oakmont Regional High School,06100505,     338,15.9,        654,46.5,52.0,0.2,16.1,22.5,06100000,1.4,1.2,6.7,87.5,0.2,0.0,3.1,Ashburnham-Westminster,"          $33,183,819.52","           2,266.8","              $14,639.06","          $35,695,883.16","           2,367.8","              $15,075.55",2022
Ashburnham-Westminster - Overlook Middle School,06100305,     332,20.6,        540,48.5,50.4,0.0,14.1,25.2,06100000,1.5,1.3,7.6,87.2,0.0,0.0,2.4,Ashburnham-Westminster,"          $33,183,819.52","           2,266.8","              $14,639.06","          $35,695,883.16","           2,367.8","              $15,075.55",2022
Ashburnham-Westminster - Westminster Elementary,06100005,     219,20.0,        387,50.4,49.6,1.3,19.9,21.2,06100000,1.6,0.5,4.7,90.2,0.0,0.0,3.1,Ashburnham-Westminster,"          $33,183,819.52","           2,266.8","              $14,639.06","          $35,695,883.16","           2,367.8","              $15,075.55",2022
Ashland - Ashland High,00140505,     437,16.9,        861,49.8,50.1,7.2,14.6,23.2,00140000,2.2,13.5,18.9,62.1,0.7,0.0,2.6,Ashland,"          $44,058,400.75","           2,919.3","              $15,092.11","          $47,967,196.60","           2,984.1","              $16,074.26",2022
Ashland - Ashland Middle,00140405,     386,20.2,        700,48.6,51.3,5.4,20.0,24.3,00140000,2.9,13.1,18.1,62.3,0.4,0.0,3.1,Ashland,"          $44,058,400.75","           2,919.3","              $15,092.11","          $47,967,196.60","           2,984.1","              $16,074.26",2022
Ashland - David Mindess,00140015,     305,22.3,        652,46.6,53.4,9.8,24.2,26.1,00140000,3.5,18.7,19.2,55.1,0.2,0.2,3.2,Ashland,"          $44,058,400.75","           2,919.3","              $15,092.11","          $47,967,196.60","           2,984.1","              $16,074.26",2022
Ashland - Henry E Warren Elementary,00140010,     198,20.1,        632,48.4,51.4,13.3,16.3,22.9,00140000,2.7,20.7,21.0,51.3,0.2,0.0,4.1,Ashland,"          $44,058,400.75","           2,919.3","              $15,092.11","          $47,967,196.60","           2,984.1","              $16,074.26",2022
Ashland - William Pittaway Elementary,00140005,      19,5.0,         85,48.2,51.8,21.2,40.0,20.0,00140000,4.7,40.0,8.2,40.0,0.0,0.0,7.1,Ashland,"          $44,058,400.75","           2,919.3","              $15,092.11","          $47,967,196.60","           2,984.1","              $16,074.26",2022
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     604,17.4,"      1,118",43.8,55.2,6.3,24.1,41.4,08010000,2.1,0.2,24.9,69.4,0.3,0.0,3.2,Assabet Valley Regional Vocational Technical,"          $28,530,789.29","           1,151.6","              $24,774.91","          $28,576,059.05","           1,151.6","              $24,814.22",2022
Athol-Royalston - Athol Community Elementary School,06150020,     211,20.7,        589,46.7,53.1,3.2,26.7,69.3,06150000,2.7,1.4,13.1,77.8,0.0,0.0,5.1,Athol-Royalston,"          $25,683,519.00","           1,551.2","              $16,557.19","          $30,498,602.50","           1,839.1","              $16,583.44",2022
Athol-Royalston - Athol High,06150505,     246,16.6,        401,43.9,56.1,2.7,23.4,62.3,06150000,3.7,2.0,20.2,71.6,0.3,0.0,2.2,Athol-Royalston,"          $25,683,519.00","           1,551.2","              $16,557.19","          $30,498,602.50","           1,839.1","              $16,583.44",2022
Athol-Royalston - Athol-Royalston Middle School,06150305,     269,19.5,        447,47.7,52.4,1.1,28.4,64.2,06150000,1.1,1.6,13.2,80.3,0.0,0.0,3.8,Athol-Royalston,"          $25,683,519.00","           1,551.2","              $16,557.19","          $30,498,602.50","           1,839.1","              $16,583.44",2022
Athol-Royalston - Royalston Community School,06150050,      54,18.4,        156,43.0,57.1,0.0,15.4,48.7,06150000,0.6,0.6,7.7,89.1,0.0,0.0,1.9,Athol-Royalston,"          $25,683,519.00","           1,551.2","              $16,557.19","          $30,498,602.50","           1,839.1","              $16,583.44",2022
Atlantis Charter (District) - Atlantis Charter School,04910550,     532,20.4,"      1,296",52.7,47.1,18.1,16.8,61.2,04910000,6.6,2.0,17.9,67.3,0.0,0.1,6.1,Atlantis Charter (District),"          $17,988,507.00","           1,286.0","              $13,988.50","          $17,988,507.00","           1,286.0","              $13,988.50",2022
Attleboro - A. Irvin Studley Elementary School,00160001,     169,18.6,        349,47.3,52.4,9.7,20.1,39.5,00160000,7.5,3.7,16.9,65.0,0.6,0.3,6.0,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Attleboro Community Academy,00160515,      91,11.0,         77,45.5,53.3,5.2,10.4,61.0,00160000,7.8,2.6,16.9,67.5,0.0,0.0,5.2,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Attleboro High,00160505,     958,18.6,"      1,883",45.5,54.0,4.1,12.2,37.4,00160000,9.5,4.7,17.9,61.8,0.3,0.0,5.8,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Attleboro Virtual Academy,00160705,      70,5.0,         48,25.0,75.0,0.0,6.3,37.5,00160000,4.2,4.2,12.5,68.8,0.0,0.0,10.4,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Cyril K. Brennan Middle School,00160315,     281,21.3,        642,50.8,49.1,7.3,17.9,46.6,00160000,9.0,2.5,20.3,60.4,0.5,0.2,7.2,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Early Learning Center,00160008,      18,12.8,        231,36.8,63.2,0.0,54.6,47.2,00160000,12.1,6.1,13.9,64.9,0.4,0.0,2.6,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Hill-Roberts Elementary School,00160045,     175,21.6,        412,47.3,52.7,11.2,14.3,43.5,00160000,7.8,7.5,16.0,62.4,0.0,0.0,6.3,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Hyman Fine Elementary School,00160040,     180,23.1,        462,50.2,49.8,14.9,18.6,41.8,00160000,8.2,3.0,20.6,58.9,0.0,0.0,9.3,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Peter Thacher Elementary School,00160050,     272,14.6,        443,45.8,54.0,8.4,24.2,50.8,00160000,11.7,2.9,19.4,59.1,0.2,0.0,6.6,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Robert J. Coelho Middle School,00160305,     254,22.7,        587,44.3,55.5,0.5,15.7,35.6,00160000,9.2,4.9,12.6,66.4,0.3,0.2,6.3,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Thomas Willett Elementary School,00160035,     140,24.1,        377,49.9,50.1,10.3,21.8,42.7,00160000,10.6,2.9,16.5,63.1,0.5,0.3,6.1,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Attleboro - Wamsutta Middle School,00160320,     228,21.9,        592,50.2,49.8,3.4,16.1,37.7,00160000,8.1,5.9,17.1,59.8,0.0,0.0,9.1,Attleboro,"          $91,035,634.26","           5,903.5","              $15,420.62","         $100,065,396.50","           6,367.3","              $15,715.51",2022
Auburn - Auburn Middle,00170305,     423,17.4,        652,47.9,52.2,2.3,12.9,27.6,00170000,3.4,5.4,12.0,76.7,0.2,0.0,2.5,Auburn,"          $39,950,537.43","           2,581.9","              $15,473.31","          $41,126,549.32","           2,632.0","              $15,625.59",2022
Auburn - Auburn Senior High,00170505,     656,15.3,        860,49.8,49.8,1.5,11.5,28.8,00170000,5.0,5.4,11.3,74.8,0.2,0.1,3.3,Auburn,"          $39,950,537.43","           2,581.9","              $15,473.31","          $41,126,549.32","           2,632.0","              $15,625.59",2022
Auburn - Bryn Mawr,00170010,     112,18.8,        264,44.7,55.3,4.2,14.8,39.4,00170000,2.7,4.2,13.6,76.5,0.8,0.0,2.3,Auburn,"          $39,950,537.43","           2,581.9","              $15,473.31","          $41,126,549.32","           2,632.0","              $15,625.59",2022
Auburn - Pakachoag School,00170025,     112,17.3,        242,47.9,52.1,1.7,16.1,25.2,00170000,3.3,4.1,10.3,78.1,0.4,0.0,3.7,Auburn,"          $39,950,537.43","           2,581.9","              $15,473.31","          $41,126,549.32","           2,632.0","              $15,625.59",2022
Auburn - Swanson Road Intermediate School,00170030,     243,18.1,        551,48.3,51.7,2.5,15.1,26.9,00170000,1.8,3.3,11.8,79.7,0.2,0.2,3.1,Auburn,"          $39,950,537.43","           2,581.9","              $15,473.31","          $41,126,549.32","           2,632.0","              $15,625.59",2022
Avon - Avon Middle High School,00180510,     244,12.7,        338,48.2,51.5,7.1,21.9,45.9,00180000,39.9,4.4,13.3,36.7,0.9,0.0,4.7,Avon,"          $13,992,796.48",             709.8,"              $19,713.72","          $15,245,741.48",             740.4,"              $20,591.22",2022
