,,,,,, ACT Scores and College Preparedness 2022-23 ,,,,,,,,,,,,,,,,,,,,
15,Arkansas High School,9-12,Texarkana School District, 16.59 ,37%," 1,060 ",59%,34%,6%,54%,6%,66%,4,"1,060 ",37%,16.62 ,16.28 ,15.93 ,17.11 ,16.59 , 170 , 238 ,29%,0,4605026,4605000
16,Arkansas Virtual Academy High School,9-12,Arkansas Virtual Academy, 18.67 ,16%," 1,695 ",66%,71%,6%,18%,5%,29%,3,"1,695 ",16%,20.14 ,18.40 ,16.90 ,18.70 ,18.67 , 19 , 12 ,RV,1,6043703,6043700
17,Armorel High School,7-12,Armorel School District, 18.95 ,50%, 192 ,38%,83%,5%,8%,4%,17%,2,124 ,50%,19.15 ,18.65 ,17.70 ,19.70 ,18.95 , N<10 , 12 ,92%,0,4701002,4701000
18,Ashdown High School,9-12,Ashdown School District, 17.73 ,47%, 398 ,69%,62%,5%,27%,7%,38%,4,398 ,47%,17.74 ,16.80 ,17.09 ,18.49 ,17.73 , 24 , 44 ,30%,0,4101004,4101000
19,Atkins High School,9-12,Atkins School District, 18.86 ,37%, 328 ,56%,91%,3%,2%,3%,9%,1,328 ,37%,19.20 ,18.35 ,18.53 ,18.71 ,18.86 , 28 , 41 ,29%,0,5801002,5801000
20,Augusta High School,6-12,Augusta School District, 17.79 ,35%, 186 ,85%,41%,2%,51%,7%,59%,2,102 ,35%,17.95 ,18.16 ,16.42 ,18.26 ,17.79 , N<10 , N/A ,N/A,0,7401003,7401000
21,Bald Knob High School,9-12,Bald Knob School District, 19.83 ,40%, 366 ,54%,87%,7%,2%,4%,13%,2,366 ,40%,20.53 ,19.35 ,19.33 ,19.53 ,19.83 , 31 , 48 ,RV,0,7301003,7301000
22,Barton High School,7-12,Barton-Lexa School District, 17.57 ,56%, 323 ,85%,57%,2%,40%,1%,43%,5,209 ,56%,16.97 ,17.06 ,16.94 ,18.51 ,17.57 , N<10 , 12 ,RV,0,5401003,5401000
23,Batesville High School Charter,9-12,Batesville School District, 19.39 ,40%, 973 ,45%,61%,29%,5%,5%,39%,2,973 ,40%,19.90 ,18.65 ,18.20 ,20.22 ,19.39 , 70 , 124 ,79%,0,3201703,3201000
24,Bauxite High School,9-12,Bauxite School District, 18.57 ,44%, 492 ,29%,90%,6%,3%,1%,10%,3,492 ,44%,18.57 ,18.07 ,17.68 ,19.29 ,18.57 , 86 , 100 ,26%,0,6301002,6301000
25,Bay High School,7-12,Bay School District, 17.41 ,47%, 241 ,52%,94%,1%,3%,2%,6%,2,159 ,47%,17.92 ,17.23 ,16.21 ,17.72 ,17.41 , 14 , 27 ,48%,0,1601002,1601000
26,Bearden High School,7-12,Bearden School District, 17.81 ,46%, 218 ,70%,56%,5%,34%,6%,44%,4,134 ,46%,18.52 ,17.74 ,16.55 ,17.97 ,17.81 , 25 , 42 ,RV,0,5201002,5201000
27,Beebe High School,9-12,Beebe School District, 19.58 ,43%," 1,031 ",42%,84%,7%,4%,5%,16%,2,"1,031 ",43%,20.11 ,18.91 ,18.92 ,19.91 ,19.58 , 76 , 129 ,79%,0,7302010,7302000
28,Benton High School,10-12,Benton School District, 20.90 ,65%," 1,319 ",30%,74%,13%,8%,5%,26%,3,"1,319 ",65%,21.43 ,20.39 ,20.28 ,20.99 ,20.90 , 379 , 778 ,56%,0,6302012,6302000
29,Bentonville High School,9-12,Bentonville School District, 22.90 ,52%," 3,322 ",15%,75%,11%,2%,12%,25%,1,"3,318 ",52%,23.70 ,23.10 ,21.46 ,22.76 ,22.90 ," 1,174 "," 1,949 ",67%,0,0401003,0401000
30,Bentonville West High School,9-12,Bentonville School District, 21.02 ,44%," 2,418 ",23%,68%,16%,5%,12%,32%,1,"2,414 ",44%,21.77 ,20.60 ,20.02 ,21.09 ,21.02 , 875 ," 1,262 ",56%,0,0401019,0401000
31,Bergman High School,9-12,Bergman School District, 21.66 ,43%, 268 ,50%,93%,5%,0%,2%,7%,1,268 ,43%,22.62 ,21.94 ,19.75 ,21.77 ,21.66 , 20 , 28 ,RV,0,0502007,0502000
32,Berryville High School,9-12,Berryville School District, 19.25 ,42%, 545 ,69%,62%,31%,1%,6%,38%,1,545 ,42%,19.47 ,19.10 ,17.96 ,19.76 ,19.25 , 84 , 111 ,60%,0,0801002,0801000
33,Bigelow High School,7-12,East End School District, 17.77 ,38%, 303 ,54%,83%,10%,3%,5%,17%,1,202 ,38%,18.03 ,16.42 ,17.29 ,18.74 ,17.77 , 13 , 16 ,RV,0,5301002,5301000
34,Bismarck High School,9-12,Bismarck School District, 19.36 ,42%, 308 ,62%,91%,6%,2%,1%,9%,3,308 ,42%,19.13 ,19.04 ,18.80 ,19.89 ,19.36 , 39 , 50 ,20%,0,3001003,3001000
35,Blevins High School,7-12,Blevins School District, 18.79 ,41%, 195 ,81%,66%,11%,17%,5%,34%,4,125 ,41%,19.74 ,18.89 ,17.11 ,18.68 ,18.79 , 25 , 28 ,RV,0,2901002,2901000
36,Blytheville High School,9-12,Blytheville School District, 14.78 ,35%, 460 ,74%,11%,5%,83%,1%,89%,2,460 ,35%,15.63 ,13.04 ,14.34 ,15.60 ,14.78 , 33 , 42 ,RV,0,4702014,4702000
37,Booneville High School,10-12,Booneville School District, 18.64 ,65%, 243 ,67%,85%,8%,1%,7%,15%,1,243 ,65%,19.16 ,17.66 ,17.89 ,19.40 ,18.64 , 65 , 71 ,37%,0,4201002,4201000
38,Bradford High School,7-12,Bradford School District, 17.71 ,37%, 199 ,80%,96%,1%,3%,1%,4%,2,135 ,37%,18.58 ,17.29 ,16.38 ,17.83 ,17.71 , 36 , 30 ,RV,0,7303015,7303000
39,Bradley High School,7-12,Emerson-Taylor-Bradley School District, 19.75 ,50%, 151 ,61%,68%,2%,30%,0%,32%,4,100 ,50%,20.88 ,18.69 ,19.31 ,19.38 ,19.75 , N/A , N/A ,N/A,0,1408007,1408000
40,Brinkley High School,7-12,Brinkley School District, 15.48 ,40%, 192 ,76%,29%,1%,67%,3%,71%,5,130 ,40%,15.67 ,13.48 ,15.67 ,16.56 ,15.48 , 26 , 15 ,RV,0,4801003,4801000
41,Brookland High School,10-12,Brookland School District, 19.53 ,76%, 589 ,27%,91%,4%,3%,2%,9%,2,589 ,76%,20.26 ,18.61 ,18.36 ,20.20 ,19.53 , 90 , 107 ,47%,0,1603007,1603000
42,Bruno-Pyatt K-12 School,K-12,Ozark Mountain School District, 19.36 ,44%, 158 ,80%,94%,3%,0%,3%,6%,1,50 ,44%,22.00 ,17.82 ,16.82 ,20.09 ,19.36 , N/A , N/A ,N/A,0,6505017,6505000
43,Bryant High School,10-12,Bryant School District, 19.88 ,70%," 2,199 ",47%,57%,16%,23%,4%,43%,3,"2,193 ",70%,20.71 ,19.51 ,18.78 ,19.96 ,19.88 , 785 ," 1,479 ",52%,0,6303022,6303000
44,Buffalo Island Central High School,7-12,Buffalo Is. Central School District, 18.03 ,47%, 338 ,52%,79%,19%,0%,2%,21%,2,220 ,47%,19.03 ,17.75 ,16.60 ,18.25 ,18.03 , 18 , 18 ,RV,0,1605065,1605000
45,Cabot High School,10-12,Cabot School District, 20.59 ,63%," 2,198 ",36%,82%,8%,3%,7%,18%,3,"2,198 ",63%,21.23 ,20.03 ,19.58 ,20.91 ,20.59 , 458 , 858 ,62%,0,4304005,4304000
46,Caddo Hills High School,7-12,Caddo Hills School District, 17.55 ,45%, 252 ,78%,79%,17%,0%,4%,21%,4,168 ,45%,17.82 ,16.79 ,17.12 ,17.88 ,17.55 , N/A , N/A ,N/A,0,4901003,4901000
47,Calico Rock High School,7-12,Calico Rock School District, 19.30 ,42%, 184 ,61%,96%,2%,0%,2%,4%,2,126 ,42%,20.87 ,18.35 ,17.83 ,19.83 ,19.30 , N/A , N/A ,N/A,0,3301002,3301000
48,Camden Fairview High School,9-12,Camden Fairview School District, 16.53 ,43%, 704 ,70%,28%,3%,62%,7%,72%,4,704 ,43%,17.33 ,15.22 ,15.88 ,16.95 ,16.53 , 166 , 240 ,12%,0,5204023,5204000
49,Carlisle High School,7-12,Carlisle School District, 17.14 ,55%, 295 ,57%,80%,6%,9%,5%,20%,3,203 ,55%,17.28 ,16.22 ,16.44 ,18.14 ,17.14 , 40 , 56 ,RV,0,4303013,4303000
50,Cave City High Career & Collegiate Preparatory School,9-12,Cave City School District, 19.80 ,51%, 371 ,72%,95%,3%,1%,1%,5%,2,371 ,51%,20.08 ,19.35 ,19.08 ,20.15 ,19.80 , 56 , 54 ,RV,0,6802703,6802000
51,Cedar Ridge High School,6-12,Cedar Ridge School District, 17.92 ,44%, 368 ,68%,91%,6%,2%,1%,9%,2,206 ,44%,18.86 ,17.16 ,16.41 ,18.65 ,17.92 , N/A , N/A ,N/A,0,3212027,3212000
52,Cedarville High School,9-12,Cedarville School District, 17.84 ,46%, 241 ,68%,83%,3%,0%,14%,17%,1,241 ,46%,19.06 ,16.43 ,17.35 ,18.06 ,17.84 , 57 , 65 ,RV,0,1702009,1702000
53,Centerpoint Academy Of Agriculture & Skilled Trade,11-12,Centerpoint School District, 14.08 ,100%, 22 ,64%,95%,5%,0%,0%,5%,4,22 ,100%,14.08 ,12.83 ,14.42 ,14.50 ,14.08 , N/A , N/A ,N/A,0,5502703,5502000
54,Centerpoint High School,6-12,Centerpoint School District, 18.39 ,58%, 514 ,67%,77%,21%,0%,2%,23%,4,275 ,58%,18.97 ,17.83 ,16.90 ,19.14 ,18.39 , 79 , 98 ,18%,0,5502013,5502000
55,Central High School,7-12,Helena/ West Helena School District, 15.50 ,35%, 493 ,96%,3%,1%,94%,2%,97%,5,335 ,35%,15.75 ,13.98 ,14.89 ,16.75 ,15.50 , 49 , 58 ,RV,0,5403019,5403000
56,Central High School,9-12,Little Rock School District, 20.76 ,41%," 2,338 ",53%,29%,9%,51%,11%,71%,3,"2,338 ",41%,21.53 ,20.31 ,19.72 ,20.88 ,20.76 , 778 ," 1,826 ",66%,0,6001001,6001000
57,Charleston High School,7-12,Charleston School District, 20.67 ,39%, 435 ,44%,89%,4%,1%,6%,11%,1,294 ,39%,21.11 ,20.13 ,20.07 ,20.78 ,20.67 , 35 , 45 ,49%,0,2402007,2402000
58,Clarendon High School,7-12,Clarendon School District, 16.66 ,40%, 213 ,90%,30%,7%,54%,9%,70%,5,142 ,40%,16.97 ,15.50 ,16.31 ,17.13 ,16.66 , 19 , 21 ,RV,0,4802010,4802000
59,Clarksville High School,10-12,Clarksville School District, 18.53 ,61%, 561 ,66%,49%,36%,1%,13%,51%,1,561 ,61%,19.53 ,17.99 ,17.18 ,18.97 ,18.53 , 78 , 90 ,41%,0,3601005,3601000
60,Clinton High School,9-12,Clinton School District, 19.60 ,46%, 416 ,63%,94%,3%,0%,3%,6%,1,415 ,46%,19.86 ,18.65 ,18.85 ,20.45 ,19.60 , 34 , 42 ,71%,0,7102006,7102000
61,Concord High School,7-12,Concord School District, 18.58 ,39%, 189 ,51%,95%,4%,1%,1%,5%,2,121 ,39%,19.84 ,16.47 ,17.53 ,19.63 ,18.58 , 11 , 12 ,RV,0,1201002,1201000
62,Conway High School,10-12,Conway School District, 20.24 ,62%," 2,181 ",47%,54%,12%,28%,6%,46%,3,"2,181 ",62%,20.71 ,19.92 ,19.17 ,20.57 ,20.24 , 680 ," 1,188 ",63%,0,2301006,2301000
63,Corning High School,9-12,Corning School District, 18.10 ,48%, 228 ,71%,94%,4%,1%,1%,6%,2,228 ,48%,19.06 ,18.10 ,16.24 ,18.59 ,18.10 , 56 , 61 ,RV,0,1101004,1101000
64,Cossatot River High School,7-12,Cossatot River School District, 17.92 ,45%, 374 ,72%,59%,32%,0%,9%,41%,4,246 ,45%,18.70 ,17.46 ,16.92 ,18.12 ,17.92 , 23 , 22 ,RV,0,5707023,5707000
65,Cotter High School,7-12,Cotter School District, 18.23 ,44%, 331 ,65%,94%,4%,0%,2%,6%,1,219 ,44%,18.78 ,18.05 ,16.98 ,18.60 ,18.23 , 39 , 67 ,22%,0,0302007,0302000
66,County Line High School,7-12,County Line School District, 19.52 ,45%, 254 ,68%,88%,1%,2%,9%,12%,1,155 ,45%,19.68 ,19.06 ,18.81 ,19.94 ,19.52 , 17 , 21 ,62%,0,2403012,2403000
67,Creative Action Team School,K-12,Hope School District, 13.42 ,91%, 54 ,89%,13%,35%,52%,0%,87%,4,46 ,91%,13.19 ,12.10 ,13.61 ,14.29 ,13.42 , N/A , N/A ,N/A,0,2903015,2903000
68,Cross County High A New Tech School,7-12,Cross County School District, 18.54 ,46%, 292 ,73%,88%,3%,8%,1%,12%,2,207 ,46%,19.59 ,17.41 ,17.05 ,19.46 ,18.54 , 33 , 37 ,RV,0,1901703,1901000
69,Crossett High School,9-12,Crossett School District, 17.66 ,40%, 455 ,56%,59%,5%,34%,2%,41%,5,455 ,40%,18.19 ,16.61 ,16.80 ,18.48 ,17.66 , 85 , 166 ,8%,0,0201006,0201000
70,Cutter-Morning Star High School,7-12,Cutter-Morning Star School District, 17.43 ,47%, 334 ,72%,75%,12%,4%,9%,25%,3,233 ,47%,18.02 ,16.31 ,16.75 ,18.18 ,17.43 , 18 , 25 ,RV,0,2601002,2601000
71,Danville High School,9-12,Danville School District, 19.00 ,44%, 245 ,71%,45%,50%,1%,4%,55%,1,245 ,44%,19.64 ,17.73 ,18.11 ,19.98 ,19.00 , N/A , N/A ,N/A,0,7503006,7503000
72,Dardanelle High School,9-12,Dardanelle School District, 21.89 ,24%, 624 ,64%,54%,40%,2%,4%,46%,1,622 ,24%,22.18 ,22.13 ,20.34 ,22.15 ,21.89 , 86 , 107 ,48%,0,7504011,7504000
73,Decatur High School,9-12,Decatur School District, 15.89 ,38%, 171 ,71%,48%,36%,4%,12%,52%,1,171 ,38%,16.50 ,14.57 ,15.79 ,16.57 ,15.89 , 21 , 20 ,RV,0,0402009,0402000
74,Deer K-12 School,K-12,Deer/Mt. Judea School District, 20.00 ,39%, 158 ,68%,92%,3%,1%,4%,8%,1,64 ,39%,21.44 ,19.88 ,17.69 ,20.31 ,20.00 , N/A , N/A ,N/A,0,5106003,5106000
75,DeQueen High School,10-12,DeQueen School District, 18.56 ,89%, 481 ,69%,28%,63%,1%,7%,72%,4,481 ,89%,19.34 ,17.22 ,17.80 ,19.15 ,18.56 , N<10 , 13 ,RV,0,6701003,6701000
76,Dermott High School,7-12,Dermott School District, 15.18 ,41%, 147 ,94%,3%,3%,93%,1%,97%,5,91 ,41%,15.27 ,14.36 ,14.77 ,15.50 ,15.18 , N/A , N/A ,N/A,0,0901003,0901000
77,Des Arc High School,7-12,Des Arc School District, 19.66 ,44%, 254 ,70%,87%,3%,9%,1%,13%,5,172 ,44%,20.07 ,19.28 ,19.14 ,19.97 ,19.66 , 16 , 29 ,34%,0,5901002,5901000
78,DeWitt High School,9-12,DeWitt School District, 19.19 ,48%, 354 ,57%,76%,5%,14%,4%,24%,5,354 ,48%,18.99 ,18.49 ,18.75 ,19.96 ,19.19 , 45 , 77 ,30%,0,0101004,0101000
79,Dierks High School,7-12,Dierks School District, 21.94 ,74%, 235 ,74%,91%,8%,0%,1%,9%,4,152 ,74%,23.06 ,21.16 ,20.84 ,21.90 ,21.94 , 36 , 43 ,26%,0,3102002,3102000
80,Dollarway High School,10-12,Pine Bluff School District, 13.35 ,53%, 163 ,90%,2%,1%,94%,2%,98%,3,163 ,53%,12.78 ,12.10 ,13.78 ,14.30 ,13.35 , 39 , 59 ,RV,0,3505010,3505000
81,Don Tyson School Of Innovation,K-12,Springdale School District, 19.84 ,43%," 2,116 ",58%,42%,47%,2%,8%,58%,1,"1,098 ",43%,20.55 ,19.85 ,18.24 ,20.21 ,19.84 , 204 , 264 ,43%,0,7207703,7207000
82,Dover High School,9-12,Dover School District, 19.39 ,45%, 380 ,49%,91%,4%,0%,4%,9%,1,380 ,45%,20.51 ,18.87 ,17.47 ,20.10 ,19.39 , 79 , 95 ,24%,0,5802006,5802000
83,Drew Central High School,9-12,Drew Central School District, 17.48 ,47%, 316 ,65%,66%,6%,26%,3%,34%,5,316 ,47%,17.93 ,16.48 ,16.75 ,18.13 ,17.48 , 58 , 61 ,RV,0,2202005,2202000
84,Driven Virtual Academy,K-12,Pulaski County Special School District, 16.67 ,16%, 303 ,48%,29%,9%,57%,5%,71%,3,152 ,16%,18.11 ,14.78 ,15.33 ,17.56 ,16.67 , N<10 , 4 ,RV,0,6003703,6003000
85,Dumas High School,9-12,Dumas School District, 16.15 ,43%, 314 ,74%,17%,15%,66%,3%,83%,5,314 ,43%,16.17 ,15.19 ,15.96 ,16.74 ,16.15 , 74 , 131 ,RV,0,2104021,2104000
86,Earle High School,7-12,Earle School District, 14.64 ,37%, 204 ,94%,0%,1%,95%,3%,100%,2,139 ,37%,13.96 ,12.72 ,15.40 ,15.72 ,14.64 , 21 , 36 ,RV,0,1802007,1802000
87,East Poinsett Co. High School,7-12,East Poinsett Co. School District, 18.65 ,56%, 276 ,72%,75%,6%,13%,6%,25%,2,185 ,56%,19.93 ,17.48 ,17.72 ,19.02 ,18.65 , 38 , 49 ,35%,0,5608037,5608000
88,El Dorado High School,9-12,El Dorado School District, 17.56 ,46%," 1,303 ",58%,39%,10%,46%,6%,61%,4,"1,303 ",46%,18.12 ,16.25 ,17.20 ,18.08 ,17.56 , 349 , 570 ,34%,0,7001012,7001000
89,Elkins High School,9-12,Elkins School District, 17.68 ,50%, 418 ,36%,84%,5%,1%,9%,16%,1,418 ,50%,18.05 ,16.64 ,16.76 ,18.68 ,17.68 , 63 , 61 ,23%,0,7201002,7201000
90,Emerson High School,7-12,Emerson-Taylor-Bradley School District, 20.33 ,47%, 156 ,49%,67%,4%,23%,5%,33%,4,96 ,47%,21.93 ,20.47 ,18.80 ,19.93 ,20.33 , N<10 , 12 ,RV,0,1408002,1408000
91,England High School,7-12,England School District, 17.40 ,40%, 288 ,75%,45%,9%,41%,5%,55%,3,187 ,40%,18.05 ,16.64 ,16.29 ,18.24 ,17.40 , 38 , 61 ,RV,0,4302018,4302000
92,ESTEM High School,10-12,ESTEM Public Charter School, 19.11 ,67%, 528 ,58%,21%,9%,62%,8%,79%,3,528 ,67%,19.57 ,18.44 ,18.19 ,19.69 ,19.11 , 195 , 404 ,47%,1,6047703,6047700
93,Eureka Springs High School,9-12,Eureka Springs School District, 19.86 ,45%, 222 ,51%,84%,10%,3%,3%,16%,1,222 ,45%,21.51 ,18.73 ,18.41 ,20.67 ,19.86 , 25 , 30 ,60%,0,0802007,0802000
94,Farmington High School,10-12,Farmington School District, 20.12 ,65%, 639 ,24%,78%,10%,3%,9%,22%,1,639 ,65%,21.44 ,19.36 ,18.46 ,20.57 ,20.12 , 182 , 286 ,54%,0,7202012,7202000
95,Fayetteville High School,9-12,Fayetteville School District, 23.45 ,46%," 2,685 ",27%,64%,14%,9%,13%,36%,1,"2,685 ",46%,24.56 ,23.60 ,21.61 ,23.38 ,23.45 , 913 ," 1,595 ",65%,0,7203020,7203000
96,Fayetteville Virtual Academy A District Conversion Charter School,K-12,Fayetteville School District, 20.45 ,42%, 179 ,15%,78%,3%,8%,11%,22%,1,102 ,42%,21.50 ,20.55 ,18.18 ,21.32 ,20.45 , 10 , 17 ,RV,0,7203703,7203000
97,Flippin High School,9-12,Flippin School District, 18.90 ,45%, 267 ,69%,92%,3%,0%,5%,8%,1,266 ,45%,19.77 ,18.42 ,17.37 ,19.55 ,18.90 , 14 , 15 ,RV,0,4501002,4501000
98,Fordyce High School,7-12,Fordyce School District, 17.52 ,48%, 361 ,46%,36%,4%,58%,1%,64%,4,228 ,48%,17.80 ,16.98 ,17.07 ,17.52 ,17.52 , 37 , 63 ,RV,0,2002007,2002000
99,Foreman High School,7-12,Foreman School District, 17.40 ,53%, 235 ,66%,77%,8%,8%,6%,23%,4,154 ,53%,18.00 ,16.77 ,16.77 ,17.69 ,17.40 , 31 , 51 ,RV,0,4102010,4102000
100,Forrest City High School,9-12,Forrest City School District, 14.58 ,42%, 580 ,73%,4%,2%,92%,1%,96%,2,580 ,42%,14.63 ,12.97 ,14.91 ,15.31 ,14.58 , 81 , 85 ,RV,0,6201011,6201000
101,Fouke High School,9-12,Fouke School District, 18.96 ,36%, 337 ,59%,96%,3%,0%,1%,4%,4,337 ,36%,19.85 ,18.75 ,17.04 ,19.56 ,18.96 , 21 , 13 ,RV,0,4603010,4603000
102,Fountain Lake Charter High School,9-12,Fountain Lake School District, 19.58 ,52%, 406 ,32%,86%,6%,1%,6%,14%,3,403 ,52%,19.88 ,18.92 ,18.70 ,20.27 ,19.58 , 59 , 77 ,30%,0,2602703,2602000
103,Friendship Aspire Academy Southeast Pine Bluff,5-12,Friendship Aspire Academies Arkansas, 12.61 ,, 75 ,68%,3%,3%,93%,1%,97%,3,20 ,,12.33 ,11.00 ,13.33 ,13.61 ,12.61 , N/A , N/A ,N/A,1,3544703,3544700
104,Future School Of Fort Smith,9-12,Future School Of Fort Smith, 15.58 ,40%, 241 ,73%,48%,22%,18%,12%,52%,1,241 ,40%,15.93 ,14.28 ,15.20 ,16.35 ,15.58 , N/A , N/A ,N/A,1,6640703,6640700
105,Genoa Central High School,10-12,Genoa Central School District, 19.44 ,76%, 289 ,40%,97%,1%,0%,2%,3%,4,289 ,76%,20.27 ,18.99 ,18.21 ,19.73 ,19.44 , 62 , 78 ,42%,0,4602006,4602000
106,Gentry High School,9-12,Gentry School District, 18.64 ,30%, 505 ,45%,61%,20%,0%,19%,39%,1,505 ,30%,19.04 ,17.77 ,17.56 ,19.69 ,18.64 , 47 , 46 ,46%,0,0403017,0403000
107,Glen Rose High School,9-12,Glen Rose School District, 18.51 ,43%, 304 ,34%,89%,6%,0%,5%,11%,3,304 ,43%,18.58 ,17.42 ,18.19 ,18.75 ,18.51 , 22 , 33 ,36%,0,3002009,3002000
108,Gosnell High School,7-12,Gosnell School District, 19.19 ,42%, 612 ,69%,61%,8%,25%,6%,39%,2,410 ,42%,19.29 ,18.32 ,18.78 ,19.59 ,19.19 , 35 , 61 ,RV,0,4708031,4708000
109,Graduate Arkansas  Charter High,9-12,Graduate Arkansas  Charter, 15.68 ,8%, 381 ,99%,35%,12%,44%,9%,65%,3,381 ,8%,16.60 ,14.44 ,14.84 ,15.88 ,15.68 , N/A , N/A ,N/A,1,6052703,6052700
110,Gravette High School,9-12,Gravette School District, 19.92 ,44%, 616 ,33%,82%,8%,0%,9%,18%,1,616 ,44%,20.44 ,19.30 ,18.98 ,20.35 ,19.92 , 59 , 37 ,49%,0,0404022,0404000
111,Green Forest High School,9-12,Green Forest School District, 17.19 ,36%, 441 ,68%,38%,48%,0%,15%,62%,1,441 ,36%,17.93 ,15.55 ,16.87 ,17.70 ,17.19 , 55 , 78 ,31%,0,0803012,0803000
112,Greenbrier High School,10-12,Greenbrier School District, 20.89 ,71%, 817 ,33%,92%,3%,1%,4%,8%,3,817 ,71%,21.28 ,20.55 ,20.05 ,21.08 ,20.89 , 425 , 741 ,38%,0,2303017,2303000
113,Greene County Tech High School,10-12,Greene County Tech School District, 18.79 ,70%, 798 ,35%,90%,4%,3%,3%,10%,2,797 ,70%,19.37 ,17.58 ,18.13 ,19.45 ,18.79 , 233 , 439 ,29%,0,2807008,2807000
114,Greenland High School,9-12,Greenland School District, 19.48 ,37%, 269 ,66%,83%,9%,0%,7%,17%,1,269 ,37%,20.38 ,19.32 ,17.60 ,19.62 ,19.48 , 20 , 26 ,RV,0,7204028,7204000
115,Greenwood High School,10-12,Greenwood School District, 21.39 ,74%, 879 ,20%,85%,5%,0%,9%,15%,1,875 ,74%,21.80 ,21.09 ,20.49 ,21.50 ,21.39 , 202 , 313 ,86%,0,6602043,6602000
