School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Year
Atlantis Charter (District) - Atlantis Charter School,4910550,75,479,449,493,21.2,1288,53.3,46.6,17.1,14.7,64.6,4910000,6.1,2,16.1,71.2,0.1,0.1,4.5,Atlantis Charter (District),"          $18,672,052.35",1296.1,"              $14,406.56","          $18,672,052.35",1296.1,"              $14,406.56",2021
Attleboro - Attleboro High,160505,262,560,554,763,19.3,1800,45.3,54.3,3.4,15.9,37.7,160000,7.8,4.7,16.8,65.6,0.3,0.1,4.7,Attleboro,"          $84,392,374.03",5707,"              $14,787.52","          $95,085,999.05",6202.9,"              $15,329.28",2021
Auburn - Auburn Senior High,170505,44,558,566,622,16.3,848,49.4,50.2,1.7,11.1,29.5,170000,3.4,5.2,10.6,77.2,0,0.1,3.4,Auburn,"          $37,360,958.16",2509.1,"              $14,890.18","          $38,665,237.60",2573.8,"              $15,022.63",2021
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,24,578,535,241,15.1,372,47.6,51.9,2.7,17.5,30.9,6160000,4.3,2.4,12.6,74.5,1.6,1.1,3.5,Ayer Shirley School District,"          $28,878,193.08",1596.1,"              $18,092.97","          $33,602,254.97",1829.8,"              $18,363.89",2021
Barnstable - Barnstable High,200505,82,555,553,816,13.8,1671,49.6,50.3,13.4,15.9,50.5,200000,8.9,2,23.1,60.1,0.7,0.2,5.1,Barnstable,"          $90,545,919.20",4703.1,"              $19,252.39","         $101,456,168.54",5305.9,"              $19,121.39",2021
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,22,474,467,260,14.7,432,44.9,55.1,6.7,20.4,84.3,35020000,29.6,0.5,64.4,4.2,0,0.5,0.9,Baystate Academy Charter Public School (District),"           $8,139,956.91",474.3,"              $17,162.04","           $8,139,956.91",474.3,"              $17,162.04",2021
Bedford - Bedford High,230505,249,611,626,539,12.9,843,47.6,52.2,0.7,13.9,12.7,230000,6.3,17.2,9.9,62.3,0,0.1,4.3,Bedford,"          $51,794,772.66",2613.1,"              $19,821.20","          $57,122,825.07",2672.7,"              $21,372.70",2021
Belchertown - Belchertown High,240505,64,580,584,420,14.1,661,50.4,48.6,0.5,15.6,21.5,240000,2,1.5,3.6,89.7,0.2,0.5,2.6,Belchertown,"          $32,812,030.22",2137.6,"              $15,349.94","          $36,060,639.70",2338.5,"              $15,420.41",2021
Bellingham - Bellingham High School,250505,61,568,558,353,17.9,753,51.4,48.6,2.7,18.2,29.6,250000,2,3.3,9.4,82.6,0,0,2.7,Bellingham,"          $37,950,575.18",1967.3,"              $19,290.69","          $44,476,541.19",2288.1,"              $19,438.20",2021
Belmont - Belmont High,260505,396,650,673,470,20.7,1347,50.7,49.3,2.4,9.9,12.8,260000,4.2,19.2,6.3,63.9,0.1,0,6.3,Belmont,"          $68,646,177.00",4374.9,"              $15,690.91","          $79,174,415.00",4537,"              $17,450.83",2021
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,63,541,492,186,18.2,373,42.9,54.2,0.8,20.9,56.3,4140000,10.7,1.9,14.5,66.8,0,0.3,5.9,Berkshire Arts and Technology Charter Public (District),"           $6,815,423.18",371.4,"              $18,349.64","           $6,815,423.18",371.4,"              $18,349.64",2021
Berkshire Hills - Monument Mt Regional High,6180505,107,583,546,378,10.9,508,49.6,50.2,6.5,12.8,37,6180000,2,2.2,12.8,79.1,0.2,0.4,3.4,Berkshire Hills,"          $28,017,208.49",1168.6,"              $23,975.02","          $30,422,983.89",1267.7,"              $23,998.57",2021
Berlin-Boylston - Tahanto Regional High,6200505,63,599,594,318,15.5,533,50.3,48.8,2.8,14.1,18.2,6200000,1.7,5.8,7.9,80.7,0.2,0.2,3.6,Berlin-Boylston,"          $17,706,391.00",1034.5,"              $17,115.89","          $19,006,985.00",1093.2,"              $17,386.56",2021
Beverly - Beverly High,300505,185,548,522,554,20.3,1300,47.6,52.1,3.5,17.1,33.9,300000,3.6,3,16.9,73.3,0.1,0.1,3.1,Beverly,"          $69,387,472.52",4664.3,"              $14,876.29","          $77,586,216.11",4824.6,"              $16,081.38",2021
Billerica - Billerica Memorial High School,310505,258,538,535,706,19.2,1771,48.8,51.1,2,19.8,27,310000,6.8,9.9,7.6,73.2,0.1,0.2,2.2,Billerica,"          $86,536,482.00",4591.4,"              $18,847.52","          $93,384,612.00",4801.6,"              $19,448.64",2021
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,183,584,570,800,17.2,1223,49.3,50.5,0.5,10.6,15.5,8050000,1.3,2,8.9,85.5,0,0.1,2.1,Blackstone Valley Regional Vocational Technical,"          $26,835,586.93",1240.9,"              $21,625.91","          $26,841,720.93",1241.9,"              $21,613.43",2021
Blackstone-Millville - Blackstone Millville RHS,6220505,42,527,524,259,12.7,417,49.4,49.9,1.2,14.2,32.4,6220000,1.9,1.2,6.7,85.4,0,0,4.8,Blackstone-Millville,"          $23,804,688.00",1569.2,"              $15,169.95","          $27,173,187.78",1747,"              $15,554.20",2021
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,19,544,535,433,15.5,907,47.5,52.5,1.5,25,39.4,8060000,20.1,2.2,16.7,53.6,0.6,0,7,Blue Hills Regional Vocational Technical,"          $21,106,046.92",886.2,"              $23,816.35","          $21,106,046.92",886.2,"              $23,816.35",2021
Boston - Boston Arts Academy,350546,46,493,456,317,14.9,481,68.2,31,4.8,20.6,65.5,350000,40.1,1.5,44.5,9.8,0,0,4.2,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Boston Community Leadership Academy,350558,39,433,413,341,15.2,700,50,49.6,33.1,24.1,83.7,350000,32.7,2.9,59.9,2.3,0.3,0.3,1.7,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Boston International High School,350507,56,396,427,244,14.4,528,38.5,61.6,91.1,5.9,86,350000,26.3,6.8,64,2.3,0.2,0.2,0.2,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Boston Latin,350560,676,649,660,812,23.2,2377,53.1,46.5,0.2,3.3,25.3,350000,9.4,28.9,14,42.4,0,0.2,5.1,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Boston Latin Academy,350545,507,558,574,583,23.2,1675,57.3,42.5,0.2,4.2,45.1,350000,24,17.3,26,28.6,0.1,0.1,3.8,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Brighton High,350505,28,444,446,275,12.6,514,45.1,54.9,51.8,24.5,81.1,350000,30,4.7,57.2,5.8,0.2,0.2,2,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Charlestown High,350515,64,417,480,525,13.8,892,44.5,55.5,36.1,30.9,82.7,350000,25.8,6.6,60.8,4.5,0.1,0,2.2,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Community Academy of Science and Health,350581,46,414,406,198,12.9,342,48,52.1,20.5,40.1,81.9,350000,56.1,5.3,31.9,1.2,0,0.3,5.3,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Dearborn,350074,12,479,457,235,19.2,609,50.4,49.3,31.2,19.4,83.1,350000,57.6,1.3,34,2,0.2,0.8,4.1,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Dr. William Henderson Upper,350426,25,436,430,337,19.7,753,46.4,53.4,13.3,38.8,73.6,350000,44,7.6,28.3,15.3,0.8,0.3,3.9,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - East Boston High,350530,89,444,444,461,16.3,1217,42,57.9,42.9,22.6,79.7,350000,4.9,1.5,83.1,9.6,0,0.1,0.8,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Excel High School,350522,38,457,525,238,13.4,445,42.5,57.1,22,27.6,84.3,350000,33,15.5,39.6,8.1,0.5,0.2,3.2,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Fenway High School,350540,48,464,445,197,17,380,51.8,48.2,21.1,22.9,81.3,350000,29,3.2,61.3,3.7,0.3,0,2.6,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Jeremiah E Burke High,350525,38,436,440,185,12.1,365,40.8,59.2,25.2,29.3,82.7,350000,54.3,1.4,35.1,4.4,0.3,0.6,4.1,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Lyon Upper 9-12,350655,12,468,453,63,13.8,131,34.4,65.7,8.4,43.5,71.8,350000,22.9,3.8,45.8,19.1,0,0,8.4,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Margarita Muniz Academy,350549,15,398,423,118,18.3,313,52.1,47.9,46,13.4,86.6,350000,7.7,0,89.8,0.6,0.3,0,1.6,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - New Mission High School,350542,42,443,465,384,16.3,538,52,47.8,14.7,17.7,71.9,350000,49.8,2,42.4,3.4,0.2,0.2,2,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - O'Bryant School Math/Science,350575,265,524,562,544,21.3,1528,53.2,46.5,0.9,5.6,60.7,350000,31,20.3,34,12.4,0.1,0.2,2,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Quincy Upper School,350565,23,466,464,239,19.8,564,47.3,52.7,14.9,19.2,73.6,350000,19.2,51.1,22.2,4.8,0.2,0,2.7,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - Snowden International School at Copley,350690,33,452,433,225,17.4,479,52,48,17.1,22.8,84.3,350000,31.1,4.8,56,5.9,0.2,0,2.1,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - TechBoston Academy,350657,122,433,418,438,12.7,916,42.7,57.2,22.3,24.6,83.6,350000,57.3,1.8,33.3,2.7,0.1,0.2,4.6,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston - The English High,350535,66,403,409,431,15.3,600,47.8,52.2,35.3,24.7,83.7,350000,37,0.7,56.5,2.8,0.2,0.2,2.7,Boston,"       $1,348,915,645.82",48747.8,"              $27,671.31","       $1,676,837,932.25",63064.7,"              $26,589.17",2021
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,64,498,511,297,19.8,715,49.8,50.2,4.3,19.6,45.9,4490000,33.6,2.4,18.9,41.8,0,0.1,3.2,Boston Collegiate Charter (District),"          $16,629,287.75",720.7,"              $23,073.48","          $16,629,287.75",720.7,"              $23,073.48",2021
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,32,430,445,260,14.6,457,46.4,53.6,14.7,33.7,79.2,4110000,43.8,2,44,6.6,0.4,0.4,2.8,Boston Green Academy Horace Mann Charter School (District),"           $8,658,617.78",495.5,"              $17,473.88","           $8,658,617.78",495.5,"              $17,473.88",2021
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,79,448,474,228,18.2,673,49.9,50.1,18.9,21.1,70.1,4160000,66.4,0.5,28.5,1.2,0,0.2,3.3,Boston Preparatory Charter Public (District),"          $16,427,727.04",665.6,"              $24,681.45","          $16,427,727.04",665.6,"              $24,681.45",2021
Bourne - Bourne High School,360505,91,527,506,201,14,381,51.4,48.3,1.1,16,33.3,360000,2.1,2.4,4.5,85.3,1.3,0,4.5,Bourne,"          $34,402,079.87",1645.6,"              $20,905.49","          $39,188,785.24",1931,"              $20,294.55",2021
Braintree - Braintree High,400505,526,557,570,847,16.5,1761,49.9,50,4.7,24.1,28.4,400000,6.1,22.4,6.7,62.9,0.1,0.2,1.7,Braintree,"          $90,673,494.78",5516.6,"              $16,436.48","          $98,288,948.14",5627.9,"              $17,464.59",2021
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,153,563,568,540,16,1381,47.9,52.1,1.2,13.9,26.5,6250000,9,1.9,2.7,80.5,0.1,0.2,5.6,Bridgewater-Raynham,"          $74,890,594.00",5346.3,"              $14,007.93","          $81,772,877.00",5598.5,"              $14,606.21",2021
Bristol County Agricultural - Bristol County Agricultural High,9100705,23,552,505,265,18.7,503,72,28,0,14.5,32.8,9100000,2.8,0.2,9,87.5,0,0.2,0.4,Bristol County Agricultural,"           $9,380,882.90",440.7,"              $21,286.32","           $9,380,882.90",440.7,"              $21,286.32",2021
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,8100605,57,544,536,972,17.3,1326,40.5,59.4,0.8,16.7,35.8,8100000,3.7,1,6.2,85.1,0.3,0,3.8,Bristol-Plymouth Regional Vocational Technical,"          $26,633,842.00",1316.8,"              $20,226.19","          $26,722,767.00",1331.5,"              $20,069.67",2021
Brockton - Brockton High,440505,46,523,496,1895,16.1,3829,46.2,53.7,26.9,13.9,71.1,440000,62.3,2.5,16.8,13.9,0.1,0.3,4.2,Brockton,"         $260,837,443.86",15187.2,"              $17,174.82","         $290,538,465.60",17022.8,"              $17,067.61",2021
Brooke Charter School (District) - Brooke Charter School,4280305,47,499,545,816,19.1,2148,51.7,48.3,8.9,13.5,65.8,4280000,51.6,1.6,39.4,4.4,0.2,0.1,2.6,Brooke Charter School (District),"          $43,413,419.80",2062.9,"              $21,044.44","          $43,413,419.80",2062.9,"              $21,044.44",2021
Brookline - Brookline High,460505,533,639,652,1179,14.1,2089,48.6,50.8,2.5,14.8,17,460000,7.2,15.1,12.9,54.2,0.1,0.1,10.5,Brookline,"         $168,842,948.00",6813.9,"              $24,779.19","         $177,233,585.00",6899,"              $25,689.75",2021
Burlington - Burlington High,480505,293,540,534,558,12.7,1018,47.3,52.5,6.4,11.1,20.3,480000,9.2,18.8,10.6,57.1,0.4,0,3.9,Burlington,"          $74,246,080.55",3396.7,"              $21,858.30","          $85,132,134.55",3519,"              $24,192.14",2021
Cambridge - Cambridge Rindge and Latin,490506,302,615,601,1053,13.9,1889,50.6,48.9,4,19.9,43.1,490000,27.1,10.6,15.2,37,0.2,0.3,9.7,Cambridge,"         $222,130,862.93",6620,"              $33,554.51","         $256,045,590.40",7291.9,"              $35,113.70",2021
Canton - Canton High,500505,352,568,567,501,15.8,902,55.4,44.1,0.9,10.9,21.4,500000,13.3,11.3,5.9,65.4,0,0,4.1,Canton,"          $57,913,000.69",3168.2,"              $18,279.46","          $65,266,920.66",3261.3,"              $20,012.55",2021
Carver - Carver Middle/High School,520405,96,531,521,506,13.7,725,46.6,53.2,1.5,21.8,34.1,520000,3.2,0.3,2.9,92,0.8,0,0.8,Carver,"          $25,366,742.56",1478.7,"              $17,154.76","          $28,339,212.02",1579.9,"              $17,937.35",2021
Central Berkshire - Wahconah Regional High,6350505,56,523,533,260,14.6,505,47.5,52.5,0.8,11.9,38,6350000,0.8,0.6,4.4,90.5,0,0,3.8,Central Berkshire,"          $26,453,682.00",1521.6,"              $17,385.44","          $30,068,881.00",1757.7,"              $17,106.95",2021
Chelmsford - Chelmsford High,560505,326,574,579,729,15.9,1357,49.7,50.1,1.6,14.2,15.6,560000,3.5,17.4,6.6,69.2,0.2,0.4,2.8,Chelmsford,"          $79,321,122.12",4827.8,"              $16,430.08","          $87,134,606.12",5068,"              $17,193.10",2021
Chelsea - Chelsea High,570505,22,523,520,614,23.7,1637,45.3,54.6,36.5,12.3,79.4,570000,3.4,1.1,89.8,5,0.2,0,0.4,Chelsea,"         $104,629,062.04",5952.9,"              $17,576.15","         $135,108,333.55",7137.6,"              $18,929.10",2021
Chicopee - Chicopee Comprehensive High School,610510,77,570,555,607,14.6,1161,43.5,56.2,3.3,12.3,54.9,610000,2.7,1.6,32.5,59.4,0.1,0,3.8,Chicopee,"         $117,727,912.25",6798.1,"              $17,317.77","         $126,041,080.29",7424.2,"              $16,977.06",2021
Chicopee - Chicopee High,610505,33,533,523,491,16.3,931,51.5,48.3,6.7,17.2,70.8,610000,4.6,2.7,49.4,40.2,0,0,3.1,Chicopee,"         $117,727,912.25",6798.1,"              $17,317.77","         $126,041,080.29",7424.2,"              $16,977.06",2021
Clinton - Clinton Senior High,640505,72,525,498,246,15.5,521,46.3,53.4,13.1,20.7,53.4,640000,3.7,0.8,36.1,58.2,0,0.2,1.2,Clinton,"          $28,562,061.00",1819.1,"              $15,701.20","          $34,522,072.00",2143.9,"              $16,102.46",2021
Codman Academy Charter Public (District) - Codman Academy Charter Public School,4380505,29,418,417,145,14.7,340,50.6,49.4,11.5,23.5,82.7,4380000,75.6,0,22.9,0.3,0,0,1.2,Codman Academy Charter Public (District),"           $9,699,252.25",347,"              $27,954.15","           $9,699,252.25",347,"              $27,954.15",2021
Cohasset - Cohasset High School,650505,116,616,585,311,14.3,428,48.8,50.9,0,13.1,8.9,650000,3,2.3,2.3,89.7,0.5,0,2.1,Cohasset,"          $27,706,941.54",1427,"              $19,416.22","          $30,013,820.45",1462.3,"              $20,525.08",2021
Concord-Carlisle - Concord Carlisle High,6400505,375,639,647,544,19.3,1326,49.8,49.6,0.7,15.5,8.9,6400000,4.4,8.3,5.7,75,0.2,0,6.5,Concord-Carlisle,"          $28,158,694.46",1315.4,"              $21,406.94","          $31,459,341.82",1347.6,"              $23,344.72",2021
Danvers - Danvers High,710505,145,549,530,446,15.2,805,49.1,50.2,0.9,19.4,25.6,710000,3,2.6,9.6,81.5,0,0,3.4,Danvers,"          $56,884,218.45",3305.7,"              $17,207.92","          $62,932,447.17",3429.8,"              $18,348.72",2021
Dartmouth - Dartmouth High,720505,113,572,559,478,18.4,1041,49.9,50.1,1.3,15.9,30.8,720000,2.7,0.5,6.3,81.8,0,0.1,8.6,Dartmouth,"          $52,357,168.64",3444,"              $15,202.43","          $57,034,176.01",3540.9,"              $16,107.25",2021
Dedham - Dedham High,730505,92,578,586,388,14.8,716,47.4,51.3,4.3,18.4,31.4,730000,9.9,2.2,18.7,66.3,0,0,2.8,Dedham,"          $58,086,447.55",2548.7,"              $22,790.62","          $63,837,536.10",2658.7,"              $24,010.81",2021
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,56,558,531,627,11.4,916,49,50.4,10.6,18.2,54.6,6450000,13.3,2.5,14,63.3,1.9,0,5,Dennis-Yarmouth,"          $60,383,164.57",2737.2,"              $22,060.19","          $68,401,657.05",3299.9,"              $20,728.40",2021
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,6500505,219,549,537,350,16.1,712,49.2,50.4,0.4,15,25.1,6500000,1.3,1,4.5,89.3,0.1,0,3.8,Dighton-Rehoboth,"          $42,162,312.57",2630.8,"              $16,026.42","          $45,009,716.20",2721.6,"              $16,537.96",2021
Douglas - Douglas High School,770505,46,560,535,191,13.5,340,47.9,52.1,0.3,20.6,23.5,770000,0.9,1.8,5.3,90,0,0.3,1.8,Douglas,"          $18,692,595.50",1148.4,"              $16,277.08","          $21,439,599.19",1242.4,"              $17,256.60",2021
Dover-Sherborn - Dover-Sherborn Regional High,6550505,206,631,642,357,15.9,659,49,50.7,0.2,15.3,5.8,6550000,3.6,11.1,5.8,74.2,0.3,0,5,Dover-Sherborn,"          $25,337,172.75",1177.7,"              $21,514.11","          $26,660,633.75",1219.6,"              $21,860.15",2021
Dracut - Dracut Senior High,790505,157,519,512,406,18.2,882,49.6,50,3.9,13.7,35.2,790000,8.7,9.8,9.3,68.9,0.7,0,2.6,Dracut,"          $48,183,666.71",3673.9,"              $13,115.13","          $55,417,184.84",4056.6,"              $13,660.99",2021
Dudley-Charlton Reg - Shepherd Hill Regional High,6580505,218,568,569,407,16.5,922,52.3,47.6,1.2,11.9,31.3,6580000,1.8,1.4,9.9,84.8,0,0.1,2,Dudley-Charlton Reg,"          $53,536,862.47",3474.6,"              $15,408.06","          $57,233,473.71",3587.5,"              $15,953.58",2021
Duxbury - Duxbury High,820505,344,592,572,468,17.3,949,49.6,50.4,0.5,13.3,8.4,820000,0.2,1.8,2.4,91.7,0.2,0,3.7,Duxbury,"          $49,039,791.21",2786.9,"              $17,596.54","          $51,499,159.21",2844.7,"              $18,103.55",2021
East Bridgewater - East Bridgewater JR./SR. High School,830505,75,556,521,516,19.5,953,45.4,54.5,1.2,17.1,26.6,830000,4.7,0.6,4.1,86.9,0.5,0.1,3,East Bridgewater,"          $30,471,933.55",2077.3,"              $14,669.01","          $32,893,871.55",2170.4,"              $15,155.67",2021
East Longmeadow - East Longmeadow High,870505,115,569,572,322,18.3,816,48.2,51.8,0.3,16.7,26.6,870000,3.7,6,8.3,79.5,0,0,2.5,East Longmeadow,"          $41,403,591.37",2415.1,"              $17,143.63","          $44,895,747.37",2493.6,"              $18,004.39",2021
Easthampton - Easthampton High,860505,33,534,504,192,14.6,410,50.5,48.3,1.2,19.3,37.3,860000,1.7,4.2,13.9,77.6,0.2,0,2.4,Easthampton,"          $22,075,588.15",1428.1,"              $15,458.01","          $27,563,959.48",1757.6,"              $15,682.73",2021
Easton - Oliver Ames High,880505,340,577,567,521,17.4,1123,49.7,50,1.5,18.3,19.8,880000,7.1,3.6,6.1,79.3,0.4,0,3.5,Easton,"          $51,800,092.00",3399.4,"              $15,238.01","          $55,847,780.75",3480.1,"              $16,047.75",2021
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),4520505,87,429,425,161,18.3,375,66.1,33.9,12.8,23.2,82.4,4520000,37.6,1.1,54.4,4.3,0,0,2.7,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),"           $9,801,662.00",394.7,"              $24,835.64","           $9,801,662.00",394.7,"              $24,835.64",2021
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,8170505,203,544,519,1252,17.6,1627,57.4,42.2,0.3,17.7,22.9,8170000,1.8,1.8,13.6,78.7,0.1,0.1,3.8,Essex North Shore Agricultural and Technical School District,"          $31,381,123.55",1537.7,"              $20,407.83","          $31,857,230.55",1549.7,"              $20,557.03",2021
Everett - Everett High,930505,52,510,495,938,22.2,2353,48.8,51.2,24.9,14.5,71.1,930000,15.9,4.8,60.2,16.8,0.5,0.1,1.6,Everett,"         $112,588,271.40",6999.5,"              $16,085.19","         $132,626,420.46",7781.2,"              $17,044.47",2021
